Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
08-Oct-2025,"INR 949,938.23",15.0,Swapnil Kumar Rai,08-Oct-2025 03:23 PM,AOC08.pdf (1005.00 KB),The contract value is inclusive of GST.,1.0,5543511.0,JATA SHANKAR RAI CONTRACTOR,INR,"949,938.23","Office of The Director Ground Water Department||Joint Director Allahabad||Sr. Geophysicist, GWD Dn- Mirzapur (Geophysical)",2025_UPGWD_1073559_1,04/PIEZO/MZP/2025-26,Construction/Installation of New Piezometers,1,5543511,JATA SHANKAR RAI CONTRACTOR,18-Sep-2025 01:04 PM,Accepted-AOC,Lowest Bid,08-Oct-2025 03:24 PM,Finance,THREE BIDS QUALIFIED FOR THE FINANCIAL AND ON FINANCIAL EVALUATION THE LOWEST BID (L1) WAS FOUND TO BE QUOTED BY THE FIRM JATA SHANKAR RAI CONTRACTOR.,Swapnil Kumar Rai,22-Sep-2025 05:35 PM,finance_1959967.pdf,BOQ Comparative Chart,SWAPNIL KUMAR RAI,Internal,"Dr. Namrata Jaiswal, Dr. Vishvajeet Singh, Vipul Srivastava, Tirthraj Bind, Gulab Singh",Swapnil Kumar Rai,22-Sep-2025 04:30 PM,22-Sep-2025 04:35 PM,techsummary_1959967.pdf (276.38 KB),Technical,TOTAL 05 NUMBER OF BIDS WERE RECEIVED AND 03 NUMBER OF BIDS WERE ADMITTED AND 02 NUMBER OF BIDS WERE NOT-ADMITTED.,Swapnil Kumar Rai,22-Sep-2025 04:26 PM,technical_1959967.pdf,SWAPNIL KUMAR RAI,Internal,"Dr. Namrata Jaiswal, Dr. Vishvajeet Singh, Vipul Srivastava, Tirthraj Bind, and Gulab Singh.",Swapnil Kumar Rai,22-Sep-2025 05:45 PM,finsummary_1959967.pdf (276.38 KB),AOC,1.0,SBI Bank,15-Sep-2025 11:00 AM,22-Sep-2025 02:00 PM,15-Sep-2025 11:00 AM,22-Sep-2025 09:00 AM,NA ,NA ,15-Sep-2025 11:00 AM,22-Sep-2025 09:00 AM,22-Sep-2025 04:35 PM,SENIOR GEOPHYSICIST,"Geophysical Survey Division, Ground Water Department, Mirzapur","Office of The Director Ground Water Department||Joint Director Allahabad||Sr. Geophysicist, GWD Dn- Mirzapur (Geophysical)",04/PIEZO/MZP/2025-26,2025_UPGWD_1073559_1,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,"18,000",No,fixed,,Nil,Nil,990.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,EMD,Construction/Installation of New Piezometers,"Construction/Installation of 08 Nos. New Piezometers at different places under the Jurisdiction of the Ground Water Department, Geophysical Survey Division, Mirzapur.",Please refer Tender documents. ,NA ,,Water Equipments/ Meter/ Drilling/ Boring,NA ,Tender,30.0,15.0,MIRZAPUR AND SONBHADRA,231001.0,NA ,NA ,NA ,"Ground Water Department, Mirzapur",No ,No,AOC
,,,,,,,,,,,,,,,,2,5548880,MAHADEV TRADING,20-Sep-2025 09:07 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,22-Sep-2025 04:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TENDER FEES,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,5550913,M/s Shiva Enterprises,22-Sep-2025 06:28 AM,Rejected-Finance,SECOND LOWEST BIDDER,22-Sep-2025 05:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TECHNICAL BID DOCUMENTS,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,5546341,M/S SHRI RAM TRADERS,19-Sep-2025 04:47 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,22-Sep-2025 04:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CHECK LIST,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,5546464,Sanjeev Kumar Rai,19-Sep-2025 05:44 PM,Rejected-Finance,THIRD LOWEST BIDDER,22-Sep-2025 05:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL BID BOQ,,,,,,,,,,,,,,,,,,,AOC
