Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"Construction of Interlocking Road from Jagveer Valmiki Ji House to Vimal Kumar Ji House at Vill. -Khergarh, Block- Hathwant Distt. Firozabad","Construction of Interlocking Road from Jagveer Valmiki Ji House to Vimal Kumar Ji House at Vill. -Khergarh, Block- Hathwant Distt. Firozabad",Please refer Tender documents. ,NA ,"17,69,000",Civil Works,NA ,Tender,180.0,180.0,sikandra agra,282007.0,NA ,NA ,NA ,"H.No.-128, Paschimpuri, Near Pani Ki Tanki, Sikand",No ,No,"35,500",No,fixed,,UPSCIDCO,FIROZABAD,Executive engineer,"H.No.-128, Paschimpuri, Near Pani Ki Tanki, Sikandra agra","1,652",UPSCIDCO,FIROZABAD,No,26-Jul-2025 02:30 PM,02-Aug-2025 12:00 PM,26-Jul-2025 02:30 PM,02-Aug-2025 12:00 PM,NA ,NA ,26-Jul-2025 02:30 PM,02-Aug-2025 12:00 PM,07-Aug-2025 01:20 PM,1.0,RTGS - RTGS Payment,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Agra,52/FZD/MLA/25-26,2025_SCIDC_1060404_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1,Fee/PreQual/Technical,.pdf,NIT,AOC,Finance,Rate of M/s Maa Builders is accepted.,Rakesh Sikarwar,22-Aug-2025 12:26 PM,finance_1931208.pdf,BOQ Comparative Chart,Executive Engineer,Internal,,Pramod Kumar,07-Aug-2025 01:05 PM,07-Aug-2025 01:20 PM,techsummary_1931208.pdf (770.31 KB),Technical,All bids are ok,Pramod Kumar,07-Aug-2025 11:30 AM,technical_1931208.pdf,Shri RAKESH KUMAR SIKARWAR,Internal,,Rakesh Sikarwar,22-Aug-2025 01:01 PM,finsummary_1931208.pdf (511.09 KB),22-Aug-2025,"INR 1,768,545.65",180.0,Rakesh Sikarwar,22-Aug-2025 01:04 PM,52fzf.pdf (511.00 KB),1.0,5396173.0,M/s Maa Builders,INR,"1,768,545.65",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Agra,2025_SCIDC_1060404_1,52/FZD/MLA/25-26,"Construction of Interlocking Road from Jagveer Valmiki Ji House to Vimal Kumar Ji House at Vill. -Khergarh, Block- Hathwant Distt. Firozabad",1,5396173,M/s Maa Builders,02-Aug-2025 12:26 AM,Accepted-AOC,OK,22-Aug-2025 01:04 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5396224,M/s MAA BUILDERS,02-Aug-2025 01:53 AM,Rejected-AOC,OK,22-Aug-2025 01:04 PM,AOC
