Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Instrument Type,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,2025_SCIDC_1051699_1,642 /E.E/Basti / Ekikrit Yojna Antargat Community Hall SKN /E-Tender/ 2025-26 Date 24/06/2025,Construction of Community Hall work at Gram Athlohiya me Block Santha Distt Santkabir Nagar.,1.0,5288360.0,M/S VIRENDRA SINGH,INR,"2,417,564",1,5288764,M/S HAMIDULLAH CONTRACTOR,05-Jul-2025 07:37 AM,Rejected-Finance,L2,07-Aug-2025 11:06 AM,11-Aug-2025,"INR 2,417,564",90.0,Ramesh Bahadur Shahi,11-Aug-2025 10:22 AM,AthlohiyaLOI.pdf (790.00 KB),M/s Virendra Singh Found L1,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,07-Aug-2025 11:06 AM,finsummary_1911721.pdf (876.91 KB),Technical,M/S VIRENDRA SINGH and M/S HAMIDULLAH CONTRACTOR Found,Ramesh Bahadur Shahi,26-Jul-2025 01:32 PM,technical_1911721.pdf,Sri Ramesh Bahadur Shahi,Internal,Accepted,Ramesh Bahadur Shahi,26-Jul-2025 01:34 PM,26-Jul-2025 03:00 PM,techsummary_1911721.pdf (346.95 KB),Finance,M/S VIRENDRA SINGH Found L1,Ramesh Bahadur Shahi,07-Aug-2025 11:03 AM,finance_1911721.pdf,BOQ Comparative Chart,AOC,1,FDR - Fixed Deposit,1,Fee/PreQual/Technical,.pdf,NIT,"49,000",No,fixed,,UPSCIDCO,Basti,Executive Engineer,"H.No. 1087(2) Malviya road, near Roadways Tiraha, Basti",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,642 /E.E/Basti / Ekikrit Yojna Antargat Community Hall SKN /E-Tender/ 2025-26 Date 24/06/2025,2025_SCIDC_1051699_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,Construction of Community Hall work at Gram Athlohiya me Block Santha Distt Santkabir Nagar.,Construction of Community Hall work at Gram Athlohiya me Block Santha Distt Santkabir Nagar.,As Given in NIT ,NA ,"24,34,607",Civil Works,NA ,Tender,90.0,90.0,Basti,272001.0,"H.No. 1087(2) Malviya road, near Roadways Tiraha,  ","H.No. 1087(2) Malviya road, near Roadways Tiraha, Basti ",30-Jun-2025 12:46 PM ,UPSCIDCO BASTI,No ,No,1.0,Date Extended,Date,,"1,652",UPSCIDCO,BASTI,No,25-Jun-2026 12:46 PM,05-Jul-2025 02:00 PM,25-Jun-2025 09:00 AM,05-Jul-2025 01:00 PM,25-Jun-2025 09:00 AM ,05-Jul-2025 01:00 PM ,25-Jun-2026 12:46 PM,05-Jul-2025 01:00 PM,26-Jul-2026 12:46 PM,AOC
,,,,,,,,,2,5288360,M/S VIRENDRA SINGH,03-Jul-2025 08:54 PM,Accepted-AOC,L1,11-Aug-2025 10:23 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,RTGS - RTGS Payment,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
