Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
eeredprayagraj,eeredprayagraj,1,Fee/PreQual/Technical,.pdf,pdf,"34,000",No,fixed,,Nil,Nil,15-Jul-2025 06:30 PM,22-Jul-2025 01:00 PM,15-Jul-2025 06:30 PM,21-Jul-2025 05:00 PM,NA ,NA ,15-Jul-2025 06:30 PM,21-Jul-2025 05:00 PM,29-Jul-2025 01:00 PM,"2,500",Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE ALLAHABAD,notice 780 date 02-07-2025,2025_REDUP_1057471_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,Construction of Inter locking Road at Mauima Gram Panchyat Ram Nagar Gansiyari Prayagraj Ayodhya Haighway to Chaurasiya house,Construction of Inter locking Road at Mauima Gram Panchyat Ram Nagar Gansiyari Prayagraj Ayodhya Haighway to Chaurasiya house,Please refer Tender documents. ,NA ,"16,66,000",Civil Works,NA ,Tender,90.0,90.0,eeredprayagraj,211002.0,NA ,NA ,NA ,eeredprayagraj,No ,No,AOC,Er sp mishra,Internal,,Satyaprakash Mishra,26-Jul-2025 06:25 PM,29-Jul-2025 01:00 PM,techsummary_1924713.pdf (160.28 KB),Finance,d,Satyaprakash Mishra,01-Aug-2025 12:32 PM,,BOQ Comparative Chart,Er sp mishra,Internal,Er Dp mishra,Satyaprakash Mishra,01-Aug-2025 12:40 PM,finsummary_1924713.pdf (1195.76 KB),Technical,d,Satyaprakash Mishra,26-Jul-2025 06:19 PM,,1,5354010,Mohd Husain,19-Jul-2025 04:09 PM,Rejected-Finance,Higher,01-Aug-2025 12:40 PM,1.0,5354447.0,M/s. Shobh Nath Yadav,INR,"1,663,176.54",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE ALLAHABAD,2025_REDUP_1057471_2,notice 780 date 02-07-2025,Construction of Inter locking Road at Mauima Gram Panchyat Ram Nagar Gansiyari Prayagraj Ayodhya Haighway to Chaurasiya house,14-Aug-2025,"INR 1,663,176.54",90.0,Satyaprakash Mishra,14-Aug-2025 07:06 PM,mauima.pdf (779.00 KB),AWARD OF CONTRACT,AOC
,,2,Finance,.xls,xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5354447,M/s. Shobh Nath Yadav,19-Jul-2025 08:45 PM,Accepted-AOC,accepted,14-Aug-2025 07:06 PM,,,,,,,,,,,,,,,,,AOC
