Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE KUSHINAGAR,410 /RED Tender KUSHINAGAR,2025_REDUP_1057174_10,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"27,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,16-Jul-2025 09:00 AM,21-Jul-2025 03:00 PM,16-Jul-2025 09:00 AM,21-Jul-2025 12:00 PM,NA ,NA ,16-Jul-2025 09:00 AM,21-Jul-2025 12:00 PM,23-Jul-2025 01:00 PM,"2,336",Nil,Nil,No,EE RED KUSHINAGAR,EE RED KUSHINAGAR,GRAM SABHA VIJAYPUR ME SAMUDAYIK BHAVAN KA NIRMAN KARY,GRAM SABHA VIJAYPUR ME SAMUDAYIK BHAVAN KA NIRMAN KARY,Please refer Tender documents. ,NA ,"13,50,000",Civil Works,NA ,Tender,90.0,90.0,work,274302.0,NA ,NA ,NA ,EE RED KUSHINAGAR,No ,No,AOC,1,5356823,JAGRITI INFRAVENTURES (OPC) PRIVATE LIMITED,19-Jul-2025 01:04 PM,Rejected-Finance,L2,07-Aug-2025 01:38 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE KUSHINAGAR,2025_REDUP_1057174_10,410 /RED Tender KUSHINAGAR,GRAM SABHA VIJAYPUR ME SAMUDAYIK BHAVAN KA NIRMAN KARY,Finance,Bid Opening Summary,Virendra Kumar Pandey,23-Jul-2025 04:08 PM,,BOQ Comparative Chart,EE RED KUSHINAGAR,Internal,,Virendra Kumar Pandey,07-Aug-2025 01:38 PM,finsummary_1924462.pdf (143.85 KB),1.0,5356802.0,VIKRANT ASSOCIATES,INR,100.0,EE RED KUSHINAGAR,Internal,,Virendra Kumar Pandey,23-Jul-2025 11:21 AM,23-Jul-2025 01:00 PM,techsummary_1924462.pdf (134.55 KB),Technical,Bid opening Summary,Virendra Kumar Pandey,23-Jul-2025 10:25 AM,,07-Aug-2025,INR 100,90.0,Virendra Kumar Pandey,07-Aug-2025 02:07 PM,10.pdf (144.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,5356802,VIKRANT ASSOCIATES,20-Jul-2025 10:19 AM,Accepted-AOC,L1,07-Aug-2025 02:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
