Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
31-Oct-2025,"INR 2,009,974",45.0,SUBHASH CHANDRA,31-Oct-2025 02:17 PM,L15.pdf (194.00 KB),AGGREMENT WITH L1,Technical,TECH,SUBHASH CHANDRA,16-Oct-2025 12:43 AM,technical_1972466.pdf,SUBHASH CHANDRA,Internal,MANMOHAN SINGH,SUBHASH CHANDRA,16-Oct-2025 01:37 AM,17-Oct-2025 04:00 PM,techsummary_1972466.pdf (1033.72 KB),1.0,5582477.0,VIRENDRA SINGH CONTRACTOR,INR,"2,009,974",SUBHASH CHANDRA,Internal,MANMOHAN SINGH,SUBHASH CHANDRA,31-Oct-2025 01:58 PM,finsummary_1972466.pdf (1033.72 KB),Finance,FINANCE,SUBHASH CHANDRA,18-Oct-2025 04:50 PM,finance_1972466.pdf,BOQ Comparative Chart,"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||I- Circle Irrigation Works, Meerut||Muzaffar Nagar Division Ganga Canal,Muzaffar Nagar",2025_UPIDC_1078704_15,TN-05/EE/2025-26,TN-05/EE/22025-26 Rajwaha Right MohammadPur Ke Km 20.800 to Km 21.500 ke madhya nahar sewamarg ke navinikaran ka karya Lot No-15,1.0,5581445.0,CHAUDHARY CONSTRUCTIONS,05-Oct-2025 01:37 PM,Rejected-AOC,AGGREMENT WITH L1,31-Oct-2025 02:17 PM,AOC,30-Sep-2025 11:00 AM,06-Oct-2025 03:00 PM,30-Sep-2025 11:00 AM,06-Oct-2025 02:00 PM,NA ,NA ,30-Sep-2025 11:00 AM,06-Oct-2025 02:00 PM,17-Oct-2025 04:00 PM,"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||I- Circle Irrigation Works, Meerut||Muzaffar Nagar Division Ganga Canal,Muzaffar Nagar",TN-05/EE/2025-26,2025_UPIDC_1078704_15,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,EE MDGC MUZAFFARNAGAR,EE MDGC MUZAFFARNAGAR,TN-05/EE/22025-26 Rajwaha Right MohammadPur Ke Km 20.800 to Km 21.500 ke madhya nahar sewamarg ke navinikaran ka karya Lot No-15,Rajwaha Right MohammadPur Ke Km 20.800 to Km 21.500 ke madhya nahar sewamarg ke navinikaran ka karya,as per tender notice ,as per tender notice ,"22,46,000",Civil Works,NA ,Tender,90.0,45.0,Muzaffarnagar,251001.0,NA ,NA ,NA ,Muzaffarnagar,No ,No,854.0,Nil,Nil,No,"44,920",No,percentage,2.0%,Nil,Nil,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,nit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5582477.0,VIRENDRA SINGH CONTRACTOR,05-Oct-2025 12:23 AM,Accepted-AOC,AGGREMENT WITH L1,31-Oct-2025 02:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,td,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,AOC
