S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,5402477.0,CHANDER ENTERPRISES,INR,"328,179.25",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,2025_SCIDC_1061221_1,030/EE/JPN/NIDHI/2025-26 Dt. 29-07-2025,"Work of installation of cold water drinking facility at public place in the hospital premises in village Rakheda, Block-GAJRAULA, District-AMROHA (NIDHI WORK)",1,5402477,CHANDER ENTERPRISES,05-Aug-2025 07:46 AM,Accepted-AOC,AMOUNT IS LOWEST,12-Aug-2025 06:09 PM,12-Aug-2025,"INR 328,442",60.0,Avdhesh kumar Verma,12-Aug-2025 06:09 PM,030NIT52WOJPN.pdf (267.00 KB),LOI OF WORK,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,07-Aug-2025 07:37 PM,finsummary_1933544.pdf (508.67 KB),Technical,TECHNICAL REPORT,Avdhesh kumar Verma,07-Aug-2025 12:39 PM,technical_1933544.pdf,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,07-Aug-2025 01:02 PM,07-Aug-2025 01:05 PM,techsummary_1933544.pdf (297.54 KB),Finance,FINANCIAL REPORT,Avdhesh kumar Verma,07-Aug-2025 07:04 PM,finance_1933544.pdf,BOQ Comparative Chart,AOC,30-Jul-2025 03:00 PM,06-Aug-2025 11:00 AM,30-Jul-2025 03:00 PM,06-Aug-2025 10:00 AM,NA ,NA ,30-Jul-2025 03:00 PM,06-Aug-2025 10:00 AM,07-Aug-2025 01:05 PM,"E.E., UPSCIDCO, AMROHA","E.E. OFFICE, UP STATE CONSTRUCTION AND INFRASTRUCTURE DEVELOPMENT CORPORATION LTD., SAMAJ KALYAN CAMPUS, KANTH ROAD, MORADABAD",1,FDR - Fixed Deposit,826.0,U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,No,1,Fee/PreQual/Technical,.pdf,TENDER NOTICE,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,030/EE/JPN/NIDHI/2025-26 Dt. 29-07-2025,2025_SCIDC_1061221_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"7,000",No,fixed,,U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,"Work of installation of cold water drinking facility at public place in the hospital premises in village Rakheda, Block-GAJRAULA, District-AMROHA (NIDHI WORK)","Work of installation of cold water drinking facility at public place in the hospital premises in village Rakheda, Block-GAJRAULA, District-AMROHA (NIDHI WORK)",Please refer Tender documents. ,NA ,"3,28,442",Civil Works - Water Works,NA ,Tender,60.0,60.0,AMROHA,244221.0,NA ,NA ,NA ,"E.E. OFFICE , UPSCIDCO, MORADABAD",No ,No,AOC
,,,,,,,,,2,5405919,VINAYAK CONSTRUCTION,05-Aug-2025 11:27 PM,Rejected-Finance,AMOUNT IS HIGH,07-Aug-2025 07:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,RTGS - RTGS Payment,,,,,2,Finance,.xls,PRICE BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
