Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
08-Aug-2025 04:00 PM,22-Aug-2025 02:00 PM,08-Aug-2025 04:00 PM,22-Aug-2025 11:00 AM,NA ,NA ,08-Aug-2025 04:00 PM,22-Aug-2025 11:00 AM,22-Aug-2025 06:15 PM,854.0,Nil,Nil,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,1.0,"Repairing of old and damage brick lining work with new brick work with all cost of material, labour, tool and plant etc as required, as per Drawing and BOQ at Phagoopur pump canal, Raibareli.",Date,,1.0,Fee/PreQual/Technical,.pdf,Tender Fee and EMD,1.0,SBI Bank,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Sitapur||Executive Engineer(MLCD)-Lucknow,16EE/MLCD/LKO/ETender/2025-26,2025_UPIDM_1064232_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,"31,000",No,fixed,,Nil,Nil,"Mr. Ashutosh kumar Singh, Executive Engineer","Office Of Executive Engineer, Minor Lift Canal Division, 3/435-A, Vishwash khand Gomti Nagar, Lucknow, U.P -226010","Repairing of old and damage brick lining work with new brick work with all cost of material, labour, tool and plant etc as required, as per Drawing and BOQ at Phagoopur pump canal, Raibareli.","Repairing of old and damage brick lining work with new brick work with all cost of material, labour ,tool and plant etc as required, as per Drawing and BOQ at Phagoopur pump canal, Raibareli.",Please refer Tender documents. ,NA ,"15,50,000",Civil Works - Canal,NA ,Tender,90.0,NA ,Phagoopur pump canal in district Raibareli.,229310.0,NA ,NA ,NA ,"Office of Executive Engineer, Minor Lift Canal Div",No ,No,AOC,Ashutosh Kumar Singh EE,Internal,,Ashutosh Kumar Singh,22-Aug-2025 06:11 PM,22-Aug-2025 06:15 PM,techsummary_1939391.pdf (3540.64 KB),Finance,Financial Evaluation Sheet,Ashutosh Kumar Singh,28-Aug-2025 01:07 PM,finance_1939391.pdf,BOQ Comparative Chart,Ashutosh Kumar Singh EE,Internal,"Mr. Gaurav Singh, Executive Engineer",Ashutosh Kumar Singh,28-Aug-2025 05:05 PM,finsummary_1939391.pdf (3746.86 KB),Technical,Technical Evaluation Sheet,Ashutosh Kumar Singh,22-Aug-2025 06:02 PM,technical_1939391.pdf,1.0,5415276.0,M/S ABHAY DATA CONSTRUCTION,12-Aug-2025 11:30 PM,Rejected-Finance,Higher Bid,28-Aug-2025 05:05 PM,1.0,5471098.0,M/S M.K. ENTERPRISES,INR,"1,237,210",U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Sitapur||Executive Engineer(MLCD)-Lucknow,2025_UPIDM_1064232_1,16EE/MLCD/LKO/ETender/2025-26,"Repairing of old and damage brick lining work with new brick work with all cost of material, labour, tool and plant etc as required, as per Drawing and BOQ at Phagoopur pump canal, Raibareli.",23-Sep-2025,"INR 1,550,024.59",90.0,Ashutosh Kumar Singh,10-Oct-2025 12:05 PM,1605Aoc.pdf (3753.00 KB),AOC
,,,,,,,,,,,,,2.0,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,,,,,,,.pdf,"GST, PAN and Labour Registration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5428131.0,M/S Kamlesh Kumar Singh,13-Aug-2025 09:58 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,22-Aug-2025 06:02 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,3.0,Misc. document ,Bidder Address Format ,Bidder Address Format ,,,,,,,,.pdf,Firm Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5471098.0,M/S M.K. ENTERPRISES,22-Aug-2025 12:07 AM,Accepted-AOC,Lowest Bid,10-Oct-2025 12:05 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4.0,Misc. document ,Any other document ,Any other document ,,,,,,,,.pdf,Character (IDT-1) and Insolvency (IDT-2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5426929.0,M/S Sushila Enterprises,22-Aug-2025 01:22 AM,Rejected-Finance,Higher Bid,28-Aug-2025 05:05 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5.0,Tax related documents ,PAN card ,PAN card ,,,,,,,,.pdf,Bid Validity and Self Decleration Affidavit (IDT-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5418396.0,S P V ENGINEERS,13-Aug-2025 01:58 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,22-Aug-2025 06:02 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6.0,Technical Details ,Other Technical Documents ,Other Technical Documents ,,,,,,,,.pdf,Experience Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
