Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1,Fee/PreQual/Technical,.pdf,NIT,SE UPRNSS GORAKHPUR ZONE,"HIG-B-338, SIDDHARTH ENCLAVE TARAMANDAL, GORAKHPUR","87,000",Yes,fixed,,EE UPRNSS,GORAKHPUR I,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,102/UPRNSS/E-TE/25-26DT20.5.25,2025_UPRNS_1042565_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"Renovation Work of The Main Building At Government Industrial Training Institute, Basgaon, Dist. Gorakhpur.","Renovation Work of The Main Building At Government Industrial Training Institute, Basgaon, Dist. Gorakhpur.",Please refer Tender documents. ,NA ,"43,28,000",Civil Works,NA ,Tender,30.0,270.0,"HIG-B-338, SIDDHARTH ENCLAVE TARAMANDAL, GORAKHPUR",273001.0,NA ,NA ,NA ,SE UPRNSS GORAKHPUR ZONE,No ,No,04-Jul-2025 06:00 PM,10-Jul-2025 10:00 AM,04-Jul-2025 06:00 PM,09-Jul-2025 06:00 PM,NA ,NA ,04-Jul-2025 06:00 PM,09-Jul-2025 06:00 PM,22-Jul-2025 04:40 PM,"1,298",EE UPRNSS,GORAKHPUR I,Yes,1,FDR - Fixed Deposit,AOC,JITENDRA BAHADUR SINGH,Internal,SANJAY KUMAR VINAY KUMAR SINGH UGRASEN SINGH SUNIL SINGH CHANDEL,Jitendra Bahadur Singh,23-Jul-2025 04:46 PM,finsummary_1917908.pdf (1312.42 KB),Technical,TECHNICAL SUMMARY,Jitendra Bahadur Singh,22-Jul-2025 04:35 PM,technical_1917908.pdf,JITENDRA BAHADUR SINGH,Internal,SANJAY KUMAR VINAY KUMAR SINGH UGRASEN SINGH SUNIL SINGH CHANDEL,Jitendra Bahadur Singh,22-Jul-2025 04:39 PM,22-Jul-2025 04:40 PM,techsummary_1917908.pdf (948.86 KB),Finance,FINANCIAL SUMMARY,Jitendra Bahadur Singh,23-Jul-2025 04:41 PM,finance_1917908.pdf,BOQ Comparative Chart,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,2025_UPRNS_1042565_3,102/UPRNSS/E-TE/25-26DT20.5.25,"Renovation Work of The Main Building At Government Industrial Training Institute, Basgaon, Dist. Gorakhpur.",1.0,5300197.0,M/S SHYAM JI ENTERPRISES,INR,"4,323,672",1,5300456,M/S DIVYAANSH CONSTRUCTION COMPANY,08-Jul-2025 04:23 PM,Rejected-Finance,HIGH BID QUOTED,23-Jul-2025 04:46 PM,24-Jul-2025,"INR 4,323,672",270.0,Jitendra Bahadur Singh,30-Aug-2025 03:45 PM,aocbasgauon.pdf (142.00 KB),CONTRACT VALUE,AOC
2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,RTGS - RTGS Payment,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5300197,M/S SHYAM JI ENTERPRISES,08-Jul-2025 03:14 PM,Accepted-AOC,LOWEST BID QUOTED,30-Aug-2025 03:45 PM,,,,,,,,AOC
