Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
03-Oct-2025,"INR 1,448,259.12",90.0,NEERAJ TYAGI,07-Oct-2025 03:31 PM,34.pdf (976.00 KB),DATE OF START 03.10.2025,Technical,TECHNICAL REPORT,NEERAJ TYAGI,30-Aug-2025 05:23 PM,technical_1941571.pdf,Neeraj kumar tyagi,Internal,Neeraj kumar tyagi umesh kumar,NEERAJ TYAGI,30-Aug-2025 09:30 PM,03-Sep-2025 11:00 AM,techsummary_1941571.pdf (867.63 KB),1.0,5468966.0,PRAGYA CONSTRUCTION,INR,"1,448,259.12",Finance,FIANANCIAL REPORT,NEERAJ TYAGI,04-Sep-2025 11:42 AM,finance_1941571.pdf,BOQ Comparative Chart,Neeraj kumar tyagi,Internal,NEERAJ KUMAR TYAGI UMESH KUMAR,NEERAJ TYAGI,09-Sep-2025 06:33 AM,finsummary_1941571.pdf (25.62 KB),1,5470717,KISAAN EICHER TRACTORS,21-Aug-2025 10:11 PM,Rejected-Finance,5,09-Sep-2025 06:33 AM,"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Irrigation Works Circle, Mathura||UMBGC, khurja",2025_UPIDC_1065054_13,08/E.E./2025-26,Construction of Retaining wall,AOC,"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Irrigation Works Circle, Mathura||UMBGC, khurja",08/E.E./2025-26,2025_UPIDC_1065054_13,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,054",Nil,Nil,No,Construction of Retaining wall,Construction of Retaining wall,Please refer Tender documents. ,NA ,"20,00,000",Civil Works,NA ,Tender,90.0,90.0,U.M.B.C.D.G.C. Khurja,203131.0,NA ,NA ,NA ,U.M.B.C.D.G.C. Khurja,No ,No,1.0,SBI Bank,"40,000",No,fixed,,Nil,Nil,13-Aug-2025 09:00 AM,22-Aug-2025 03:00 PM,13-Aug-2025 09:00 AM,22-Aug-2025 12:00 PM,NA ,NA ,13-Aug-2025 09:00 AM,22-Aug-2025 12:00 PM,03-Sep-2025 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,TENDER DOCUMENT,Executive Engineer,U.M.B.C.D.G.C. Khurja,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5469770,LANDMARK INFRA PROJECTS,21-Aug-2025 08:56 PM,Rejected-Finance,6,09-Sep-2025 06:33 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Drawing 1,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5466026,MITTAL BROTHERS,22-Aug-2025 03:44 AM,Rejected-Finance,4,09-Sep-2025 06:33 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5469939,M/s Amit Raghav,21-Aug-2025 06:31 PM,Rejected-Finance,11,09-Sep-2025 06:33 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5470152,M/S DEEN DAYAL CONTRACTOR,22-Aug-2025 11:05 AM,Rejected-Finance,10,09-Sep-2025 06:33 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5468073,M/S GIRAND SINGH CONTRACTOR,21-Aug-2025 11:01 AM,Rejected-Finance,3,09-Sep-2025 06:33 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5466318,M/S PRABHAT CONTRACTOR AND ENGINEERS,20-Aug-2025 07:13 PM,Rejected-Finance,7,09-Sep-2025 06:33 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5469260,M/S SHIVAM SINGH CONTRACTOR,21-Aug-2025 03:38 PM,Rejected-Finance,8,09-Sep-2025 06:33 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5468966,PRAGYA CONSTRUCTION,21-Aug-2025 04:27 PM,Accepted-AOC,ACCEPT,07-Oct-2025 03:31 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5459862,S F INFRA PROJECTS,21-Aug-2025 06:49 PM,Rejected-Finance,9,09-Sep-2025 06:33 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
