Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE KHERI,2025_REDUP_1050403_1,318_08/MLAY/KHERI/2025-26,Interlocking construction work from house of Sukhdev to field of Ram Bahadur Nishad in the village panchayat Ramuapu majra Basantapur. Block Nighasan,1.0,5273903.0,SANDEEP,INR,"1,683,744",1,5275700,A.K. SHUKLA CONSTRUCTION COMPANY,25-Jun-2025 08:23 PM,Rejected-Finance,2nd Lowest Bidder,11-Jul-2025 09:48 PM,17-Jul-2025,"INR 1,686,273.71",60.0,Hemant Saxena,04-Aug-2025 09:10 AM,AOC_318_08.pdf (276.00 KB),Hemant Saxena,Internal,,Hemant Saxena,05-Jul-2025 10:55 PM,10-Jul-2025 12:00 PM,techsummary_1909030.pdf (307.71 KB),Finance,Recommended for Financial Evaluation,Hemant Saxena,11-Jul-2025 09:25 AM,finance_1909030.pdf,BOQ Comparative Chart,Hemant Saxena,Internal,,Hemant Saxena,11-Jul-2025 09:48 PM,finsummary_1909030.pdf (406.14 KB),Technical,Recommended for Technical Evaluation,Hemant Saxena,29-Jun-2025 04:00 PM,technical_1909030.pdf,AOC,1,Fee/PreQual/Technical,.pdf,Technical PDF,Hemant Saxena,Executive Engineer Rural Engineering Department Vikas Bhawan Lakhimpur Kheri,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE KHERI,318_08/MLAY/KHERI/2025-26,2025_REDUP_1050403_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,23-Jun-2025 12:00 PM,28-Jun-2025 12:30 PM,23-Jun-2025 12:00 PM,28-Jun-2025 12:00 PM,NA ,NA ,23-Jun-2025 12:00 PM,28-Jun-2025 12:00 PM,10-Jul-2025 12:00 PM,1.0,SBI Bank,944.0,Nil,Nil,No,"34,000",No,fixed,,Nil,Nil,Interlocking construction work from house of Sukhdev to field of Ram Bahadur Nishad in the village panchayat Ramuapu majra Basantapur. Block Nighasan,Interlocking construction work from house of Sukhdev to field of Ram Bahadur Nishad in the village panchayat Ramuapu majra Basantapur. Block Nighasan,Please Refer Tender Document ,NA ,"16,86,200",Civil Works,NA ,Tender,90.0,60.0,Lakhimpur Kheri,262701.0,NA ,NA ,NA ,RED Lakhimpur Kheri,No ,No,AOC
,,,,,,,,,2,5273903,SANDEEP,25-Jun-2025 08:35 PM,Accepted-AOC,Accepted,04-Aug-2025 09:11 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,Bill Of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
