Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
29-Oct-2025,"INR 1,550,610",45.0,PRADEEP KUMAR SINGH,29-Oct-2025 04:21 PM,SAI2.pdf (338.00 KB),AOC,1.0,5586176.0,M/S SAI CONSTRUCTION,INR,"1,550,610","U P Irrigation Department (Civil)||Chief Engineer-Sone, Varanasi||Irrigation Works Circle, Allahabad||BCD, allahabad",2025_UPIDC_1076988_2,04/EE/2025-26,Renewal/Renovation of High Level Feeder canal service road from km 2.500 to km 4.300 in District Prayagraj.,1,5589306,M/s BHOOMI CONTRACTOR,07-May-2026 05:07 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,15-Oct-2025 12:48 PM,Technical,3 bid accepted,PRADEEP KUMAR SINGH,15-Oct-2025 12:48 PM,technical_1968032.pdf,pradeep kumar singh,Internal,SATYA PRAKASH CHAUDHARY,PRADEEP KUMAR SINGH,29-Oct-2026 05:07 PM,finsummary_1968032.pdf (23.59 KB),Finance,ADMITTED,PRADEEP KUMAR SINGH,29-Oct-2025 04:02 PM,,BOQ Comparative Chart,pradeep kumar singh,Internal,satya prakash chaudhary,PRADEEP KUMAR SINGH,15-Oct-2025 02:24 PM,16-Oct-2025 12:00 PM,techsummary_1968032.pdf (200.39 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Tender Notice,Executive Engineer,Executive Engineer Baghla Canal Division Prayagraj,"53,600",No,percentage,2.0%,Nil,Nil,1.0,SBI Bank,Renewal/Renovation of High Level Feeder canal service road from km 2.500 to km 4.300 in District Prayagraj.,Renewal/Renovation of High Level Feeder canal service road from km 2.500 to km 4.300 in District Prayagraj.,Please refer Tender documents. ,NA ,"26,80,000",Civil Works,NA ,Tender,90.0,45.0,Bara Tehshil,212107.0,NA ,NA ,NA ,Prayagraj,No ,No,"U P Irrigation Department (Civil)||Chief Engineer-Sone, Varanasi||Irrigation Works Circle, Allahabad||BCD, allahabad",04/EE/2025-26,2025_UPIDC_1076988_2,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,854.0,Nil,Nil,No,30-Sep-2025 11:30 AM,07-Oct-2025 12:30 PM,30-Sep-2025 11:30 AM,07-Oct-2025 11:30 AM,NA ,NA ,30-Sep-2025 11:30 AM,07-Oct-2025 11:30 AM,16-Oct-2025 12:00 PM,AOC
,,,,,,,,,,,,,,,,2,5588901,M. S. GROUP,06-Oct-2025 10:21 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,15-Oct-2025 12:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,5588894,M/S GUFRAN CONSTRUCTION,07-Oct-2025 09:05 AM,Rejected-Finance,HIGEST BID,29-Oct-2025 04:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,5586176,M/S SAI CONSTRUCTION,07-Oct-2025 10:20 AM,Accepted-AOC,AOC,29-Oct-2025 04:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,5583319,RAMDAS,05-Oct-2025 09:43 AM,Rejected-Finance,2ND LOWEST,29-Oct-2025 04:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
