Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE BASTI CIRCLE,2025_REDUP_1050979_8,19/RED/Nivida Patrawali/Bond Clerk/2025-26 Dt. 11.04.2025,Teuwa Gram Kevtahiya Deeh se Dokam Primary School tak CC road nirman karya,1.0,5276904.0,AWADHESH KUMAR,INR,"4,977,848.03",1,5276904,AWADHESH KUMAR,26-Jun-2025 06:41 PM,Accepted-AOC,a,23-Aug-2025 02:18 PM,25-Aug-2025,"INR 4,977,848.03",180.0,MuneshKumar Lodhi,23-Aug-2025 02:18 PM,19lot8.pdf (627.00 KB),a,ER MUNESH KUMAR LODHI,Internal,se,MuneshKumar Lodhi,30-Jul-2025 03:16 PM,06-Aug-2025 12:00 PM,techsummary_1910077.pdf (548.00 KB),Finance,c,MuneshKumar Lodhi,23-Aug-2025 01:57 PM,,BOQ Comparative Chart,ER MUNESH KUMAR LODHI,Internal,se,MuneshKumar Lodhi,23-Aug-2025 02:16 PM,finsummary_1910077.pdf (627.43 KB),Technical,Summary,Shailendra Chaudhary,29-Jul-2025 09:24 AM,,AOC,1,Fee/PreQual/Technical,.pdf,technical,"2,714",Nil,Nil,No,"1,00,000",No,fixed,,Nil,Nil,21-Jun-2025 06:55 PM,27-Jun-2025 03:00 PM,21-Jun-2025 06:55 PM,27-Jun-2025 12:00 PM,21-Jun-2025 06:55 PM ,27-Jun-2025 12:00 PM ,21-Jun-2025 06:55 PM,27-Jun-2025 12:00 PM,06-Aug-2025 12:00 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE BASTI CIRCLE,19/RED/Nivida Patrawali/Bond Clerk/2025-26 Dt. 11.04.2025,2025_REDUP_1050979_8,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,Teuwa Gram Kevtahiya Deeh se Dokam Primary School tak CC road nirman karya,Teuwa Gram Kevtahiya Deeh se Dokam Primary School tak CC road nirman karya,as per sbd ,NA ,"49,87,500",Civil Works,NA ,Tender,90.0,180.0,WORKS,272001.0,NA ,NA ,NA ,O/O SERED CIRCLE BASTI,No ,No,SERED CIRCLE BASTI,O/O SERED CIRCLE BASTI,AOC
,,,,,,,,,2,5276920,M/S MALIK JAFAR THEKEDAR,26-Jun-2025 06:56 PM,Rejected-Finance,r,23-Aug-2025 02:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
