Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Tender Stage
21-Aug-2025,"INR 770,583.42",90.0,Yogendra Nath Kushwaha,21-Aug-2025 04:21 PM,AOC.pdf (657.00 KB),AADI SHKATI CONSTRUCTION AND SUPPLIER FOUND L1,1.0,5407959.0,AADI SHAKTI CONSTRUCTION AND SUPPLIER,06-Aug-2025 10:54 PM,Accepted-AOC,L1,21-Aug-2025 04:22 PM,1.0,5407959.0,AADI SHAKTI CONSTRUCTION AND SUPPLIER,INR,"770,583",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Jaunpur,2025_SCIDC_1061471_1,079/EE/JNP-MLA/25-26 DT-30-07-25,UNDER MLA BADLAPUR ESTEBLISHMENT OF 01 NOS 500 LPH WATER ATM AT BABUGANJ BAZAR MEHRAJGANJ,Finance,AADI SHAKTI CONSTRUCTION AND SUPPLIER FOUND L1,Yogendra Nath Kushwaha,19-Aug-2025 12:18 PM,finance_1934036.pdf,BOQ Comparative Chart,SRI YN KUSHWAHA,Internal,VAIBHAV TRIPATHI ACCT SRI MALIK MOHD ASHAD JE,Yogendra Nath Kushwaha,14-Aug-2025 06:54 PM,14-Aug-2025 06:55 PM,techsummary_1934036.pdf (399.07 KB),Technical,TWO BID FOUND FOR THE TENDER,Yogendra Nath Kushwaha,14-Aug-2025 06:47 PM,technical_1934036.pdf,SRI YN KUSHWAHA,Internal,SRI VAIBHAV TRIPATHI ACCT SRI MALIK ASAD JE,Yogendra Nath Kushwaha,19-Aug-2025 12:20 PM,finsummary_1934036.pdf (575.17 KB),AOC,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Jaunpur,079/EE/JNP-MLA/25-26 DT-30-07-25,2025_SCIDC_1061471_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"16,000",No,fixed,,Ex engineer upscidc ltd,JAUNPUR,1,DD - Demand Draft,UNDER MLA BADLAPUR ESTEBLISHMENT OF 01 NOS 500 LPH WATER ATM AT BABUGANJ BAZAR MEHRAJGANJ,UNDER MLA BADLAPUR ESTEBLISHMENT OF 01 NOS 500 LPH WATER ATM AT BABUGANJ BAZAR MEHRAJGANJ,Please refer Tender documents. ,NA ,"7,71,432",Civil Works - Others,WATER ATM ,Tender,90.0,90.0,BABAUGANJ MEHRAJGANJ,222001.0,NA ,NA ,NA ,Ex enginner office UPSCIDC LTD JAUNPUR,No ,No,"1,062",Ex engineer upscidc ltd,JAUNPUR,No,30-Jul-2025 06:55 PM,11-Aug-2025 01:00 PM,30-Jul-2025 06:55 PM,11-Aug-2025 12:00 PM,NA ,NA ,30-Jul-2025 06:55 PM,11-Aug-2025 12:00 PM,14-Aug-2025 06:55 PM,Ex enginner UPSCIDC LTD JAUNPUR,VAN VIHAR ROAD BHUPATPATTI JAUNPUR,1.0,DATE,Date,,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,AOC
,,,,,,,2.0,5411795.0,M/S SHYAM JI ENTERPRISES,08-Aug-2025 01:42 PM,Rejected-Finance,L2,19-Aug-2025 12:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
