Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Banda||Executive Engineer MLCD Banda,14/Lot7/MLCDBanda/2024-25,2025_UPIDM_1002848_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Providing, Laying, Jointing, testing and commissioning of HDPE pipe 500 mm Dia PE-100 grade and PN-8 from 0.580 km to 0.890 km in Hatetipurwa minor pipeline of Ramjanki pump canal","Providing, Laying, Jointing, testing and commissioning of HDPE pipe 500 mm Dia PE-100 grade and PN-8 from 0.580 km to 0.890 km in Hatetipurwa minor pipeline of Ramjanki pump canal",Please refer Tender documents. ,NA ,"21,77,172",Miscellaneous Works,NA ,Tender,90.0,NA ,"Ganchha, Banda",210001.0,NA ,NA ,NA ,MLCD Banda,No ,No,Executive Engineer,MLCD Banda,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Tender Document,854.0,Nil,Nil,No,25-May-2026 12:38 PM,01-Mar-2025 02:30 PM,24-Feb-2025 09:00 AM,01-Mar-2025 10:00 AM,NA ,NA ,24-Feb-2025 09:00 AM,01-Mar-2025 10:00 AM,05-Mar-2025 09:00 AM,"64,000",No,fixed,,Nil,Nil,AOC,AKHIL KUMAR,Internal,,Akhil Kumar,04-Mar-2025 10:48 PM,05-Mar-2025 09:00 AM,techsummary_1813132.pdf (1394.46 KB),Finance,All bids are admitted as per financial specification,Akhil Kumar,05-Mar-2025 11:06 AM,,BOQ Comparative Chart,AKHIL KUMAR,Internal,,Akhil Kumar,05-Mar-2025 02:51 PM,finsummary_1813132.pdf (1394.46 KB),Technical,As per Technical Specification,Akhil Kumar,04-Mar-2025 07:40 PM,,1,5008854,MS KRISHNA ENTERPRISES,28-Feb-2025 10:16 PM,Accepted-AOC,L1,13-Aug-2025 04:28 PM,1.0,5008854.0,MS KRISHNA ENTERPRISES,INR,"2,862,632",U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Banda||Executive Engineer MLCD Banda,2025_UPIDM_1002848_2,14/Lot7/MLCDBanda/2024-25,"Providing, Laying, Jointing, testing and commissioning of HDPE pipe 500 mm Dia PE-100 grade and PN-8 from 0.580 km to 0.890 km in Hatetipurwa minor pipeline of Ramjanki pump canal",13-Aug-2025,"INR 2,862,632",45.0,Akhil Kumar,13-Aug-2025 04:28 PM,lot7.pdf (478.00 KB),L1,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5008886,TRISHIRA CONSTRUCTION PVT LTD,28-Feb-2025 11:30 PM,Rejected-Finance,more than lowest amount,05-Mar-2025 02:51 PM,,,,,,,,,,,,,,,,,AOC
