EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
"4,600",Yes,fixed,,Nil,Nil,1.0,SBI Bank,21-Jun-2025 10:00 AM,01-Jul-2025 12:30 PM,21-Jun-2025 10:00 AM,01-Jul-2025 12:00 PM,NA ,NA ,21-Jun-2025 10:00 AM,01-Jul-2025 12:00 PM,03-Jul-2025 09:00 AM,EERED AGRA,EERED AGRA,589.0,Nil,Nil,No,2. Vikas khand baroli ahir ke gram miyapur ke ganpati enclave me T point ke pass sarvjanik sthal pr 18 watt solar light ka karya,2. Vikas khand baroli ahir ke gram miyapur ke ganpati enclave me T point ke pass sarvjanik sthal pr 18 watt solar light ka karya,Please refer Tender documents. ,NA ,,Solar Street Lights,NA ,Tender,90.0,90.0,AGRA,282002.0,NA ,NA ,NA ,EE RED AGRA,No ,No,1,Fee/PreQual/Technical,.pdf,technical,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE||EE AGRA,187/NIVIDA AGRA/2025-26 dt 16.05.2025,2025_REDUP_1050671_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,DATE,Date,,AOC,EERED,Internal,,Dinesh Singh,02-Jul-2025 12:16 PM,03-Jul-2025 09:00 AM,techsummary_1909500.pdf (93.47 KB),Finance,F,Dinesh Singh,03-Jul-2025 02:22 PM,,BOQ Comparative Chart,EERED,Internal,,Dinesh Singh,23-Aug-2025 12:58 PM,finsummary_1909500.pdf (93.47 KB),Technical,T,Dinesh Singh,02-Jul-2025 11:40 AM,,1,5281719,M/S SAI ENTERPRISES,30-Jun-2025 04:23 PM,Rejected-Finance,L2,23-Aug-2025 12:58 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE||EE AGRA,2025_REDUP_1050671_2,187/NIVIDA AGRA/2025-26 dt 16.05.2025,2. Vikas khand baroli ahir ke gram miyapur ke ganpati enclave me T point ke pass sarvjanik sthal pr 18 watt solar light ka karya,1.0,5281550.0,TANYA CONSTRUCTION,INR,"23,281.244",23-Aug-2025,"INR 23,281.244",90.0,Dinesh Singh,28-Aug-2025 02:59 PM,BL.pdf (93.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5281550,TANYA CONSTRUCTION,30-Jun-2025 05:04 PM,Accepted-AOC,L1,28-Aug-2025 02:59 PM,,,,,,,,,,,,,,,,AOC
