Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Replacement (Fabrication and Erection) of Main Roller Assembly with Bearing of Two-Tier gates at Okhla Barrage in New Delhi,Replacement (Fabrication and Erection) of Main Roller Assembly with Bearing of Two-Tier gates at Okhla Barrage in New Delhi,Please refer Tender documents. ,NA ,"44,86,000",Miscellaneous Works,NA ,Tender,120.0,180.0,Okhla Barrage New Delhi,110020.0,NA ,NA ,NA ,KANPUR NAGAR,No ,No,"2,360",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Tender Document,SE,SE OFFICE IRRIGATION WORKSHOP CIRCLE 1 67 A CANTT KANPUR NAGAR,"90,000",No,fixed,,Nil,Nil,1.0,SBI Bank,14-Aug-2025 05:50 PM,26-Aug-2025 01:00 PM,14-Aug-2025 05:50 PM,26-Aug-2025 12:30 PM,NA ,NA ,14-Aug-2025 05:50 PM,26-Aug-2025 12:30 PM,16-Sep-2025 03:10 PM,U P Irrigation Department (Mechanical)||Central Equipment and Stores Procurement||S E Irrigation Workshop Circle - I Kanpur,"15/SE/IWC1K/2025-26, Lot-02",2025_UPIDM_1065785_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,SE,Internal,,Vijay Kumar,16-Sep-2025 04:37 PM,finsummary_1942806.pdf (444.65 KB),Technical,All Bidder successfully Admitted,Vijay Kumar,27-Aug-2025 02:25 PM,,SE,Internal,,Vijay Kumar,16-Sep-2025 02:57 PM,16-Sep-2025 03:10 PM,techsummary_1942806.pdf (444.65 KB),Finance,All Bidder successfully Admitted,Vijay Kumar,16-Sep-2025 04:23 PM,,BOQ Comparative Chart,U P Irrigation Department (Mechanical)||Central Equipment and Stores Procurement||S E Irrigation Workshop Circle - I Kanpur,2025_UPIDM_1065785_1,"15/SE/IWC1K/2025-26, Lot-02",Replacement (Fabrication and Erection) of Main Roller Assembly with Bearing of Two-Tier gates at Okhla Barrage in New Delhi,1.0,5486333.0,swastik traders,INR,"4,194,410",1,5481802,pawan kumar,24-Aug-2025 01:42 PM,Rejected-Finance,2nd lowest,16-Sep-2025 04:37 PM,23-Sep-2025,"INR 4,194,410",180.0,Vijay Kumar,04-Oct-2025 01:43 PM,15lot02aoc.pdf (528.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5492944,SHOBHA ENTERPRISES,25-Aug-2025 05:52 PM,Rejected-Finance,3rd lowest,16-Sep-2025 04:37 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5486333,swastik traders,25-Aug-2025 01:36 PM,Accepted-AOC,Contract have been awarded .,04-Oct-2025 01:43 PM,,,,,,,,AOC
