Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Executive Engineer,U.M.B.C.D.G.C. Khurja,1.0,Fee/PreQual/Technical,.pdf,TENDER DOCUMENT,13-Aug-2025 09:00 AM,22-Aug-2025 03:00 PM,13-Aug-2025 09:00 AM,22-Aug-2025 12:00 PM,NA ,NA ,13-Aug-2025 09:00 AM,22-Aug-2025 12:00 PM,03-Sep-2025 11:00 AM,1.0,SBI Bank,"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Irrigation Works Circle, Mathura||UMBGC, khurja",08/E.E./2025-26,2025_UPIDC_1065054_27,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,124",Nil,Nil,No,Construction of precast Boundry wall,Construction of Retaining wall,Please refer Tender documents. ,NA ,"27,00,000",Civil Works,NA ,Tender,90.0,90.0,U.M.B.C.D.G.C. Khurja,203131.0,NA ,NA ,NA ,U.M.B.C.D.G.C. Khurja,No ,No,"54,000",No,fixed,,Nil,Nil,AOC,1.0,5470404.0,M/S PRADEEP ASSOCIATES,INR,"1,893,299.53",Neeraj kumar tyagi,Internal,NEERAJ KUMAR TYAGI UMESH KUMAR,NEERAJ TYAGI,09-Sep-2025 08:57 AM,finsummary_1941714.pdf (26.53 KB),Finance,financial report,NEERAJ TYAGI,03-Sep-2025 02:03 PM,finance_1941714.pdf,BOQ Comparative Chart,"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Irrigation Works Circle, Mathura||UMBGC, khurja",2025_UPIDC_1065054_27,08/E.E./2025-26,Construction of precast Boundry wall,1,5466236,ARTIST BRO,22-Aug-2025 05:49 AM,Rejected-Finance,4,09-Sep-2025 08:57 AM,Neeraj kumar tyagi,Internal,Neeraj kumar tyagi umesh kumar,NEERAJ TYAGI,31-Aug-2025 09:11 PM,03-Sep-2025 11:00 AM,techsummary_1941714.pdf (183.28 KB),09-Oct-2025,"INR 1,893,299.53",90.0,NEERAJ TYAGI,18-Oct-2025 04:55 PM,d48.pdf (965.00 KB),date of start 09.10.2025,Technical,Technical report,NEERAJ TYAGI,30-Aug-2025 10:04 PM,technical_1941714.pdf,AOC
,,,,.pdf,Drawing 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,5466224,Arvind Kumar,20-Aug-2025 06:31 PM,Rejected-Technical,Reject,31-Aug-2025 09:11 PM,,,,,,,,,,,,,,,,,,,,AOC
,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,5470778,DEVENDRA KUMAR SHARMA,22-Aug-2025 07:31 AM,Rejected-Finance,7,09-Sep-2025 08:57 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,5469129,M/s AMAN MACHINERY STORE,21-Aug-2025 06:34 PM,Rejected-Finance,6,09-Sep-2025 08:57 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,5470178,M/S CHAUDHARY ENTERPRISES,21-Aug-2025 08:03 PM,Rejected-Technical,Reject,31-Aug-2025 09:11 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,5470160,M/S DEEN DAYAL CONTRACTOR,22-Aug-2025 11:09 AM,Rejected-Finance,12,09-Sep-2025 08:57 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,5470996,M/S Harish Kumar Contractor,21-Aug-2025 11:53 PM,Rejected-Finance,2,09-Sep-2025 08:57 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,5465716,M/s Narendra Kumar Contractor,21-Aug-2025 03:44 PM,Rejected-Finance,13,09-Sep-2025 08:57 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,5470404,M/S PRADEEP ASSOCIATES,21-Aug-2025 10:56 PM,Accepted-AOC,Accept,18-Oct-2025 04:55 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,5471818,M/s Prince Construction,22-Aug-2025 10:16 AM,Rejected-Finance,9,09-Sep-2025 08:57 AM,,,,,,,,,,,,,,,,,,,,AOC
