Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Betwa Project, Jhansi||Irrigation Contruction Circle, Jhansi||Irrigation Contruction Division-5, Jhansi",2025_UPIDC_1077419_5,01/EE/2025-26,Bed and Berm scrapping and Jungle Clearance work of Rajwara Minor From KM. 0.000 to 2.400 and Dugara Minor From KM. 0.000 to 2.400 at Pathrai Dam,1.0,5581483.0,GIRIRAJ CONSTRUCTION,INR,"65,542",1,5579716,ANUSKA ASSOCIATE,04-Oct-2025 11:35 AM,Rejected-Finance,NOT BEING LOWEST,28-Oct-2025 05:49 PM,28-Oct-2025,"INR 89,320",25.0,Nitin Kumar,28-Oct-2025 05:52 PM,F5.pdf (197.00 KB),AOC,EE NITIN KUMAR,Internal,EE NITIN KUMAR EE AJAI KUMAR,Nitin Kumar,06-Oct-2025 01:00 PM,08-Oct-2025 01:00 PM,techsummary_1969058.pdf (249.18 KB),Finance,Result,Nitin Kumar,08-Oct-2025 01:41 PM,finance_1969058.pdf,BOQ Comparative Chart,EE NITIN KUMAR,Internal,EE NITIN KUMAR EE AJAI KUMAR DAO B S DOHARE,Nitin Kumar,28-Oct-2025 05:49 PM,finsummary_1969058.pdf (196.90 KB),Technical,All Bids are admitted,Nitin Kumar,04-Oct-2025 05:48 PM,technical_1969058.pdf,AOC,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,Bed and Berm scrapping and Jungle Clearance work of Rajwara Minor From KM. 0.000 to 2.400 and Dugara Minor From KM. 0.000 to 2.400 at Pathrai Dam,Bed and Berm scrapping and Jungle Clearance work of Rajwara Minor From KM. 0.000 to 2.400 and Dugara Minor From KM. 0.000 to 2.400 at Pathrai Dam,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,25.0,Pathrai Dam Jhansi,284205.0,NA ,NA ,NA ,Jhansi,No ,No,26-Sep-2025 10:00 AM,04-Oct-2025 04:00 PM,26-Sep-2025 10:00 AM,04-Oct-2025 01:00 PM,NA ,NA ,26-Sep-2025 10:00 AM,04-Oct-2025 01:00 PM,08-Oct-2025 01:00 PM,"2,000",No,fixed,,Nil,Nil,1.0,SBI Bank,"U P Irrigation Department (Civil)||Chief Engineer-Betwa Project, Jhansi||Irrigation Contruction Circle, Jhansi||Irrigation Contruction Division-5, Jhansi",01/EE/2025-26,2025_UPIDC_1077419_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,559.0,Nil,Nil,No,Executive Engineer,"Office of The Executive Engineer, Irrigation construction Division 5 Jhansi",AOC
,,,,,,,,,2,5581483,GIRIRAJ CONSTRUCTION,04-Oct-2025 12:11 PM,Accepted-AOC,AOC,28-Oct-2025 05:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5580058,M/S NANHI BAI ENTERPRISES,03-Oct-2025 05:17 PM,Rejected-Finance,NOT BEING LOWEST,28-Oct-2025 05:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5580122,Ramji Construction,03-Oct-2025 06:26 PM,Rejected-Finance,NOT BEING LOWEST,28-Oct-2025 05:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5581541,RIDDHI CONSTRUCION COMPANY,04-Oct-2025 12:36 PM,Rejected-Finance,NOT BEING LOWEST,28-Oct-2025 05:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
