Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
1,Fee/PreQual/Technical,.pdf,Technical PDF,"The construction work of interlocking from CC Road to house of Shri Ramchandra and up to house Shri Jiut in the village assembly Rura Sultanpur, in the majra Koriyana, length 300 meters. Block Bijua.","The construction work of interlocking from CC Road to house of Shri Ramchandra and up to house Shri Jiut in the village assembly Rura Sultanpur, in the majra Koriyana, length 300 meters. Block Bijua.",Please Refer Tender Document ,NA ,"17,92,800",Civil Works,NA ,Tender,90.0,60.0,Lakhimpur Kheri,262701.0,NA ,NA ,NA ,RED Lakhimpur Kheri,No ,No,25-Jun-2025 12:00 PM,01-Jul-2025 12:30 PM,25-Jun-2025 12:00 PM,01-Jul-2025 12:00 PM,NA ,NA ,25-Jun-2025 12:00 PM,01-Jul-2025 12:00 PM,10-Jul-2025 12:00 PM,944.0,Nil,Nil,No,Hemant Saxena,Executive Engineer Rural Engineering Department Vikas Bhawan Lakhimpur Kheri,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE KHERI,246_13/MLAY/KHERI/2025-26,2025_REDUP_1049606_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"36,000",No,fixed,,Nil,Nil,1.0,SBI Bank,AOC,Hemant Saxena,Internal,,Hemant Saxena,11-Jul-2025 10:16 PM,finsummary_1907470.pdf (441.46 KB),Technical,Recommended for Technical Evaluation,Hemant Saxena,01-Jul-2025 09:22 PM,technical_1907470.pdf,Hemant Saxena,Internal,,Hemant Saxena,05-Jul-2025 10:37 PM,10-Jul-2025 12:00 PM,techsummary_1907470.pdf (358.52 KB),Finance,Recommended for Financial Evaluation,Hemant Saxena,11-Jul-2025 08:53 AM,finance_1907470.pdf,BOQ Comparative Chart,1,5281968,NEERAJ CONSTRUCTION AND SUPPLIER,01-Jul-2025 09:47 AM,Rejected-Finance,2nd Lowest Bidder,11-Jul-2025 10:16 PM,1.0,5283204.0,RAJ KUMAR GIRI,INR,"1,792,612",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE KHERI,2025_REDUP_1049606_1,246_13/MLAY/KHERI/2025-26,"The construction work of interlocking from CC Road to house of Shri Ramchandra and up to house Shri Jiut in the village assembly Rura Sultanpur, in the majra Koriyana, length 300 meters. Block Bijua.",16-Jul-2025,"INR 1,792,791.66",60.0,Hemant Saxena,04-Aug-2025 09:44 AM,AOC_246_13.pdf (280.00 KB),AOC
2,Finance,.xls,Bill Of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5283204,RAJ KUMAR GIRI,01-Jul-2025 09:57 AM,Accepted-AOC,Accepted,04-Aug-2025 09:44 AM,,,,,,,,,,,,,,,,AOC
