Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||VI Circle Irrigation Works, Lucknow||LD-2SC, lucknow",2025_UPIDC_1078432_1,04/EE/2025-26,Earth work in Clearance of Nagwa Nala from Km. 12.000 to Km. 0.000,1.0,5588367.0,AKANKSHA ASSOCIATES,INR,"1,292,315.92",1,5588367,AKANKSHA ASSOCIATES,07-Oct-2025 11:28 AM,Accepted-AOC,Lowest,31-Oct-2025 04:24 PM,31-Oct-2025,"INR 1,292,315.92",30.0,Mukesh Kumar Vaish,31-Oct-2025 04:24 PM,Aoc04.pdf (277.00 KB),AOC,Mukesh Kumar Vaish,Internal,Ajay kumar Chaudhary. E.E. Y.K. Yadav D.A.O.,Mukesh Kumar Vaish,14-Oct-2025 02:17 PM,finsummary_1971608.pdf (30.21 KB),Technical,Technical,Mukesh Kumar Vaish,10-Oct-2025 04:44 PM,technical_1971608.pdf,Mukesh Kumar Vaish,Internal,"AJAY KUMAR CHAUDHARI Executive Engineer Y. k. Yadav, D.A.O.",Mukesh Kumar Vaish,10-Oct-2025 04:47 PM,14-Oct-2025 02:00 PM,techsummary_1971608.pdf (209.61 KB),Finance,Finacial,Mukesh Kumar Vaish,14-Oct-2025 02:13 PM,finance_1971608.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,Tenter Notice,"51,806",Yes,percentage,2.0%,Nil,Nil,Earth work in Clearance of Nagwa Nala from Km. 12.000 to Km. 0.000,Earth work in Clearance of Nagwa Nala from Km. 12.000 to Km. 0.000,Refer tender Document ,NA ,"25,90,275",Civil Works - Canal,NA ,Rate Contract,90.0,30.0,Lucknow,226010.0,NA ,NA ,NA ,"OFFICE OF EXECUTIVE ENGINEER L.D-2,.S.C",No ,No,30-Sep-2025 03:00 PM,08-Oct-2025 03:15 PM,30-Sep-2025 03:00 PM,08-Oct-2025 03:00 PM,NA ,NA ,30-Sep-2025 03:00 PM,08-Oct-2025 03:00 PM,14-Oct-2025 02:00 PM,1.0,SBI Bank,854.0,Nil,Nil,No,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||VI Circle Irrigation Works, Lucknow||LD-2SC, lucknow",04/EE/2025-26,2025_UPIDC_1078432_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,EXECUTIVE ENGINEER,"OFFICE OF EXECUTIVE ENGINEER L.D-2,.S.C",AOC
,,,,,,,,,2,5591400,Mohammad Abdulla,08-Oct-2025 02:12 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,10-Oct-2025 04:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Bid Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5591483,M/S J.P. INTERPRISES,07-Oct-2025 08:45 PM,Rejected-Finance,IV Lowest,14-Oct-2025 02:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Bill Of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5580474,M/S MAHAJAN CONSTRUCTION AND SUPPLIER,06-Oct-2025 08:07 PM,Rejected-Finance,II Lowest,14-Oct-2025 02:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5590803,M/S R.N.CONSTRUCTION,07-Oct-2025 06:47 PM,Rejected-Finance,III Lowest,14-Oct-2025 02:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,5593090,M/S Vinay Construction,08-Oct-2025 02:56 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,10-Oct-2025 04:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
