Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,07-Aug-2025 03:05 PM,08-Aug-2025 12:00 PM,techsummary_1929298.pdf (370.03 KB),Technical,Technical bid open,Sujit Kumar Sinha,05-Aug-2025 04:05 PM,technical_1929298.pdf,12-Aug-2025,"INR 1,031,638.73",180.0,Sujit Kumar Sinha,21-Aug-2025 01:35 PM,30_457.pdf (101.00 KB),1,5393637,M/s Vaishnavi Construction,02-Aug-2025 04:26 PM,Accepted-AOC,AOC,21-Aug-2025 01:35 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,2025_REDUP_1059289_30,"398/RED/E-Tender(10)/2025-26, Dt. 04.07.2025",G.P. Badrauli me Chulambha damar road se Musibat Ali ke khet tak kharanja nirman karya-Kaisarganj_30,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,08-Aug-2025 05:26 PM,finsummary_1929298.pdf (75.05 KB),Finance,Financial bid open,Sujit Kumar Sinha,08-Aug-2025 04:03 PM,finance_1929298.pdf,BOQ Comparative Chart,1.0,5393637.0,M/s Vaishnavi Construction,INR,"1,031,638.73",AOC,1,Fee/PreQual/Technical,.pdf,Technical bid document,1.0,SBI Bank,Executive Engineer,"Office of the Executive Engineer, R.E.D. Bahraich",24-Jul-2025 12:00 PM,05-Aug-2025 12:30 PM,24-Jul-2025 12:00 PM,04-Aug-2025 12:00 PM,NA ,NA ,24-Jul-2025 12:00 PM,04-Aug-2025 12:00 PM,08-Aug-2025 12:00 PM,G.P. Badrauli me Chulambha damar road se Musibat Ali ke khet tak kharanja nirman karya-Kaisarganj_30,G.P. Badrauli me Chulambha damar road se Musibat Ali ke khet tak kharanja nirman karya-Kaisarganj_30,Please refer Tender documents. ,NA ,"8,75,000",Civil Works,NA ,Tender,90.0,180.0,Bahraich,271801.0,"Office of the Executive Engineer, R.E.D. Bahraich ","Office of the Executive Engineer, R.E.D. Bahraich ",25-Jul-2025 12:00 PM ,"Office of the Executive Engineer, R.E.D. Bahraich",No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,"398/RED/E-Tender(10)/2025-26, Dt. 04.07.2025",2025_REDUP_1059289_30,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"17,500",No,fixed,,Nil,Nil,788.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,2,5397580,PUSHPA ENTERPRISES,02-Aug-2025 04:39 PM,Rejected-Finance,High,08-Aug-2025 05:26 PM,,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
