Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
05-Jun-2025 02:00 PM,11-Jun-2025 01:00 PM,05-Jun-2025 02:00 PM,11-Jun-2025 12:00 PM,NA ,NA ,05-Jun-2025 02:00 PM,11-Jun-2025 12:00 PM,16-Jun-2025 12:00 PM,1,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,"Stone Lining of Badagaon Main Canal, Jhansi Reach 1.515 km to 1.635 km LOT-2","Stone Lining of Badagaon Main Canal, Jhansi Reach 1.515 km to 1.635 km LOT-2",Please refer Tender documents. ,NA ,"13,50,000",Civil Works,NA ,Tender,90.0,120.0,Badagaon Jhansi,284121.0,NA ,NA ,NA ,Jhansi,No ,No,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell) - Jhansi||Executive Engineer (LCD)-Jhansi,05/LCDJ/EE/2025-26,2025_UPIDM_1046068_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,EXECUTIVE ENGINEER LIFT CANAL DIVISION JHANSI,OFFICE OF THE EXECUTIVE ENGINEER LIFT CANAL DIVISION GWALIOR ROAD CIVIL LINES JHANSI,"27,000",No,fixed,,Nil,Nil,1.0,SBI Bank,767.0,Nil,Nil,No,AOC,EE JAGANNATH PRASAD,Internal,EE JAGANNATH PRASAD EE VIKRAM SINGH AE MANOJ KUMAR GUPTA,JAGANNATH PRASAD,18-Aug-2025 07:18 PM,finsummary_1899414.pdf (709.22 KB),Technical,technical bid open,Manoj Kumar Gupta,12-Jun-2025 03:12 PM,,EE Jagannath Prasad,Internal,EE Jagannath Prasad EE Vikram Singh AE Manoj Kumar Gupta,JAGANNATH PRASAD,14-Jun-2025 02:20 PM,16-Jun-2025 12:00 PM,techsummary_1899414.pdf (524.64 KB),Finance,Financial Evaluation Complete,JAGANNATH PRASAD,18-Aug-2025 07:14 PM,finance_1899414.pdf,BOQ Comparative Chart,1.0,5244992.0,M/S RAJARAM,11-Jun-2025 08:35 AM,Rejected-Finance,Not Being Lowest,18-Aug-2025 07:18 PM,1.0,5245045.0,Shrishti Construction,INR,"953,313",U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell) - Jhansi||Executive Engineer (LCD)-Jhansi,2025_UPIDM_1046068_2,05/LCDJ/EE/2025-26,"Stone Lining of Badagaon Main Canal, Jhansi Reach 1.515 km to 1.635 km LOT-2",18-Aug-2025,"INR 1,350,000",120.0,JAGANNATH PRASAD,18-Aug-2025 07:20 PM,AOC_05_02.pdf (709.00 KB),AOC,AOC
,,,,,,,,,2,Financial Details ,Balance Sheets ,Copy of balance sheets audited by Chartered Accountant in support of annual turnover ,,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5244226.0,M/s Sanika Construction,10-Jun-2025 04:30 PM,Rejected-Finance,Not Being Lowest,18-Aug-2025 07:18 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,Misc. document ,Any other document ,Any other document ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5245045.0,Shrishti Construction,11-Jun-2025 10:43 AM,Accepted-AOC,AOC,18-Aug-2025 07:20 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,Tax related documents ,PAN card ,PAN card ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,Technical Details ,Other Technical Documents ,Other Technical Documents ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
