Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"Office of The Director Ground Water Department||Joint Director Allahabad||Executive Engineer, GWD Dn-Azamgarh (Hydrological)",01/PIEZO/AZAMGARH/2025-26,2025_UPGWD_1071352_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Installation of 25 NOS of New Piezometers,Installation of 25 nos. of New Piezometers in different district of division Azamgarh,Please refer Tender documents. ,NA ,"25,21,000",Civil Works - Others,NA ,Tender,90.0,NA ,Azamgarh Division,276001.0,NA ,NA ,NA ,Azamgarh,No ,No,"1,000",Nil,Nil,Yes,06-Sep-2025 09:00 AM,15-Sep-2025 01:00 PM,08-Sep-2025 11:00 AM,15-Sep-2025 12:00 PM,NA ,NA ,08-Sep-2025 11:00 AM,15-Sep-2025 12:00 PM,19-Sep-2025 12:00 PM,"50,500",Yes,fixed,,Nil,Nil,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Documents Required as per tender notice,Executive Engineer Div Azamgarh,Ground Water Department Div Azamgarh,AOC,PIYUSH KUMAR PANDEY,Internal,,Piyush Kumar Pandey,18-Sep-2025 05:51 PM,19-Sep-2025 12:00 PM,techsummary_1955048.pdf (646.80 KB),Finance,Admitted,Piyush Kumar Pandey,19-Sep-2025 12:42 PM,finance_1955048.pdf,BOQ Comparative Chart,PIYUSH KUMAR PANDEY,Internal,,Piyush Kumar Pandey,19-Sep-2025 12:48 PM,finsummary_1955048.pdf (210.34 KB),Technical,Admitted,Piyush Kumar Pandey,18-Sep-2025 03:54 PM,technical_1955048.pdf,"Office of The Director Ground Water Department||Joint Director Allahabad||Executive Engineer, GWD Dn-Azamgarh (Hydrological)",2025_UPGWD_1071352_1,01/PIEZO/AZAMGARH/2025-26,Installation of 25 NOS of New Piezometers,1.0,5530426.0,JATA SHANKAR RAI CONTRACTOR,INR,"2,504,972.25",1,5530426,JATA SHANKAR RAI CONTRACTOR,12-Sep-2025 02:19 PM,Accepted-AOC,Lowest Bid,01-Oct-2025 06:09 PM,06-Oct-2025,"INR 2,520,602.14",60.0,Piyush Kumar Pandey,01-Oct-2025 06:08 PM,aocpz2025.pdf (337.00 KB),Installation of 25 NOS of New Piezometers,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,bid document,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5533835,MAHADEV TRADING,14-Sep-2026 05:16 PM,Rejected-Technical,WorkExperienceasperNITConditionno8,18-Sep-2025 05:51 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5533878,M/S S.K. TRADERS,14-Sep-2025 03:04 PM,Rejected-Finance,L2,19-Sep-2025 12:48 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5531803,Sanjeev Kumar Rai,13-Sep-2025 12:42 PM,Rejected-Finance,L3,19-Sep-2025 12:48 PM,,,,,,,,AOC
