Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Instrument Type,Tender Stage
Construction and Design Services UP Jal Nigam||C.G.M. (II) Noida||G.M. (09) Noida||Unit-17 Mathura,2025_UPCDS_1028627_1,302/M-14/28 Dated 15-04-2025,"CONSTRUCTION OF MARRIAGE HALL IN NAGAR PALIKA PARISHAD KOSIKALAN, AT DISTT. MATHURA (U.P.)",1.0,5172104.0,sheetal Co,INR,119.89,1,5179728,kunal and company,09-May-2025 10:37 PM,Rejected-Finance,Bid Rank is L4,10-Oct-2025 03:48 PM,10-Oct-2025,INR 119.89,365.0,KAPIL M. Singh,10-Oct-2025 03:56 PM,LOA963DOSBGKosikalan.pdf (4071.00 KB),Bid Rank is L1,Cheif General Manager,Internal,"General Manager (N-11), General Manager (Nodal), General Manager (Tech.) and Finance Officer",KAPIL M. Singh,11-Jul-2025 02:13 PM,15-Jul-2025 03:30 PM,techsummary_1859707.pdf (774.16 KB),Finance,OUT OF 04 BIDDERS RATES QUOTED BY sheetal Co IS L1,KAPIL M. Singh,15-Jul-2025 03:48 PM,,BOQ Comparative Chart,Cheif General Manager,Internal,"General Manager (N-11), General Manager (Nodal), General Manager (Tech.) and Finance Officer",KAPIL M. Singh,10-Oct-2025 03:48 PM,finsummary_1859707.pdf (4070.70 KB),Technical,04 BIDDERS PARTICIPATED IN THIS BID. RESULT OF TECHNICAL EVALUATION WILL BE UPLOADED LATER ON.,KAPIL M. Singh,13-May-2025 04:39 PM,technical_1859707.pdf,AOC,"2,51,000",No,fixed,,AS PER NIT,AS PER NIT,1.0,Fee/PreQual/Technical,.pdf,Scanned Copies of Tender Fees and EMD Fees,1.0,EXTENSION OF DATES-II,Date,,PROJECT MANAGER,"Unit-17, C. and D.S., UP Jal Nigam(U), Mathura","11,800",AS PER NIT,AS PER NIT,No,16-Apr-2025 10:00 AM,13-May-2025 03:30 PM,16-Apr-2025 10:00 AM,13-May-2025 03:00 PM,NA ,NA ,21-Apr-2025 12:00 PM,13-May-2025 03:00 PM,15-Jul-2025 03:30 PM,Construction and Design Services UP Jal Nigam||C.G.M. (II) Noida||G.M. (09) Noida||Unit-17 Mathura,302/M-14/28 Dated 15-04-2025,2025_UPCDS_1028627_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Offline,No,No,No,"CONSTRUCTION OF MARRIAGE HALL IN NAGAR PALIKA PARISHAD KOSIKALAN, AT DISTT. MATHURA (U.P.)","CONSTRUCTION OF MARRIAGE HALL IN NAGAR PALIKA PARISHAD KOSIKALAN, AT DISTT. MATHURA (U.P.)",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,120.0,365.0,"KOSIKALAN, MATHURA",281403.0,NA ,NA ,NA ,AS PER NIT,No ,No,1.0,RTGS - RTGS Payment,AOC
,,,,,,,,,2,5162755,M/S SHRI SHAKTI POWER CORPORATION,08-May-2025 10:59 AM,Rejected-Finance,Bid Rank is L2,10-Oct-2025 03:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Documents for Technical Evaluation,2.0,Modification in NIT and Tender Document,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5172104,sheetal Co,08-May-2025 01:49 PM,Accepted-AOC,Bid Rank is L1,10-Oct-2025 03:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.xls,Capability Statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5184229,SWAROOP CONSTRUCTION,13-May-2025 07:35 AM,Rejected-Finance,Bid Rank is L3,10-Oct-2025 03:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,Finance,.xls,Financial Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
