Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Agra,2025_SCIDC_1042181_4,21/FZD/MP/25-26,Installation of 1 Nos. Solar LED Street Light name of Shri Sunil Kumar S/o Late Aneg Singh Village- Jajumai Block- Jasrana,1.0,5284853.0,M/S RAJKAMAL CONSTRUCTIONS,INR,"20,397.96",1.0,5284853.0,M/S RAJKAMAL CONSTRUCTIONS,01-Jul-2025 09:34 PM,Accepted-AOC,OK,13-Aug-2025 04:21 PM,17-Jul-2025,"INR 20,397.96",120.0,Rakesh Sikarwar,13-Aug-2025 04:20 PM,21FFZD.pdf (1494.00 KB),Shri R.K. Sikarwar,Internal,,Rakesh Sikarwar,17-Jul-2025 12:28 PM,finsummary_1912773.pdf (1494.43 KB),Technical,Bid is OK.,Rakesh Sikarwar,11-Jul-2025 12:23 PM,technical_1912773.pdf,Shri R.K. Sikarwar,Internal,,Rakesh Sikarwar,11-Jul-2025 05:10 PM,11-Jul-2025 05:15 PM,techsummary_1912773.pdf (364.28 KB),Finance,Rate of M/S RAJKAMAL CONSTRUCTIONS is accepted.,Rakesh Sikarwar,17-Jul-2025 12:14 PM,finance_1912773.pdf,BOQ Comparative Chart,AOC,408.0,Yes,fixed,,UPSCIDCO,Firozabad,1,Fee/PreQual/Technical,.pdf,NIT,Installation of 1 Nos. Solar LED Street Light name of Shri Sunil Kumar S/o Late Aneg Singh Village- Jajumai Block- Jasrana,Installation of 1 Nos. Solar LED Street Light name of Shri Sunil Kumar S/o Late Aneg Singh Village- Jajumai Block- Jasrana,Please refer Tender documents. ,NA ,"20,400",Electrical Works,NA ,Tender,120.0,120.0,Firozabad,283203.0,NA ,NA ,NA ,128 Puschimpuri Pani Tanki ke pass Shikandra Agra,No ,No,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Agra,21/FZD/MP/25-26,2025_SCIDC_1042181_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,RTGS - RTGS Payment,26-Jun-2025 12:30 PM,02-Jul-2025 01:00 PM,26-Jun-2025 12:30 PM,02-Jul-2025 12:00 PM,NA ,NA ,26-Jun-2025 12:30 PM,02-Jul-2025 12:00 PM,25-May-2026 12:47 PM,Ex. En.,128 Puschimpuri Pani Tanki ke pass Shikandra Agra,532.0,UPSCIDCO,Firozabad,Yes,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
