S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1,DD - Demand Draft,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Jaunpur,043/EE/JNP-PVN/2025-26 DT-30-06-2025,2025_SCIDC_1052936_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"1,062",Ex engineer upscidc ltd,JAUNPUR,No,Ex enginner UPSCIDC LTD JAUNPUR,VAN VIHAR ROAD JAUNPUR,"21,000",No,fixed,,Ex engineer upscidc ltd,JAUNPUR,21-Jul-2025 10:55 AM,26-Jul-2025 12:00 PM,21-Jul-2025 10:55 AM,26-Jul-2025 11:00 AM,NA ,NA ,21-Jul-2025 10:55 AM,26-Jul-2025 11:00 AM,13-Aug-2025 10:00 AM,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,DOBHI VILL PADRAKCHHA ME PITCH ROAD TO SANTAN YADAV RES 215 MTR CC ROAD,DOBHI VILL PADRAKCHHA ME PITCH ROAD TO SANTAN YADAV RES 215 MTR CC ROAD,Please refer Tender documents. ,NA ,"10,03,144",Civil Works - Roads,C.C ROAD ,Tender,90.0,90.0,DOBHI,222001.0,NA ,NA ,NA ,Ex enginner office UPSCIDC LTD JAUNPUR,No ,No,AOC,Finance,MAA AMRAWTI ENTERPRISES FOUND L1 AS PER BOQ CHART,Yogendra Nath Kushwaha,21-Aug-2025 04:29 PM,finance_1927447.pdf,BOQ Comparative Chart,SRI YN KUSHWAHA,Internal,SRI VAIBHAV TRIPATHI ACCT SRI MALIK MOHD ASHAD JE,Yogendra Nath Kushwaha,12-Aug-2025 07:25 PM,13-Aug-2025 10:00 AM,techsummary_1927447.pdf (395.95 KB),Technical,TWO BID FOUND FOR THE TENDER,Yogendra Nath Kushwaha,12-Aug-2025 07:23 PM,technical_1927447.pdf,SRI YN KUSHWAHA,Internal,SRI VAIBHAV TRIPATHI ACCT SRI MALIK MOHD ASHAD,Yogendra Nath Kushwaha,21-Aug-2025 04:30 PM,finsummary_1927447.pdf (573.06 KB),21-Aug-2025,"INR 1,002,140.86",90.0,Yogendra Nath Kushwaha,21-Aug-2025 04:36 PM,AOC.pdf (670.00 KB),MAA AMRAWATI ENTERPRISES FOUND L1 AS PER BOQ CHART,1.0,5375902.0,BHAGWATI CHAND,26-Jul-2025 07:23 AM,Rejected-Finance,L2,21-Aug-2025 04:30 PM,1.0,5375818.0,TWINKAL SAROJ,INR,"1,002,141",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Jaunpur,2025_SCIDC_1052936_3,043/EE/JNP-PVN/2025-26 DT-30-06-2025,DOBHI VILL PADRAKCHHA ME PITCH ROAD TO SANTAN YADAV RES 215 MTR CC ROAD,AOC
2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5375818.0,TWINKAL SAROJ,26-Jul-2025 06:44 AM,Accepted-AOC,L1,21-Aug-2025 04:36 PM,,,,,,,,,,AOC
3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
