S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,SBI Bank,18-Jan-2025 11:00 AM,03-Feb-2025 03:00 PM,18-Jan-2025 11:00 AM,03-Feb-2025 12:00 PM,NA ,NA ,18-Jan-2025 11:00 AM,03-Feb-2025 12:00 PM,20-Feb-2025 12:00 PM,1,Fee/PreQual/Technical,.pdf,Fees and Technical Documents,"22,560",No,percentage,2.0%,Nil,Nil,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE FAIZABAD CIRCLE||EE FAIZABAD,3445/EE RED AYODHYA/24-25 Dt 21/12/2024,2025_REDUP_994572_7,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Under District Ayodhya, Construction of CC road at Gram Panchayat HARDOIYA from the house of entire Padain Abdul Hameed to the house of Shyam Narayan former head, Lot No 7","Under District Ayodhya, Construction of CC road at Gram Panchayat HARDOIYA from the house of entire Padain Abdul Hameed to the house of Shyam Narayan former head, Lot No 7",Please refer Tender documents. ,NA ,"11,28,000",Civil Works,NA ,Tender,90.0,90.0,Ayodhya,224001.0,"EE RED AYODHYA, Vikas Bhawan, Ayodhya ","EE RED AYODHYA, Vikas Bhawan, Ayodhya ",24-Jan-2025 11:00 AM ,"EE RED AYODHYA, Vikas Bhawan, Ayodhya",No ,No,"1,180",Nil,Nil,No,"EE RED AYODHYA, Vikas Bhawan, Ayodhya","EE RED AYODHYA, Vikas Bhawan, Ayodhya",AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE FAIZABAD CIRCLE||EE FAIZABAD,2025_REDUP_994572_7,3445/EE RED AYODHYA/24-25 Dt 21/12/2024,"Under District Ayodhya, Construction of CC road at Gram Panchayat HARDOIYA from the house of entire Padain Abdul Hameed to the house of Shyam Narayan former head, Lot No 7",Technical,Summary,Munesh Kumar Lodhi,11-Feb-2025 03:02 PM,,Er M K Lodhi EE RED Ayodhya,Internal,,Mahendra Kumar,13-Aug-2025 08:19 AM,finsummary_1761186.pdf (2970.61 KB),1.0,4880846.0,SWANAND CONSTRUCTION,INR,"1,325,493",1,4882838,AJEET SINGH,25-Jan-2025 05:15 PM,Rejected-Finance,Rejected,13-Aug-2025 08:19 AM,13-Aug-2025,"INR 1,325,493",90.0,Mahendra Kumar,13-Aug-2025 08:24 AM,3445_7.pdf (2971.00 KB),Er Munesh Kumar Lodhi EE RED Ayodhya,Internal,"Er Munesh Kumar Lodhi EE RED Ayodhya, Er M K Singh AE RED Ayodhya, Mr Somesh Verma DAO RED Ayodhya",Somesh Verma,17-Feb-2025 10:59 AM,20-Feb-2025 12:00 PM,techsummary_1761186.pdf (1680.46 KB),Finance,Summary,Munesh Kumar Lodhi,27-Feb-2025 01:29 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,2,Finance,.xls,Financial Documents(BoQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,4880846,SWANAND CONSTRUCTION,24-Jan-2025 07:27 PM,Accepted-AOC,AOC,13-Aug-2025 08:24 AM,,,,,,,,,,,,,,,,,,,,AOC
