Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Uttar Pradesh Power Corporation Ltd.||SE Civil HQ Shakti Bhawan Extension||EE Civil HQ Attached to CE Civil 2||SE Civil HQ||EE ECCD Ist,08/ECCD-I/ 2025-26,2025_UPPCL_1040584_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,M and R of Plaster repairing internal painting and other misc civil works in Res no 4and22 and 4and39 With Servent Quarter and Res No4and10 At Vivekanandpuri Hydel officers Colony Lucknow,M and R of Plaster repairing internal painting and other misc civil works in Res no 4and22 and 4and39 With Servent Quarter and Res No4and10 At Vivekanandpuri Hydel officers Colony Lucknow,NA ,NA ,"3,47,743",Civil Works,NA ,Tender,120.0,90.0,LUCKNOW,226024.0,NA ,NA ,NA ,"EE, ECCD-1 ALIGANJ LKO",No ,No,EE,"EE, ECCD-1 ALIGANJ LKO",20-May-2025 10:00 AM,04-Jun-2025 03:30 PM,20-May-2025 10:00 AM,03-Jun-2025 05:00 PM,NA ,NA ,20-May-2025 10:00 AM,03-Jun-2025 05:00 PM,17-Jun-2025 04:15 PM,1.0,RTGS - RTGS Payment,1.0,Fee/PreQual/Technical,.pdf,TENDER FEE AND EMD,"7,000",No,fixed,,"EE, ECCD-1 ALIGANJ",Lucknow,590.0,"EE, ECCD-1 ALIGANJ",Lucknow,No,AOC,SE,Internal,EE,Krishna Kumar,25-Jun-2025 09:00 PM,finsummary_1887501.pdf (759.88 KB),Technical,TECHNICAL SUMAARY,Arpit Srivastava,04-Jun-2025 10:17 PM,technical_1887501.pdf,SE,Internal,EE,Arpit Srivastava,17-Jun-2025 04:09 PM,17-Jun-2025 04:15 PM,techsummary_1887501.pdf (358.63 KB),Finance,Financial Summary,Krishna Kumar,17-Jun-2025 04:40 PM,finance_1887501.pdf,BOQ Comparative Chart,1,5219996,M/S KAY KAY Enterprises,27-May-2025 09:49 PM,Rejected-AOC,As Per Higher Value,14-Aug-2025 12:25 PM,Uttar Pradesh Power Corporation Ltd.||SE Civil HQ Shakti Bhawan Extension||EE Civil HQ Attached to CE Civil 2||SE Civil HQ||EE ECCD Ist,2025_UPPCL_1040584_1,08/ECCD-I/ 2025-26,M and R of Plaster repairing internal painting and other misc civil works in Res no 4and22 and 4and39 With Servent Quarter and Res No4and10 At Vivekanandpuri Hydel officers Colony Lucknow,1.0,5228703.0,M/S RAKESH ASSOCIATES,INR,"241,473.27",14-Aug-2025,"INR 347,743.76",90.0,Krishna Kumar,14-Aug-2025 12:25 PM,LOI08.pdf (627.00 KB),As per Loi,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PRE QUAL DOCS,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5228703,M/S RAKESH ASSOCIATES,01-Jun-2025 01:38 AM,Accepted-AOC,As per Lowest Value,14-Aug-2025 12:25 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5231465,RAKESH KUMAR TIWARI,03-Jun-2025 06:48 AM,Rejected-AOC,As Per Higher Value,14-Aug-2025 12:25 PM,,,,,,,,,,,,,,,,,AOC
