Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1,Fee/PreQual/Technical,.pdf,Technical Bid Document,"3,400",No,fixed,,Nil,Nil,"Repair and upgradation work of Anganwadi Center Raideed, Block Payagpur_20","Repair and upgradation work of Anganwadi Center Raideed, Block Payagpur_20",Please refer Tender documents. ,NA ,"1,70,000",Civil Works,NA ,Tender,90.0,90.0,Bahraich,271801.0,"Office of the Executive Engineer, R.E.D. Bahraich ","Office of the Executive Engineer, R.E.D. Bahraich ",16-Jul-2025 12:30 PM ,"Office of the Executive Engineer, R.E.D. Bahraich",No ,No,596.0,Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,"366/RED/E-Tender(9)/2025-26, Dt. 30.06.2025",2025_REDUP_1057295_20,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,"Office of the Executive Engineer, R.E.D. Bahraich",16-Jul-2025 12:00 PM,23-Jul-2025 12:30 PM,16-Jul-2025 12:00 PM,22-Jul-2025 05:00 PM,NA ,NA ,16-Jul-2025 12:00 PM,22-Jul-2025 05:00 PM,28-Jul-2025 11:00 AM,1.0,SBI Bank,AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,2025_REDUP_1057295_20,"366/RED/E-Tender(9)/2025-26, Dt. 30.06.2025","Repair and upgradation work of Anganwadi Center Raideed, Block Payagpur_20",1,5364771,M/s Vaishnavi Construction,22-Jul-2025 02:28 PM,Rejected-Finance,High,28-Jul-2025 05:09 PM,1.0,5362190.0,M/s Vikram Jaiswal,INR,"193,770.81",Finance,Financial bid open,Sujit Kumar Sinha,28-Jul-2025 03:03 PM,finance_1924477.pdf,BOQ Comparative Chart,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,28-Jul-2025 05:09 PM,finsummary_1924477.pdf (76.34 KB),Technical,Technical bid open,Sujit Kumar Sinha,23-Jul-2025 06:09 PM,technical_1924477.pdf,08-Aug-2025,"INR 193,770.81",90.0,Sujit Kumar Sinha,25-Aug-2025 05:23 PM,20.pdf (86.00 KB),Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,25-Jul-2025 01:35 PM,28-Jul-2025 11:00 AM,techsummary_1924477.pdf (186.42 KB),AOC
2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,5362190,M/s Vikram Jaiswal,22-Jul-2025 03:25 PM,Accepted-AOC,AOC,25-Aug-2025 05:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
