Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||V Circle Irrigation Works, Bareilly||HWDSC, bareilly",E-Tender Notice No 03/EE/2025-26,2025_UPIDC_1067327_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"6,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,"Executive Engineer ,Head works Division, Sarda can","Executive Engineer, Head works Division, Sarda canal Bareilly.",Nai Sharda Deva Poshak Nahar ke Km. 3.440 Per Sthit FRB Avm Km. 12.540 Per Sthit DRB ki Marmmart Avm Rangai Putai ke Karan.,Nai Sharda Deva Poshak Nahar ke Km. 3.440 Per Sthit FRB Avm Km. 12.540 Per Sthit DRB ki Marmmart Avm Rangai Putai ke Karan.,Please refer Tender documents. ,NA ,"2,52,000",Civil Works - Canal,NA ,Tender,90.0,30.0,Banbasa,262310.0,NA ,NA ,NA ,"Executive Engineer ,Head works Division, Sarda can",No ,No,26-Aug-2025 10:00 AM,03-Sep-2025 02:00 PM,26-Aug-2025 11:00 AM,03-Sep-2025 11:00 AM,NA ,NA ,26-Aug-2025 11:00 AM,03-Sep-2025 11:00 AM,10-Sep-2025 11:00 AM,1,Fee/PreQual/Technical,.pdf,Tender Document,677.0,Nil,Nil,No,AOC,"Executive Engineer ,Head works Division, Sarda canal Bareilly.",Internal,"Executive Engineer, I.D, Bareilly.",RAJIV KUMAR SINGH,06-Sep-2025 12:44 PM,10-Sep-2025 11:00 AM,techsummary_1946520.pdf (556.64 KB),Finance,Letter,RAJIV KUMAR SINGH,15-Sep-2025 04:25 PM,finance_1946520.pdf,BOQ Comparative Chart,"Executive Engineer ,Head works Division, Sarda canal Bareilly.",Internal,"Executive Engineer, I.D, Bareilly.",RAJIV KUMAR SINGH,15-Sep-2025 05:23 PM,finsummary_1946520.pdf (556.64 KB),Technical,Letter,RAJIV KUMAR SINGH,06-Sep-2025 11:44 AM,technical_1946520.pdf,1,5514403,JAGDISH CHANDRA SHRIVASTAVA,03-Sep-2025 10:58 AM,Accepted-AOC,"Accepted,BeingL-1",30-Oct-2025 12:01 PM,1.0,5514403.0,JAGDISH CHANDRA SHRIVASTAVA,INR,"240,861.49","U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||V Circle Irrigation Works, Bareilly||HWDSC, bareilly",2025_UPIDC_1067327_1,E-Tender Notice No 03/EE/2025-26,Nai Sharda Deva Poshak Nahar ke Km. 3.440 Per Sthit FRB Avm Km. 12.540 Per Sthit DRB ki Marmmart Avm Rangai Putai ke Karan.,18-Oct-2025,"INR 240,861.49",30.0,RAJIV KUMAR SINGH,30-Oct-2025 12:01 PM,Lot3.pdf (557.00 KB),Letter,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Boq,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5514448,M/S TANISHAQ ENTERPRISES,03-Sep-2025 10:20 AM,Rejected-Finance,"Rejected,BeingL-2",15-Sep-2025 05:23 PM,,,,,,,,,,,,,,,,,AOC
