Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
U P Irrigation Department (Mechanical)||Central Equipment and Stores Procurement||S E Irrigation Workshop Circle - I Kanpur||E E Barrage Mechanical Maintenance Div Varanasi,2025_UPIDM_1055393_5,TD_05/EEBMMDVNS/2025_26,"Replacement of Bottom rubber seal at Banbasa barrage, Banbasa, Distt Champawat, Uttarakhand",1.0,5362142.0,M/S S S ENTERPRISES,INR,"2,577,030",1,5364414,ANUPAM INFRATECH,22-Jul-2025 01:24 PM,Not Admitted-Finance,Others-Technical Not Quilified,26-Jul-2025 03:52 PM,14-Oct-2025,"INR 2,577,030",90.0,Sujeet Kumar Singh,14-Oct-2025 02:20 PM,AOC_05_02.pdf (910.00 KB),SUJEET KUMAR SINGH,Internal,,Sujeet Kumar Singh,13-Oct-2025 05:35 PM,finsummary_1925904.pdf (909.63 KB),Technical,Part A opened,Sujeet Kumar Singh,26-Jul-2025 03:01 PM,technical_1925904.pdf,SUJEET KUMAR SINGH,Internal,,Sujeet Kumar Singh,26-Jul-2025 03:16 PM,26-Jul-2025 03:20 PM,techsummary_1925904.pdf (220.53 KB),Finance,Part B opened,Sujeet Kumar Singh,26-Jul-2025 03:52 PM,finance_1925904.pdf,BOQ Comparative Chart,AOC,"Replacement of Bottom rubber seal at Banbasa barrage, Banbasa, Distt Champawat, Uttarakhand","Replacement of Bottom rubber seal at Banbasa barrage, Banbasa, Distt Champawat, Uttarakhand",Please refer Tender documents. ,NA ,"27,16,000",Miscellaneous Works,NA ,Tender,90.0,90.0,UTTARAKHAND,262310.0,NA ,NA ,NA ,VARANASI,No ,No,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,U P Irrigation Department (Mechanical)||Central Equipment and Stores Procurement||S E Irrigation Workshop Circle - I Kanpur||E E Barrage Mechanical Maintenance Div Varanasi,TD_05/EEBMMDVNS/2025_26,2025_UPIDM_1055393_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,590.0,Nil,Nil,No,17-Jul-2025 04:55 PM,23-Jul-2025 01:00 PM,17-Jul-2025 04:55 PM,22-Jul-2025 05:00 PM,NA ,NA ,17-Jul-2025 04:55 PM,22-Jul-2025 05:00 PM,26-Jul-2025 03:20 PM,1.0,SBI Bank,EXECUTIVE ENGINEER,Office Of Executive Engineer Barrage Mechanical Maintenance Division Ashapur Sarnath Varanasi. 221007,"55,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,2,5362142,M/S S S ENTERPRISES,21-Jul-2025 05:16 PM,Accepted-AOC,Lower Rate,14-Oct-2025 02:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5362671,RAJEEV JOHRI,21-Jul-2025 09:30 PM,Rejected-Finance,Hiigher Rate,13-Oct-2025 05:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
