Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XI Circle Irrigation Works, Faizabad",2025_UPIDC_1080140_3,03/SE-XI/2025-26,PS PER NIT LOT 03,1.0,5602569.0,M/S K.K. TRADERS,INR,"12,890,375.74",1,5600363,ALOK KUMAR SINGH,11-Oct-2025 06:15 PM,Rejected-Finance,L7,31-Oct-2025 04:31 PM,31-Oct-2025,"INR 12,890,375.74",45.0,Dhruva Chandra Verma,31-Oct-2025 05:58 PM,AOC.pdf (486.00 KB),DC VERMA,Internal,ATTACHED,Dhruva Chandra Verma,31-Oct-2025 04:31 PM,finsummary_1976275.pdf (200.53 KB),Technical,TECHNICAL BID OPENING SUMMARY,Dhruva Chandra Verma,21-Oct-2025 11:04 AM,technical_1976275.pdf,DC VERMA,Internal,ATTACHED,Dhruva Chandra Verma,21-Oct-2025 11:10 AM,24-Oct-2025 01:00 PM,techsummary_1976275.pdf (450.16 KB),Finance,FINANCIAL BID OPENING SUMMARY,Dhruva Chandra Verma,31-Oct-2025 04:14 PM,,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,TENDER DOCUMENT,1.0,date extension,Date,,1.0,SBI Bank,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XI Circle Irrigation Works, Faizabad",03/SE-XI/2025-26,2025_UPIDC_1080140_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,SUPERINTENDING ENGINEER,"O/O SE, XITH CIRCLE IW AYODHYA",PS PER NIT LOT 03,PS PER NIT LOT 03,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,90.0,45.0,AYODHYA,224001.0,"O/O SE, XITH CIRCLE IW AYODHYA ","O/O SE, XITH CIRCLE IW AYODHYA ",06-Oct-2025 01:00 PM ,"O/O SE, XITH CIRCLE IW AYODHYA",No ,No,"4,649",Nil,Nil,No,06-Oct-2025 09:00 AM,14-Oct-2025 02:00 PM,06-Oct-2025 10:00 AM,14-Oct-2025 01:30 PM,NA ,NA ,06-Oct-2025 10:00 AM,14-Oct-2025 01:30 PM,24-Oct-2025 01:00 PM,"3,30,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,2,5604883,ARUN CONSTRUCTION,13-Oct-2025 08:23 PM,Rejected-Finance,L13,31-Oct-2025 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5600036,G S INFRA,14-Oct-2025 11:40 AM,Rejected-Finance,L3,31-Oct-2025 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5602979,M/S ADITYA CONSTRUCTION COMPANY,13-Oct-2025 10:25 AM,Rejected-Finance,L6,31-Oct-2025 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5602652,M/S BHARAT RAJ VERMA,13-Oct-2025 04:36 PM,Rejected-Finance,L2,31-Oct-2025 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,5606994,M/S JANARDAN PATHAK THEKEDAR,14-Oct-2025 12:51 PM,Rejected-Finance,L14,31-Oct-2025 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,5602991,M/s Kamal Construction,14-Oct-2025 12:01 PM,Rejected-Finance,L4,31-Oct-2025 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,5602569,M/S K.K. TRADERS,13-Oct-2025 01:50 AM,Accepted-AOC,L1,31-Oct-2025 05:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,5602392,M/S OBELION CONSTRUCTIONS,13-Oct-2025 07:18 PM,Rejected-Finance,L8,31-Oct-2025 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,5604390,M/S SINGH CONSTRUCTION,13-Oct-2025 05:49 PM,Rejected-Finance,L12,31-Oct-2025 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
