Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Instrument Type,Tender Stage
UP Rajya Vidyut Utpadan Nigam Ltd||Obra Thermal Power Project- UPRVUNL- Sonebhadra,2025_RVUNL_1039581_1,01/SE/OCCCC-I/OCCCD-II/2025-26,CONSTRUCTION OF OPERATOR CABIN JE ROOM AND STORE ROOM FOR COAL HANDLING AND TURBINE CONSTRUCTION DIVISION OF 2X660MW OBRA C THERMAL POWER EXTENSION PROJECT,1.0,5236375.0,M/S SHAHZADEY KHAN,INR,"3,147,625",1,5238400,M/S SANJU ENTERPRISES,06-Jun-2025 12:32 PM,Rejected-Technical,Not as per PQC,01-Aug-2025 05:44 PM,26-Aug-2025,"INR 3,147,625",180.0,AJAY KUMAR SHARMA,26-Aug-2025 05:30 PM,LOIstore.pdf (256.00 KB),Award of Contract,CGM,Internal,GM civil DGM F SE OCCCI EE OCCCDII,AJAY KUMAR SHARMA,01-Aug-2025 05:44 PM,01-Aug-2025 06:00 PM,techsummary_1885086.pdf (198.26 KB),Finance,financial summary,AJAY KUMAR SHARMA,01-Aug-2025 06:08 PM,finance_1885086.pdf,BOQ Comparative Chart,CGM,Internal,GMCIVIL DGMF SEOCCCC1 EEOCCCD2,AJAY KUMAR SHARMA,21-Aug-2025 01:17 PM,finsummary_1885086.pdf (198.48 KB),Technical,Financial Summary,AJAY KUMAR SHARMA,11-Jun-2025 07:02 PM,technical_1885086.pdf,AOC,19-May-2025 10:00 AM,11-Jun-2025 05:00 PM,19-May-2025 10:00 AM,09-Jun-2025 06:00 PM,NA ,NA ,19-May-2025 10:00 AM,09-Jun-2025 06:00 PM,01-Aug-2025 06:00 PM,1.0,Corrigendum,Technical Bid,,1.0,Fee/PreQual/Technical,.pdf,T DOC,CONSTRUCTION OF OPERATOR CABIN JE ROOM AND STORE ROOM FOR COAL HANDLING AND TURBINE CONSTRUCTION DIVISION OF 2X660MW OBRA C THERMAL POWER EXTENSION PROJECT,CONSTRUCTION OF OPERATOR CABIN JE ROOM AND STORE ROOM FOR COAL HANDLING AND TURBINE CONSTRUCTION DIVISION OF 2X660MW OBRA C THERMAL POWER EXTENSION PROJECT,As per PQC ,NA ,"39,84,336",Civil Works - Others,NA ,Tender,120.0,180.0,2X660MW OBRA C THERMAL POWER EXTENSION PROJECT,231219.0,NA ,NA ,NA ,Office of the SE OCCCC-I CTPS,No ,No,SE OCCCC-I CTPS,Office of the SE OCCCC-I CTPS,"80,000",No,fixed,,UPRVUNLTD MAIN ACCOUNT CTPS,Obra,"1,180",UPRVUNLTD MAIN ACCOUNT CTPS,Obra,No,UP Rajya Vidyut Utpadan Nigam Ltd||Obra Thermal Power Project- UPRVUNL- Sonebhadra,01/SE/OCCCC-I/OCCCD-II/2025-26,2025_RVUNL_1039581_1,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Offline,No,No,No,1.0,BG - Bank Guarantee,AOC
,,,,,,,,,2,5236375,M/S SHAHZADEY KHAN,06-Jun-2025 12:22 PM,Accepted-AOC,Due toL1 bidder,26-Aug-2025 05:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,RTGS - RTGS Payment,AOC
,,,,,,,,,3,5241023,OM SAI CONSTRUCTION,08-Jun-2025 09:41 PM,Rejected-Finance,Due to L2 bidder,21-Aug-2025 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5241332,RAKESH KUMAR SINGH,09-Jun-2025 10:09 AM,Rejected-Technical,Not as per PQC,01-Aug-2025 05:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5231217,V K ERNTERPRISES,02-Jun-2025 08:31 PM,Rejected-Technical,bid withdrawal,01-Aug-2025 05:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
