Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Externally Aided Project, Lucknow||Drainage Circle, Kanpur",01/SE/2025-26,2025_UPIDC_1036274_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,06-May-2025 11:00 AM,16-May-2025 03:00 PM,06-May-2025 11:00 AM,16-May-2025 01:00 PM,NA ,NA ,06-May-2025 11:00 AM,16-May-2025 01:00 PM,21-May-2025 03:00 PM,SUPERINTENDING ENGINEER DRAINAGE CIRCLE KANPUR,SUPERINTENDING ENGINEER DRAINAGE CIRCLE PHOOLBAGH KANPUR,1.0,Fee/PreQual/Technical,.pdf,NIT,"1,72,000",No,fixed,,Nil,Nil,"2,354",Nil,Nil,No,Silt Clearence of Purha Drain From km. 31.000 to km 47.000 in Distt. Etawah,Silt Clearence of Purha Drain From km. 31.000 to km 47.000 in Distt. Etawah,Please Refer Tender Document ,NA ,"86,20,000",Civil Works - Others,NA ,Tender,90.0,30.0,Etawah,206001.0,NA ,NA ,NA ,Kanpur,No ,No,1.0,SBI Bank,AOC,Ram Gopal,Internal,,Ram Gopal,28-May-2025 11:57 AM,finsummary_1877409.pdf (216.48 KB),Technical,All Admitted,Ram Gopal,20-May-2025 02:46 PM,,Ram Gopal,Internal,,Ram Gopal,20-May-2025 03:11 PM,21-May-2025 03:00 PM,techsummary_1877409.pdf (216.48 KB),Finance,All Admitted,Ram Gopal,21-May-2025 03:28 PM,,BOQ Comparative Chart,1.0,5192036.0,M/s CHANCHAL ASSOCIATES,INR,"4,223,698","U P Irrigation Department (Civil)||Chief Engineer-Externally Aided Project, Lucknow||Drainage Circle, Kanpur",2025_UPIDC_1036274_1,01/SE/2025-26,Silt Clearence of Purha Drain From km. 31.000 to km 47.000 in Distt. Etawah,1,5192036,M/s CHANCHAL ASSOCIATES,16-May-2025 12:51 PM,Accepted-AOC,L1,29-Oct-2025 01:31 PM,28-May-2025,"INR 4,223,698",30.0,Ram Gopal,29-Oct-2025 01:30 PM,AOC.pdf (789.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5192580,M/S Vinay Construction,16-May-2025 08:18 AM,Rejected-AOC,L2,29-Oct-2025 01:31 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5192843,rupendra kumar bhardwaj,15-May-2025 11:35 PM,Rejected-AOC,L3,29-Oct-2025 01:31 PM,,,,,,,AOC
