Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE KHERI,318_02/MLAY/KHERI/2025-26,2025_REDUP_1050359_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,Construction of drain and interlocking from Abul s house through Shivala temple to Ghanshyam Nigam s house in village panchayat Binoura. Block Nighasan,Construction of drain and interlocking from Abul s house through Shivala temple to Ghanshyam Nigam s house in village panchayat Binoura. Block Nighasan,Please Refer Tender Document ,NA ,"10,65,200",Civil Works,NA ,Tender,90.0,60.0,Lakhimpur Kheri,262701.0,NA ,NA ,NA ,RED Lakhimpur Kheri,No ,No,856.0,Nil,Nil,No,23-Jun-2025 12:00 PM,28-Jun-2025 12:30 PM,23-Jun-2025 12:00 PM,28-Jun-2025 12:00 PM,NA ,NA ,23-Jun-2025 12:00 PM,28-Jun-2025 12:00 PM,10-Jul-2025 12:00 PM,"22,000",No,fixed,,Nil,Nil,Hemant Saxena,Executive Engineer Rural Engineering Department Vikas Bhawan Lakhimpur Kheri,1,Fee/PreQual/Technical,.pdf,Technical PDF,AOC,Finance,Recommended for Financial Evaluation,Hemant Saxena,11-Jul-2025 09:07 AM,finance_1908946.pdf,BOQ Comparative Chart,Hemant Saxena,Internal,,Hemant Saxena,05-Jul-2025 10:45 PM,10-Jul-2025 12:00 PM,techsummary_1908946.pdf (314.41 KB),Technical,Recommended for Technical Evaluation,Hemant Saxena,29-Jun-2025 04:26 PM,technical_1908946.pdf,Hemant Saxena,Internal,,Hemant Saxena,11-Jul-2025 10:05 PM,finsummary_1908946.pdf (407.73 KB),17-Jul-2025,"INR 1,011,987.12",60.0,Hemant Saxena,04-Aug-2025 09:00 AM,AOC_318_02.pdf (280.00 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE KHERI,2025_REDUP_1050359_1,318_02/MLAY/KHERI/2025-26,Construction of drain and interlocking from Abul s house through Shivala temple to Ghanshyam Nigam s house in village panchayat Binoura. Block Nighasan,1.0,5273863.0,SANDEEP,INR,"1,010,773",1,5275676,A.K. SHUKLA CONSTRUCTION COMPANY,25-Jun-2025 08:02 PM,Rejected-Finance,2nd Lowest Bidder,11-Jul-2025 10:05 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Bill Of Quantity,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5273863,SANDEEP,25-Jun-2025 08:21 PM,Accepted-AOC,Accepted,04-Aug-2025 09:01 AM,AOC
