Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Yamuna Expressway Industrial Development Authority,2025_YEIDA_1045380_9,YEA/GM(PROJECT)/2025/333 DT-30/05/2025,"Construction of balance 100 mtr. wide road of road no-06 ch. 0.00 to ch 0.330km in sector -20 and 21,YEA. WC-02",1.0,5248078.0,M/S RUDRAKSHA ENGINEERS AND CONTRACTOR PVT LTD,INR,"8,763,569.27",1,5248929,DEEPTI INFRATECH,13-Jun-2025 03:43 PM,Rejected-Finance,L5,27-Aug-2025 08:02 PM,27-Aug-2025,"INR 8,763,569.27",240.0,VIKAS KUMAR,29-Oct-2025 04:05 PM,3339.pdf (892.00 KB),AOC,Committee,Internal,Committee,VIKAS KUMAR,22-Aug-2025 03:21 PM,22-Aug-2025 03:30 PM,techsummary_1897851.pdf (635.63 KB),Finance,EVALUATION,VIKAS KUMAR,27-Aug-2025 07:57 PM,,BOQ Comparative Chart,Committee,Internal,Committee,VIKAS KUMAR,27-Aug-2025 08:02 PM,finsummary_1897851.pdf (491.71 KB),Technical,UNDER EVALUATION,VIKAS KUMAR,22-Aug-2025 03:15 PM,,AOC,"Construction of balance 100 mtr. wide road of road no-06 ch. 0.00 to ch 0.330km in sector -20 and 21,YEA. WC-02","Construction of balance 100 mtr. wide road of road no-06 ch. 0.00 to ch 0.330km in sector -20 and 21,YEA. WC-02",Please refer Tender documents. ,NA ,"1,42,96,197",Civil Works,NA ,Tender,90.0,240.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201310.0,NA ,NA ,NA ,YEIDA 2nd FLOOR TENDER CELL,No ,No,"2,610",Nil,Nil,No,1.0,SBI Bank,Yamuna Expressway Industrial Development Authority,YEA/GM(PROJECT)/2025/333 DT-30/05/2025,2025_YEIDA_1045380_9,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,03-Jun-2025 06:55 PM,16-Jun-2025 11:00 AM,03-Jun-2025 06:55 PM,13-Jun-2025 05:00 PM,NA ,NA ,03-Jun-2025 06:55 PM,13-Jun-2025 05:00 PM,22-Aug-2025 03:30 PM,1.0,Fee/PreQual/Technical,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC",GM(P),YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,"2,85,925",No,fixed,,Nil,Nil,AOC
,,,,,,,,,2,5248816,M/S KAPIL ENTERPRISES,13-Jun-2025 03:16 PM,Rejected-Finance,L4,27-Aug-2025 08:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",,,,,,,,,AOC
,,,,,,,,,3,5248078,M/S RUDRAKSHA ENGINEERS AND CONTRACTOR PVT LTD,13-Jun-2025 02:21 PM,Accepted-AOC,L1,29-Oct-2025 04:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,APPENDIX A TO E,,,,,,,,,AOC
,,,,,,,,,4,5246982,M/S VIPIN PRAKASH CONTRACTOR,13-Jun-2025 11:26 AM,Rejected-Finance,L3,27-Aug-2025 08:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,,,,,,,,,AOC
,,,,,,,,,5,5247945,OM SAI ASSOCIATES,13-Jun-2025 11:00 AM,Rejected-Finance,L2,27-Aug-2025 08:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIALBID,,,,,,,,,AOC
