Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"Construction of Interlocking Road and Drainage System from Ramsevak Ji Khet to Dharamveer Ji House at Vill. -Nagla Nthua, Block- Jasrana Distt. Firozabad","Construction of Interlocking Road and Drainage System from Ramsevak Ji Khet to Dharamveer Ji House at Vill. -Nagla Nthua, Block- Jasrana Distt. Firozabad",Please refer Tender documents. ,NA ,"14,72,140",Civil Works,NA ,Tender,120.0,120.0,Firozabad,283203.0,NA ,NA ,NA ,128 Puschimpuri Pani Tanki ke pass Shikandra Agra,No ,No,Ex.En.,128 Puschimpuri Pani Tanki ke pass Shikandra Agra,"29,500",Yes,fixed,,UPSCIDCO,FIROZABAD,17-May-2025 01:00 PM,24-May-2025 12:00 PM,17-May-2025 01:00 PM,24-May-2025 11:00 AM,NA ,NA ,17-May-2025 01:00 PM,24-May-2025 11:00 AM,27-May-2025 05:30 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Agra,08/FZD/MLA/25-26,2025_SCIDC_1040087_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"1,652",UPSCIDCO,FIROZABAD,Yes,1.0,RTGS - RTGS Payment,1.0,Fee/PreQual/Technical,.pdf,NIT,AOC,Technical,All Bids are OK,Pramod Kumar,27-May-2025 05:20 PM,technical_1886186.pdf,R.K. Sikarwar E.E.,Internal,,Pramod Kumar,30-May-2025 12:13 PM,finsummary_1886186.pdf (646.96 KB),Finance,Rate of M/s MAA BUILDERS is Accepted,Pramod Kumar,30-May-2025 11:23 AM,finance_1886186.pdf,BOQ Comparative Chart,R.K. Sikarwar E.E.,Internal,,Pramod Kumar,27-May-2025 05:29 PM,27-May-2025 05:30 PM,techsummary_1886186.pdf (646.95 KB),01-Aug-2025,"INR 1,471,698.34",120.0,Pramod Kumar,01-Aug-2025 05:27 PM,08f.pdf (1765.00 KB),U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Agra,2025_SCIDC_1040087_1,08/FZD/MLA/25-26,"Construction of Interlocking Road and Drainage System from Ramsevak Ji Khet to Dharamveer Ji House at Vill. -Nagla Nthua, Block- Jasrana Distt. Firozabad",1.0,5210491.0,M/s MAA BUILDERS,INR,"1,471,698.34",1,5211037,M/s Maa Builders,23-May-2025 06:03 PM,Rejected-AOC,ok,01-Aug-2025 05:27 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5210491,M/s MAA BUILDERS,23-May-2025 02:34 PM,Accepted-AOC,ok,01-Aug-2025 05:27 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5211625,M/s Pratap Singh Contractor,24-May-2025 12:17 AM,Rejected-AOC,ok,01-Aug-2025 05:27 PM,AOC
