S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No.2,Category,Sub Category,Sub Category Description,Format/File,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,SBI Bank,"2,354",Nil,Nil,No,08-Aug-2025 04:00 PM,26-Aug-2025 01:00 PM,08-Aug-2025 04:00 PM,26-Aug-2025 11:00 AM,NA ,NA ,08-Aug-2025 04:00 PM,26-Aug-2025 11:00 AM,27-Aug-2025 01:45 PM,"Brick work ,cement plaster with all cost of material including Labour and Tool and Plant etc at with all cost of material including Labour and Tool and Plant etc at Manikpur Pump canal in District Sitapur .","Brick work ,cement plaster with all cost of material including Labour and Tool and Plant etc at with all cost of material including Labour and Tool and Plant etc at Manikpur Pump canal in District Sitapur .",Please refer Tender documents. ,NA ,"23,35,000",Civil Works - Canal,NA ,Tender,90.0,NA ,Manikpur Pump canal in District Sitapur .,261121.0,NA ,NA ,NA ,"Office of Executive Engineer, Minor Lift Canal Div",No ,No,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Sitapur||Executive Engineer(MLCD)-Lucknow,19/EE/MLCD/LKO/ETender/2025-26,2025_UPIDM_1064235_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,"Mr. Ashutosh kumar Singh, Executive Engineer","Office Of Executive Engineer, Minor Lift Canal Division, 3/435-A, Vishwash khand Gomti Nagar, Lucknow, U.P -226010",1.0,Date Extension,Date,,"46,700",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Tender Fee and EMD,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,AOC,Technical,Technical Evaluation Sheet,Ashutosh Kumar Singh,27-Aug-2025 01:35 PM,technical_1939394.pdf,Ashutosh Kumar Singh EE,Internal,"Mr. Gaurav Singh, Executive Engineer",Ashutosh Kumar Singh,28-Aug-2025 08:28 PM,finsummary_1939394.pdf (4901.00 KB),Finance,Financial Evaluation Sheet,Ashutosh Kumar Singh,28-Aug-2025 05:20 PM,finance_1939394.pdf,BOQ Comparative Chart,Ashutosh Kumar Singh EE,Internal,,Ashutosh Kumar Singh,27-Aug-2025 01:42 PM,27-Aug-2025 01:45 PM,techsummary_1939394.pdf (3713.22 KB),24-Sep-2025,"INR 2,335,000",90.0,Ashutosh Kumar Singh,10-Oct-2025 12:32 PM,1608Aoc.pdf (3838.00 KB),1,5482041,Krishna construction,24-Aug-2025 11:04 AM,Rejected-Finance,Higher Bid,28-Aug-2025 08:28 PM,1.0,5426963.0,M/S Sushila Enterprises,INR,"1,820,998.21",U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Sitapur||Executive Engineer(MLCD)-Lucknow,2025_UPIDM_1064235_1,19/EE/MLCD/LKO/ETender/2025-26,"Brick work ,cement plaster with all cost of material including Labour and Tool and Plant etc at with all cost of material including Labour and Tool and Plant etc at Manikpur Pump canal in District Sitapur .",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST, PAN and Labour Registration",2.0,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5470045,MANJULA MISHRA,21-Aug-2025 08:32 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,27-Aug-2025 01:35 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Firm Registration,3.0,Misc. document ,Any other document ,Any other document ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5471035,M/S M.K. ENTERPRISES,21-Aug-2025 11:54 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,27-Aug-2025 01:35 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Character (IDT-1) and Insolvency (IDT-2),4.0,Tax related documents ,PAN card ,PAN card ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5469655,M/S NARESH KUMAR SONKAR & CO,21-Aug-2025 05:12 PM,Rejected-Finance,Higher Bid,28-Aug-2025 08:28 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Validity and Self Decleration Affidavit (IDT-3),5.0,Technical Details ,Other Technical Documents ,Other Technical Documents ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5427334,M/S SAMARTH CONSTRUCTION,21-Aug-2025 08:18 PM,Rejected-Finance,Higher Bid,28-Aug-2025 08:28 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience Certificate,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5426963,M/S Sushila Enterprises,25-Aug-2025 08:32 PM,Accepted-AOC,Lowest Bid,10-Oct-2025 12:32 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5424735,RAM PRATAP DIXIT,21-Aug-2025 10:51 PM,Rejected-Finance,Higher Bid,28-Aug-2025 08:28 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5468308,Sohi Construction,21-Aug-2025 12:47 PM,Rejected-Finance,Higher Bid,28-Aug-2025 08:28 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5452342,SUMAN TIWARI CONTRACTOR,18-Aug-2025 08:51 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,27-Aug-2025 01:35 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5467731,UDAY RAJ,22-Aug-2025 12:17 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,27-Aug-2025 01:35 PM,,,,,,,,,,AOC
