S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,5387797.0,GANESH ENTERPRISES,29-Jul-2025 01:26 PM,Rejected-Finance,L3,07-Aug-2025 12:07 PM,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,2025_UPRNS_1058651_1,397/UPRNSS/EXEN/2025-26 DT 14-07-25,"Construction of Godown with storage bins, Fencing, Deep boring including 5 HP solar pump and Road light including Pole in A.N.D.T.U. Kumarganj Ayodhya",1.0,5387226.0,MAA SHARDA CONSTRUCTION,INR,"1,968,474.53",07-Aug-2025,"INR 1,985,350",180.0,Satendra Singh Sikarwar,07-Aug-2025 12:12 PM,financial.pdf (1907.00 KB),"Construction of Godown with storage bins, Fencing, Deep boring including 5 HP solar pump and Road light including Pole in A.N.D.T.U. Kumarganj Ayodhya",ExEn,Internal,financial,Satendra Singh Sikarwar,07-Aug-2025 12:07 PM,finsummary_1927051.pdf (1906.76 KB),Technical,technical,Satendra Singh Sikarwar,06-Aug-2025 05:28 PM,technical_1927051.pdf,EXEN,Internal,technical,Satendra Singh Sikarwar,06-Aug-2025 05:31 PM,06-Aug-2025 06:00 PM,techsummary_1927051.pdf (1104.34 KB),Finance,financial,Satendra Singh Sikarwar,07-Aug-2025 12:01 PM,finance_1927051.pdf,BOQ Comparative Chart,AOC,"39,707",No,percentage,2.0%,UTTAR PRADESH RAJYA NIRMAN SAHKARI SANGH LTD.,AYODHYA,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,397/UPRNSS/EXEN/2025-26 DT 14-07-25,2025_UPRNS_1058651_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"Construction of Godown with storage bins, Fencing, Deep boring including 5 HP solar pump and Road light including Pole in A.N.D.T.U. Kumarganj Ayodhya","Construction of Godown with storage bins, Fencing, Deep boring including 5 HP solar pump and Road light including Pole in A.N.D.T.U. Kumarganj Ayodhya",Please refer Tender documents. ,EXEN ,"19,85,350",Civil Works,NA ,Tender,90.0,180.0,A.N.D.T.U. Kumarganj Ayodhya,224229.0,EXEN OFFICE UPRNSS 7/10/30A SARYU NAGAR COLONY AYO ,EXEN OFFICE UPRNSS 7/10/30A SARYU NAGAR COLONY AYODHYA ,23-Jul-2025 11:00 AM ,EXEN OFFICE UPRNSS 7/10/30A SARYU NAGAR COLONY AYO,No ,No,"4,720",UTTAR PRADESH RAJYA NIRMAN SAHKARI SANGH LTD.,AYODHYA,No,EXEN,EXEN OFFICE UPRNSS 7/10/30A SARYU NAGAR COLONY AYODHYA,1,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,NIT1,19-Jul-2025 01:00 PM,30-Jul-2025 11:00 AM,19-Jul-2025 01:00 PM,29-Jul-2025 06:00 PM,NA ,NA ,19-Jul-2025 01:00 PM,29-Jul-2025 06:00 PM,06-Aug-2025 06:00 PM,AOC
2.0,5387226.0,MAA SHARDA CONSTRUCTION,29-Jul-2025 11:42 AM,Accepted-AOC,L1,07-Aug-2025 12:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,BC - Bankers Cheque,,,.pdf,NIT2,,,,,,,,,,AOC
3.0,5373933.0,SUMITRA PATHAK,29-Jul-2025 10:35 AM,Rejected-Finance,L2,07-Aug-2025 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,BG - Bank Guarantee,,,.pdf,BOQ,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,FDR - Fixed Deposit,2.0,Finance,.xls,BOQ,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,RTGS - RTGS Payment,,,,,,,,,,,,,,AOC
