Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
U P Irrigation Department (Mechanical)||Central Equipment and Stores Procurement||S E Irrigation Workshop Circle - I Kanpur||E E Barrage Mechanical Maintenance Div Kanpur,2(LOT-3)/EE/BMMDK/2025-26,2025_UPIDM_1030874_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"EXCAVATION WORK BY HYDRAULIC EXCAVATORS FOR THE PROTECTION OF VILLAGE KOLHUPURVA AND OTHER VILLAGE GROUPS FROM FLOOD AND EROSION, SITUATED AT RIGHT BANK OF RIVER SHARDA, DISTT. SITAPUR.","EXCAVATION WORK BY HYDRAULIC EXCAVATORS FOR THE PROTECTION OF VILLAGE KOLHUPURVA AND OTHER VILLAGE GROUPS FROM FLOOD AND EROSION, SITUATED AT RIGHT BANK OF RIVER SHARDA, DISTT. SITAPUR.",Please refer Tender documents. ,NA ,,Miscellaneous Works,NA ,Tender,120.0,15.0,"village Kolhupurva, Distt. Sitapur.",261401.0,NA ,NA ,NA ,"Office of EE, BMMD, 67A, Kanpur",No ,No,1.0,Fee/PreQual/Technical,.pdf,Tender Document,Executive Engineer,"Executive Engineer, Barrage Mechanical Maintenance Division, Kanpur Irrigation Department U.P., 67-A, Cantt, Kanpur-208004","66,600",No,fixed,,Nil,Nil,590.0,Nil,Nil,No,21-Apr-2025 03:20 PM,29-Apr-2025 03:00 PM,21-Apr-2025 03:20 PM,28-Apr-2026 05:03 PM,NA ,NA ,21-Apr-2025 03:20 PM,28-Apr-2025 05:00 PM,25-May-2026 05:03 PM,1.0,SBI Bank,AOC,Finance,All 3 No financial bids are opened by tender opening committee.,PRANAV SINGH,06-Oct-2025 12:39 PM,,BOQ Comparative Chart,E E,Internal,,PRANAV SINGH,02-May-2025 04:16 PM,02-May-2025 04:20 PM,techsummary_1864548.pdf (550.71 KB),Technical,All 3 No Technical bids are opened by tender opening committee.,PRANAV SINGH,02-May-2025 03:30 PM,,E E,Internal,,PRANAV SINGH,07-Oct-2025 02:25 PM,finsummary_1864548.pdf (462.79 KB),07-Oct-2025,"INR 3,147,000",15.0,PRANAV SINGH,07-Oct-2025 02:28 PM,EE02_3.pdf (463.00 KB),1.0,5149349.0,swastik traders,INR,"3,147,000",U P Irrigation Department (Mechanical)||Central Equipment and Stores Procurement||S E Irrigation Workshop Circle - I Kanpur||E E Barrage Mechanical Maintenance Div Kanpur,2025_UPIDM_1030874_1,2(LOT-3)/EE/BMMDK/2025-26,"EXCAVATION WORK BY HYDRAULIC EXCAVATORS FOR THE PROTECTION OF VILLAGE KOLHUPURVA AND OTHER VILLAGE GROUPS FROM FLOOD AND EROSION, SITUATED AT RIGHT BANK OF RIVER SHARDA, DISTT. SITAPUR.",1,5151696,M/S S S ENTERPRISES,28-Apr-2025 03:02 PM,Rejected-Finance,higher bid rate,07-Oct-2025 02:25 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5149617,SHOBHA ENTERPRISES,27-Apr-2025 06:41 PM,Rejected-Finance,higher bid rate,07-Oct-2025 02:25 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5149349,swastik traders,28-Apr-2025 01:31 PM,Accepted-AOC,lowest bid rate,07-Oct-2025 02:28 PM,AOC
