Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Binod kumar singh,Internal,As per file attached,Binod kumar Singh,28-May-2025 01:39 PM,29-May-2025 11:00 AM,techsummary_1885571.pdf (740.16 KB),12-Jun-2025,"INR 1,158,820",30.0,Binod kumar Singh,07-Aug-2025 04:49 PM,08.pdf (147.00 KB),Technical,Admitted,Binod kumar Singh,23-May-2025 05:43 PM,,1.0,5203420.0,RANA ASSOCIATES,INR,"1,158,820",Binod kumar singh,Internal,,Binod kumar Singh,12-Jun-2025 01:00 PM,finsummary_1885571.pdf (740.16 KB),Finance,Admitted,Binod kumar Singh,29-May-2025 01:27 PM,,BOQ Comparative Chart,1,5203439,M/s Buniyad Ali Contractor,20-May-2025 02:54 PM,Rejected-Technical,As per Tender notice Terms and conditions Sl. No. 31,28-May-2025 01:39 PM,"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Drainage Circle, Aligarh||BSDGC. Bulandshahar",2025_UPIDC_1039376_27,01/EE/2025-26,Silt Clearance of Internal Section of Hawal Drain From Km. 0.000 to Km. 6.400,AOC,"EE, BDGC, BSR","EE, BDGC, BSR","33,320",No,percentage,2.0%,Nil,Nil,1.0,SBI Bank,Silt Clearance of Internal Section of Hawal Drain From Km. 0.000 to Km. 6.400,Silt Clearance of Internal Section of Hawal Drain From Km. 0.000 to Km. 6.400,FEE/EMD/TECH ,NA ,"16,66,000",Civil Works - Canal,NA ,Tender,90.0,30.0,Bulandshahr,203001.0,NA ,NA ,NA ,"EE, BDGC, BSR",No ,No,1.0,Fee/PreQual/Technical,.pdf,Tander Notice,"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Drainage Circle, Aligarh||BSDGC. Bulandshahar",01/EE/2025-26,2025_UPIDC_1039376_27,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,16-May-2025 03:00 PM,21-May-2025 03:10 PM,16-May-2025 03:00 PM,21-May-2025 03:05 PM,NA ,NA ,16-May-2025 03:00 PM,21-May-2025 03:05 PM,29-May-2025 11:00 AM,266.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5204065,M/S RINKU CONTRACTOR,20-May-2025 05:45 PM,Rejected-Finance,L-3,12-Jun-2025 01:00 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5204145,M/S SHRI GANESH ENTERPRISES,20-May-2025 11:44 PM,Rejected-Finance,L-2,12-Jun-2025 01:00 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5198567,OM SAI CONSTRUCTION COMPANY,21-May-2025 10:47 AM,Rejected-Technical,As per Tender notice Terms and conditions Sl. No. 25(iv),28-May-2025 01:39 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5203420,RANA ASSOCIATES,20-May-2025 10:52 PM,Accepted-AOC,AOC,07-Aug-2025 04:49 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
