Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
07-Aug-2025,INR 100,90.0,Virendra Kumar Pandey,07-Aug-2025 02:31 PM,2.pdf (147.00 KB),1,5348256,M/S A P S CONSTRUCTION COMPANY,17-Jul-2025 12:10 PM,Rejected-Finance,L2,07-Aug-2025 12:40 PM,1.0,5347859.0,New Khushi Solar Shop,INR,100.0,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE KUSHINAGAR,2025_REDUP_1057174_2,410 /RED Tender KUSHINAGAR,GRAM SABHA PAIKAULI SAHAALAM KE GHAR SE POKHARI TAK NALI NIRMAN,Finance,Bid Opening Summary,Virendra Kumar Pandey,23-Jul-2025 03:39 PM,,BOQ Comparative Chart,EE RED KUSHINAGAR,Internal,,Virendra Kumar Pandey,23-Jul-2025 11:38 AM,23-Jul-2025 01:00 PM,techsummary_1924181.pdf (134.55 KB),Technical,Bid opening Summary,Virendra Kumar Pandey,23-Jul-2025 10:02 AM,,EE RED KUSHINAGAR,Internal,,Virendra Kumar Pandey,07-Aug-2025 12:40 PM,finsummary_1924181.pdf (147.23 KB),AOC,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,1.0,SBI Bank,752.0,Nil,Nil,No,GRAM SABHA PAIKAULI SAHAALAM KE GHAR SE POKHARI TAK NALI NIRMAN,GRAM SABHA PAIKAULI SAHAALAM KE GHAR SE POKHARI TAK NALI NIRMAN,Please refer Tender documents. ,NA ,"11,25,000",Civil Works,NA ,Tender,90.0,90.0,work,274302.0,NA ,NA ,NA ,EE RED KUSHINAGAR,No ,No,"23,000",No,fixed,,Nil,Nil,16-Jul-2025 09:00 AM,21-Jul-2025 03:00 PM,16-Jul-2025 09:00 AM,21-Jul-2025 12:00 PM,NA ,NA ,16-Jul-2025 09:00 AM,21-Jul-2025 12:00 PM,23-Jul-2025 01:00 PM,EE RED KUSHINAGAR,EE RED KUSHINAGAR,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE KUSHINAGAR,410 /RED Tender KUSHINAGAR,2025_REDUP_1057174_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,2,5347859,New Khushi Solar Shop,17-Jul-2025 11:32 AM,Accepted-AOC,L1,07-Aug-2025 02:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
