EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"27,400",No,fixed,,Nil,Nil,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,1.0,Fee/PreQual/Technical,.pdf,Tender Fee and EMD,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Sitapur||Executive Engineer(MLCD)-Lucknow,17/EE/MLCD/LKO/ETender/2025-26,2025_UPIDM_1064233_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,08-Aug-2025 04:00 PM,22-Aug-2025 02:00 PM,08-Aug-2025 04:00 PM,22-Aug-2025 11:00 AM,NA ,NA ,08-Aug-2025 04:00 PM,22-Aug-2025 11:00 AM,22-Aug-2025 06:15 PM,"Mr. Ashutosh kumar Singh, Executive Engineer","Office Of Executive Engineer, Minor Lift Canal Division, 3/435-A, Vishwash khand Gomti Nagar, Lucknow, U.P -226010",1.0,"1st class Brick work with fourty perc new brick alongwith Cement plaster in main canal from and C.C work in bed with glass strip in main canal Pastaur pump canal, Raibareliincluding all cost of material, labour, Tool and Plant etc as per BOQ",Date,,1st class brick work for lining of canal CC work at Adaura pump canal in district Barabanki,"1st class Brick work with fourty perct. new brick ch (0.00km to 0.410km) alongwith Cement plaster at Pastaur pump canal, Raibareli including all cost of material, labour, Tool and Plant etc as per drawing and BOQ.",Please refer Tender documents. ,NA ,"13,71,000",Civil Works - Canal,NA ,Tender,90.0,NA ,Pastaur pump canal in district Raibareli,229301.0,NA ,NA ,NA ,Officeof Executive Engineer Minor Lift Canal Divi.,No ,No,1.0,SBI Bank,766.0,Nil,Nil,No,AOC,Technical,Technical Evaluation Sheet,Ashutosh Kumar Singh,22-Aug-2025 05:55 PM,technical_1939392.pdf,Ashutosh Kumar Singh EE,Internal,"Mr. Gaurav Singh, Executive Engineer",Ashutosh Kumar Singh,28-Aug-2025 05:10 PM,finsummary_1939392.pdf (3746.86 KB),Finance,Financial Evaluation Sheet,Ashutosh Kumar Singh,28-Aug-2025 01:10 PM,finance_1939392.pdf,BOQ Comparative Chart,Ashutosh Kumar Singh EE,Internal,,Ashutosh Kumar Singh,22-Aug-2025 06:13 PM,22-Aug-2025 06:15 PM,techsummary_1939392.pdf (3540.64 KB),24-Sep-2025,"INR 1,371,583.82",90.0,Ashutosh Kumar Singh,10-Oct-2025 12:12 PM,1606AOC.pdf (3564.00 KB),1.0,5471138.0,M/S M.K. ENTERPRISES,22-Aug-2025 12:24 AM,Accepted-AOC,Lowest Bid,10-Oct-2025 12:13 PM,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Sitapur||Executive Engineer(MLCD)-Lucknow,2025_UPIDM_1064233_1,17/EE/MLCD/LKO/ETender/2025-26,1st class brick work for lining of canal CC work at Adaura pump canal in district Barabanki,1.0,5471138.0,M/S M.K. ENTERPRISES,INR,"1,085,108",AOC
,,,,,,2.0,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,,,.pdf,"GST, PAN and Labour Registration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5426882.0,M/S Sushila Enterprises,22-Aug-2025 01:20 AM,Rejected-Finance,Higher Bid,28-Aug-2025 05:10 PM,,,,,,,,,,AOC
,,,,,,3.0,Misc. document ,Bidder Address Format ,Bidder Address Format ,,,,.pdf,Firm Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5470009.0,R B KARAN SINGH,21-Aug-2025 06:53 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,22-Aug-2025 05:55 PM,,,,,,,,,,AOC
,,,,,,4.0,Misc. document ,Any other document ,Any other document ,,,,.pdf,Character (IDT-1) and Insolvency (IDT-2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5467720.0,UDAY RAJ,22-Aug-2025 12:07 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,22-Aug-2025 05:55 PM,,,,,,,,,,AOC
,,,,,,5.0,Tax related documents ,PAN card ,PAN card ,,,,.pdf,Bid Validity and Self Decleration Affidavit (IDT-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,6.0,Technical Details ,Other Technical Documents ,Other Technical Documents ,,,,.pdf,Experience Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
