Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Tender Stage
21-Aug-2025,"INR 2,450,469.27",60.0,Mukesh Kumar Vaish,21-Aug-2025 06:23 PM,AOC.pdf (1555.00 KB),1st Lowest,1.0,5224465.0,M/S Sushila Enterprises,INR,"2,450,469.27","U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow||Lucknow Division Sharda Canal Lucknow",2025_UPIDC_1042678_3,02/EE/2025-26,Outer painting of Sinchai Vikas Bhawan at Canal Colony Cantt Road Lucknow (Lot-03),1,5224868,BHAJAN LAL,31-May-2025 02:09 AM,Rejected-Finance,4th lowest,21-Aug-2025 06:12 PM,Technical,As per Bid Summary Enclosed,Mukesh Kumar Vaish,04-Jun-2025 06:39 PM,technical_1891965.pdf,Mukesh Kumar Vaish,Internal,"Committee Members Navneet kumar Executive Engineer, Aniruddh kumar Sinha D.A.O.",Mukesh Kumar Vaish,21-Aug-2025 06:12 PM,finsummary_1891965.pdf (207.79 KB),Finance,L1 is M/S Sushila Enterprises L2 is M/S M.K. Construction,Mukesh Kumar Vaish,05-Jun-2025 02:32 PM,finance_1891965.pdf,BOQ Comparative Chart,Mukesh Kumar Vaish,Internal,"Committee Members Navneet kumar Executive Engineer , Aniruddh kumar Sinha D.A.O.",Mukesh Kumar Vaish,04-Jun-2025 06:44 PM,05-Jun-2025 11:00 AM,techsummary_1891965.pdf (207.79 KB),AOC,"2,354",Nil,Nil,No,26-May-2025 10:00 AM,31-May-2025 02:30 PM,26-May-2025 10:00 AM,31-May-2025 02:00 PM,NA ,NA ,26-May-2025 10:00 AM,31-May-2025 02:00 PM,05-Jun-2025 11:00 AM,"66,080",No,percentage,2.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,nit,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow||Lucknow Division Sharda Canal Lucknow",02/EE/2025-26,2025_UPIDC_1042678_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Outer painting of Sinchai Vikas Bhawan at Canal Colony Cantt Road Lucknow (Lot-03),Outer painting of Sinchai Vikas Bhawan at Canal Colony Cantt Road Lucknow (Lot-03) Colony Cantt Road Lucknow(Lot-02)flooring work in OTS and fixing of expension joint system of Sinchai Vikas Bhawan at Canal Colony Cantt. Road Lucknow (Lot-01),as per nit ,NA ,"33,04,000",Civil Works,NA ,Rate Contract,90.0,60.0,"Canal Colony, Cantt road, Lucknow",226001.0,NA ,NA ,NA ,"E.E. Lucknow Division Sharda Nahar , Lucknow",No ,No,EE,E.E. Lucknow Division Sharda Nahar havelock Road Lucknow,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,2,5227910,LEELAWATI CONTRACTS PRIVATE LIMITED,31-May-2025 01:49 PM,Rejected-Technical,Not enough experiance,04-Jun-2025 06:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,5227521,M/S Divyansh Traders,31-May-2025 12:31 PM,Rejected-Finance,5th lowest,21-Aug-2025 06:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,technical specification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,5226657,M/S M. K. CONSTRUCTION,31-May-2025 10:26 AM,Rejected-Finance,2nd lowest,21-Aug-2025 06:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,5222677,m/s mohd. zamil,31-May-2025 12:22 PM,Rejected-Finance,7th lowest,21-Aug-2025 06:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,5227025,M/s RATHAUR CONSTRUCTION,31-May-2025 10:55 AM,Rejected-Finance,6th lowest,21-Aug-2025 06:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,5224465,M/S Sushila Enterprises,31-May-2025 12:43 PM,Accepted-AOC,1st lowest,21-Aug-2025 06:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,5218861,PRECISE POWER PROJECTS PRIVATE LIMITED,31-May-2025 01:15 PM,Rejected-Technical,Not enough experiance,04-Jun-2025 06:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,5226609,Rajesh Kumar,31-May-2025 12:32 PM,Rejected-Finance,8th lowest,21-Aug-2025 06:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,5222395,vajid ali,29-May-2025 05:03 PM,Rejected-Finance,3rd lowest,21-Aug-2025 06:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
