Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||V Circle Irrigation Works, Bareilly",01/SE/2025-26,2025_UPIDC_1048511_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,NIT,"2,715",Nil,Nil,Yes,SUPERINTENDING ENGINEER,SE VTH CIRCLE IW BAREILLY,1.0,SBI Bank,Janpad Udham Singh Nagar main dinak 07 evam 08 july 2024 main huyi ativrishti se head works khand sharda nahar bareilly ke antragat sharda mukhye nahar evam sharda devha poshak nahar ke chatigrast bankon ki punarsthapna ke karye.,Janpad Udham Singh Nagar main dinak 07 evam 08 july 2024 main huyi ativrishti se head works khand sharda nahar bareilly ke antragat sharda mukhye nahar evam sharda devha poshak nahar ke chatigrast bankon ki punarsthapna ke karye.,Please refer Tender documents. ,NA ,"65,41,000",Civil Works,NA ,Tender,90.0,180.0,UDHAM SINGH NAGAR,263153.0,NA ,NA ,NA ,BAREILLY,No ,No,17-May-2026 05:14 PM,30-Jun-2025 04:00 PM,17-Jun-2025 11:00 AM,30-Jun-2025 03:00 PM,NA ,NA ,17-Jun-2026 05:14 PM,30-Jun-2025 03:00 PM,01-Aug-2026 05:14 PM,"1,31,000",Yes,fixed,,Nil,Nil,AOC,SE VTH CIRCLE IW BAREILLY,Internal,,Trayambak Tripathi,18-Aug-2025 07:12 PM,finsummary_1905124.pdf (24.50 KB),Technical,11 BIDS RECEIVED OUT OF WHICH 05 BIDS HAVE BEEN QUALIFIED CONTRACTOR,Trayambak Tripathi,29-Jul-2025 12:58 PM,,SE VTH CIRCLE IW BAREILLY,Internal,EX EN HWD BAREILLY,Trayambak Tripathi,29-Jul-2025 01:03 PM,01-Aug-2025 02:00 PM,techsummary_1905124.pdf (913.58 KB),Finance,05 BIDS RECEIVED OUT OF WHICH LOWEST BIDS AWARDED,Trayambak Tripathi,18-Aug-2025 07:05 PM,,BOQ Comparative Chart,1.0,5281000.0,M/S Singh Construction,INR,"4,163,235","U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||V Circle Irrigation Works, Bareilly",2025_UPIDC_1048511_1,01/SE/2025-26,Janpad Udham Singh Nagar main dinak 07 evam 08 july 2024 main huyi ativrishti se head works khand sharda nahar bareilly ke antragat sharda mukhye nahar evam sharda devha poshak nahar ke chatigrast bankon ki punarsthapna ke karye.,1,5280496,ACURATE CONTRACTOR,29-Jun-2025 09:49 PM,Not Admitted-Fee/PreQual/Technical,Others-AS PER THE CLAUSES OF BID DOCUMENT,29-Jul-2025 12:58 PM,14-Oct-2025,"INR 4,163,235",180.0,Trayambak Tripathi,27-Oct-2025 08:39 PM,SINGHCONS.pdf (464.00 KB),AG NO 03/SE/2025-26 MS SINGH CONSTRUCTION PROP SANTOSH SINGH LAKHIMPUR KHIRI,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5279611,Jagat Construction,30-Jun-2025 02:27 PM,Not Admitted-Fee/PreQual/Technical,Others-AS PER THE CLAUSES OF BID DOCUMENT,29-Jul-2025 12:58 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5281846,MITHLESH GUPTA,30-Jun-2025 01:45 PM,Not Admitted-Fee/PreQual/Technical,Others-AS PER THE CLAUSES OF BID DOCUMENT,29-Jul-2025 12:58 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5276336,M/S KUMAR MANGLAM CONSTRUCTION,29-Jun-2025 01:32 PM,Not Admitted-Fee/PreQual/Technical,Others-AS PER THE CLAUSES OF BID DOCUMENT,29-Jul-2025 12:58 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5281352,M/S MAHESHWARI TRADERS,30-Jun-2025 10:39 AM,Not Admitted-Fee/PreQual/Technical,Others-AS PER THE CLAUSES OF BID DOCUMENT,29-Jul-2025 12:58 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5281853,M/S MOHSIN KHAN,30-Jun-2025 02:28 PM,Rejected-Finance,ADMITTED,18-Aug-2025 07:12 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5281348,M/S OM BALA JEE CONSTRUCTION,30-Jun-2025 11:17 AM,Rejected-Finance,ADMITTED,18-Aug-2025 07:12 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5280595,M/S SHAMBHVI MAHAKAL CONSTRUCTION,30-Jun-2025 12:00 PM,Not Admitted-Fee/PreQual/Technical,Others-AS PER THE CLAUSES OF BID DOCUMENT,29-Jul-2025 12:58 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5281000,M/S Singh Construction,30-Jun-2025 02:06 PM,Accepted-AOC,L-1,27-Oct-2025 08:39 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5276652,PURNAGIRI CONSTRUCTION CO. PVT. LTD.,30-Jun-2025 02:27 PM,Rejected-Finance,ADMITTED,18-Aug-2025 07:12 PM,,,,,,,,AOC
