S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bank Name,Tender Stage
1.0,5232312.0,AYUSH AGRO,03-Jun-2025 03:41 PM,Rejected-Technical,non responsive,12-Jun-2025 04:13 PM,1.0,5230349.0,M/s Arvind Singh Yadav,INR,"1,754,134",U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell) - Jhansi||Executive Engineer (LCD)-Jhansi,2025_UPIDM_1035587_4,01/LCDJ/EE/2025-26,Construction of CC Lining in Parichha Minor at Reach 1.30 km to 1.60 km of Badagaon Pump Canal situated in Block Badagaon Chirgaon District Jhansi LOT-2,18-Aug-2025,"INR 2,390,000",90.0,JAGANNATH PRASAD,18-Aug-2025 06:45 PM,AOC_01_Lot2.pdf (739.00 KB),AOC,EE JAGANNATH PRASAD,Internal,EE JAGANNATH PRASAD EE VIKRAM SINGH AE MANOJ KUMAR GUPTA,JAGANNATH PRASAD,18-Aug-2026 12:38 PM,finsummary_1894706.pdf (586.48 KB),Technical,All Bids are admitted,JAGANNATH PRASAD,05-Jun-2025 12:47 PM,technical_1894706.pdf,EE Jagannath Prasad,Internal,EE Jagannath Prasad EE Vikram Singh AE Manoj Kumar Gupta,JAGANNATH PRASAD,12-Jun-2025 04:13 PM,12-Jun-2025 05:00 PM,techsummary_1894706.pdf (866.84 KB),Finance,All Financial Bids Admitted,JAGANNATH PRASAD,18-Aug-2025 06:35 PM,finance_1894706.pdf,BOQ Comparative Chart,AOC,"48,000",No,fixed,,Nil,Nil,1,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,1.0,Reach Correction,Other,,EXECUTIVE ENGINEER LIFT CANAL DIVISION JHANSI,OFFICE OF THE EXECUTIVE ENGINEER LIFT CANAL DIVISION GWALIOR ROAD CIVIL LINES JHANSI,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell) - Jhansi||Executive Engineer (LCD)-Jhansi,01/LCDJ/EE/2025-26,2025_UPIDM_1035587_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"2,354",Nil,Nil,No,Construction of CC Lining in Parichha Minor at Reach 1.30 km to 1.60 km of Badagaon Pump Canal situated in Block Badagaon Chirgaon District Jhansi LOT-2,"Construction of CC Lining in Parichha Minor at Reach 1.60 km to 1.90 km of Badagaon Pump Canal, District Jhansi LOT-2",Please refer Tender documents. ,NA ,"23,90,000",Civil Works,NA ,Tender,90.0,90.0,Badagaon Jhansi,284121.0,NA ,NA ,NA ,Jhansi,No ,No,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,29-May-2025 01:00 PM,04-Jun-2025 02:00 PM,29-May-2025 01:00 PM,04-Jun-2025 12:00 PM,NA ,NA ,29-May-2025 01:00 PM,04-Jun-2025 12:00 PM,12-Jun-2025 05:00 PM,1.0,SBI Bank,AOC
2.0,5230349.0,M/s Arvind Singh Yadav,02-Jun-2025 06:22 PM,Accepted-AOC,AOC,18-Aug-2025 06:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,Financial Details ,Balance Sheets ,Copy of balance sheets audited by Chartered Accountant in support of annual turnover ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,,,,AOC
3.0,5232264.0,M/S Sushila Enterprises,03-Jun-2025 04:24 PM,Rejected-Finance,Not Being Lowest,18-Aug-2025 06:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,Misc. document ,Power of attorney in favour of local agent mandatory. ,Power of attorney in favour of local agent mandatory. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4.0,5233100.0,RAM PRATAP DIXIT,04-Jun-2025 10:19 AM,Rejected-Finance,Not Being Lowest,18-Aug-2025 06:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,Misc. document ,Any other document ,Any other document ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,Tax related documents ,PAN card ,PAN card ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,Technical Details ,Other Technical Documents ,Other Technical Documents ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
