Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation works Circle Saharanpur,2025_UPIDC_1074200_6,02/SE/SRE/2025-26,Lot-06,1.0,5539542.0,SHRI SAI CONSTRUCTION,INR,"61,372,274",1,5546397,C P Systems Pvt Ltd,20-Sep-2025 05:26 PM,Rejected-Technical,DISQUALIFIED,29-Sep-2025 07:34 PM,15-Oct-2025,"INR 61,372,274",180.0,CHANDRABHAN YADAV,17-Oct-2025 03:56 PM,06.pdf (347.00 KB),AOC,"C.B.YADAV, SE",Internal,"B.P.SINGH, SE, VIVEK VARSHNEY, EE",CHANDRABHAN YADAV,29-Sep-2025 07:34 PM,03-Oct-2025 02:00 PM,techsummary_1961527.pdf (574.28 KB),Finance,SUMMARY UPLOAD IN FINANCIAL EVALUATION,CHANDRABHAN YADAV,15-Oct-2025 04:35 PM,,BOQ Comparative Chart,"C.B.YADAV,SE",Internal,"B.P.SINGH, SE, VIVEK VARSHNEY, EE",CHANDRABHAN YADAV,15-Oct-2025 05:04 PM,finsummary_1961527.pdf (230.82 KB),Technical,Summary Upload in Technical Evaluation,CHANDRABHAN YADAV,29-Sep-2025 07:04 PM,,AOC,1.0,Other,Other,,Lot-06,RESTORATION OF INTERNAL SECTION AND REPAIRING OF DAMAGED PUCCA WORK ON E.Y.C FROM KM 112.000 TO KM 142.700 IN DISTT. SHAMLI AND BAGHPAT,Please refer Tender documents. ,NA ,"6,64,00,000",Civil Works,NA ,Tender,90.0,180.0,SHAMLI,247776.0,OFFICE OF THE SE IWC DEHRADUN ROAD SAHARANPUR ,OFFICE OF THE SE IWC DEHRADUN ROAD SAHARANPUR ,20-Sep-2025 03:00 PM ,OFFICE OF THE SE IWC SAHARANPUR,No ,No,"13,28,000",No,fixed,,Nil,Nil,U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation works Circle Saharanpur,02/SE/SRE/2025-26,2025_UPIDC_1074200_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Tender Documents,1.0,SBI Bank,16-Sep-2025 01:00 PM,23-Sep-2025 10:30 AM,16-Sep-2025 01:00 PM,22-Sep-2025 05:00 PM,NA ,NA ,16-Sep-2025 01:00 PM,22-Sep-2025 05:00 PM,03-Oct-2025 02:00 PM,"2,714",Nil,Nil,No,SE IWC SAHARANPUR,OFFICE OF THE SE IWC SAHARANPUR,AOC
,,,,,,,,,2,5550263,Durga Engineers and Earth Movers,21-Sep-2025 08:58 PM,Rejected-AOC,L2,17-Oct-2025 03:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5552464,MAA GAYATRI ASSOCIATES,22-Sep-2025 03:58 PM,Rejected-Technical,DISQUALIFIED,29-Sep-2025 07:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5542092,M/S SATT SAHIB CONSTRUCTION CO,21-Sep-2025 10:50 AM,Rejected-AOC,L3,17-Oct-2025 03:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5539542,SHRI SAI CONSTRUCTION,22-Sep-2025 12:21 PM,Accepted-AOC,L1,17-Oct-2025 03:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
