Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Betwa, Jhansi||IV Circle Irrigation Works, Jhansi||BCD-II, orai",2025_UPIDC_1077007_9,N-5/BCD-II/1159/dt- 17.09.2025,A Naveeneekaran work of Service Road of All Mr. from Km. 0.000 to 2.900,1.0,5594462.0,Sanjay Tiwari,INR,"2,176,194",1,5594606,M/S RAJVANSH CONTRACTIONS,08-Oct-2025 11:32 PM,Rejected-Finance,Rejected being higher rate,28-Oct-2025 06:14 PM,29-Oct-2025,"INR 2,176,194",45.0,CHANDRA PAL SINGH,29-Oct-2025 01:37 PM,Road.pdf (1112.00 KB),Financial bid accepted at the rate of Rs.2176194.000 by the committee,"EE BCD-2, Orai",Internal,"EE BCD-1, Orai EE BCD-2, Orai",CHANDRA PAL SINGH,28-Oct-2025 06:14 PM,finsummary_1968127.pdf (1111.57 KB),Technical,TECHNICAL BID TO BE OPENED,CHANDRA PAL SINGH,10-Oct-2025 03:32 PM,technical_1968127.pdf,"EE BCD-2, Orai",Internal,"EE BCD-1, Orai EE BCD-2, Orai",CHANDRA PAL SINGH,10-Oct-2025 03:52 PM,10-Oct-2025 03:55 PM,techsummary_1968127.pdf (1111.57 KB),Finance,FINANICIAL BID TO BE OPENED,CHANDRA PAL SINGH,28-Oct-2025 05:26 PM,finance_1968127.pdf,BOQ Comparative Chart,AOC,03-Oct-2025 02:00 PM,10-Oct-2025 11:00 AM,03-Oct-2026 05:07 PM,09-Oct-2025 05:00 PM,NA ,NA ,03-Oct-2025 03:00 PM,09-Oct-2025 05:00 PM,10-Oct-2025 03:55 PM,"2,360",Nil,Nil,No,A Naveeneekaran work of Service Road of All Mr. from Km. 0.000 to 2.900,A Naveeneekaran work of Service Road of All Mr. from Km. 0.000 to 2.900,Please refer Tender documents. ,NA ,"33,10,000",Civil Works,NA ,Tender,90.0,45.0,ORAI,285001.0,NA ,NA ,NA ,"EE BCD-2, Orai",No ,No,"66,200",Yes,percentage,2.0%,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Tender Document,1.0,SBI Bank,"U P Irrigation Department (Civil)||Chief Engineer-Betwa, Jhansi||IV Circle Irrigation Works, Jhansi||BCD-II, orai",N-5/BCD-II/1159/dt- 17.09.2025,2025_UPIDC_1077007_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"EE BCD-2, Orai","Executive Engineer, Betwa Canal Division-II, Orai",AOC
,,,,,,,,,2,5594462,Sanjay Tiwari,09-Oct-2025 04:55 PM,Accepted-AOC,Accepted this is L1,29-Oct-2025 01:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC
