Tender ID,tender_externalreference,tender_title,Work Description,Tender Category,Tender Type,Form of contract,Product Category,Is Multi Currency Allowed For BOQ,Allow Two Stage Bidding,Independent External Monitor/Remarks,Published Date,Pre Bid Meeting Date,Bid Validity(Days),Should Allow NDA Tender,Allow Preferential Bidder,Payment Mode,Bid Opening Date,Organisation Chain,location,Pincode,No of Bids Received,Tender Value in ₹,Bidder Name,Awarded Value,Status,Contract Date,Department
2024_CEUAZ_885098_63,120/14A Date 12-01-2024,General Repair of NibiBujurg SC Basti Link road,,,,,,,,,,,,,,,,"Chief Engineer PWD Azamgarh Zone,Azamgarh||S.E. Azamgarh Circle,PWD,Azamgarh||Construction Division, PWD, Azamgarh",,,,,,"85,031.65",,2025-07-09,"Chief Engineer PWD Azamgarh Zone,Azamgarh||S.E. Azamgarh Circle,PWD,Azamgarh||Construction Division, PWD, Azamgarh"
2024_DOLBU_963302_6,15VA2024-25/24,Ward no 2 prathmik vidhyalay pithla pratham me divyang shauchalay ka nirman karya.,,,,,,,,,,,,,,,,Directorate of Local Bodies UP||Nagar Panchayat Kumarganj Ayodhya,,,,,,"129,388",,2025-07-11,Directorate of Local Bodies UP||Nagar Panchayat Kumarganj Ayodhya
<NA>,,Rampur Nerua Link Road.,,,,,,,,,,,,,,,,,,,,,,,,2025-07-14,
<NA>,,KAPTANGUNJ NAURANGIYA TO VIJAYPUR LINK ROAD,,,,,,,,,,,,,,,,,,,,,,,,2025-07-14,
<NA>,,Rampur Nerua Link Road.,,,,,,,,,,,,,,,,,,,,,,,,2025-07-14,
<NA>,,Construction of Narhi Daulatpur to Sripur Math Habition Surapali Chaura Road,,,,,,,,,,,,,,,,,,,,,,,,2025-07-17,
<NA>,,Construction of Kusawara Sahatwar Vanna Link Road,,,,,,,,,,,,,,,,,,,,,,,,2025-07-17,
<NA>,,Construction of Hanumanpurwa Temple to Kushahpurwa,,,,,,,,,,,,,,,,,,,,,,,,2025-07-07,
<NA>,,Renewal work from PC along with general repair in km 1-300- of Majra Ghataiyan Purwa Sampark Marg of Samagra,,,,,,,,,,,,,,,,,,,,,,,,2025-07-19,
<NA>,,Special repair work of Sikandrapur road from kilometer 12 of Nagra Barauli,,,,,,,,,,,,,,,,,,,,,,,,2025-07-02,
<NA>,,Construction Work of Culvert in between Pandeypur and Motira in Distt Ballia,,,,,,,,,,,,,,,,,,,,,,,,2025-07-02,
<NA>,,Construction of Gram badaur uttar ka pura link road,,,,,,,,,,,,,,,,,,,,,,,,2025-07-29,
<NA>,,Construction work of pontoon bridge and approach road on Ganga river between Gram Panchayat Gaura Parmanpur Purva and Semradh Nath in Chhanbe block of Mirzapur district,,,,,,,,,,,,,,,,,,,,,,,,2025-07-22,
<NA>,,Construction work of box culvert and protective work of span in place of previously constructed narrow RCC culvert at km 346 of Lumbini Duddhi road in Sonbhadra district,,,,,,,,,,,,,,,,,,,,,,,,2025-07-29,
<NA>,,"Selection of Agency for Operation and Management of Multi-Level Car Parking at Jalkal Campus Golghar, Gorakhpur.",,,,,,,,,,,,,,,,,,,,,,,,2025-07-29,
<NA>,,Ward 30 Transport nagar lalkesh singh ke makan se parshuram sharma ke makan tak pipe line vistar ka kary,,,,,,,,,,,,,,,,,,,,,,,,2025-07-29,
<NA>,,61/EDCB/2023-24,,,,,,,,,,,,,,,,,,,,,,,,2025-07-30,
<NA>,,Construction of Primary School at Begum Ward Block SADAR,,,,,,,,,,,,,,,,,,,,,,,,2025-07-18,
<NA>,,GT ROAD MANDI SAMITI KE PASS RAJKAMAL PUBLIC SCHOOL IKBAALPUR TAK AVSHESH MARG NIRMAAN,,,,,,,,,,,,,,,,,,,,,,,,2025-07-18,
<NA>,,Tourism Development Work at Susayar Distt Hathras,,,,,,,,,,,,,,,,,,,,,,,,2025-07-17,
<NA>,,Construction Of Proposed Animal Birth Control Centre at Distt Aligarh,,,,,,,,,,,,,,,,,,,,,,,,2025-07-17,
<NA>,,CONSTRUCTION OF TYPE B RESIDENCE AT POLICE THANA SADAR DISTRICT AGRA,,,,,,,,,,,,,,,,,,,,,,,,2025-07-17,
<NA>,,CONSTRUCTION OF CO OFFICE AT SADAR DISTT AGRA,,,,,,,,,,,,,,,,,,,,,,,,2025-07-18,
<NA>,,Lot-07,,,,,,,,,,,,,,,,,,,,,,,,2025-07-23,
<NA>,,Lot-07,,,,,,,,,,,,,,,,,,,,,,,,2025-07-23,
<NA>,,LOT-01,,,,,,,,,,,,,,,,,,,,,,,,2025-07-23,
<NA>,,Lot-07,,,,,,,,,,,,,,,,,,,,,,,,2025-07-23,
<NA>,,Lot-07,,,,,,,,,,,,,,,,,,,,,,,,2025-07-23,
<NA>,,"Construction of Durjanpurwa link road CC road and Drain work in Km-1(200), 2(400) and 4(350) and PC work in Km-1(800), 2(550), 3(650), 5, 6 and 7(150) under special repair in Chitrakoot (Including 5 Year Maintenance work)",,,,,,,,,,,,,,,,,,,,,,,,2025-07-17,
<NA>,,Construction of gate and lighting work on Mahoba-Laudi road (ODR) (Mahoba-Khajuraho road) falling on the interstate border of Mahoba district,,,,,,,,,,,,,,,,,,,,,,,,2025-07-17,
<NA>,,"Special repair of Hatwa Hanuman Ganj Road Km 4(100),6,7,9,10,11 and 12(200)",,,,,,,,,,,,,,,,,,,,,,,,2025-07-17,
<NA>,,"Construction of Durjanpurwa link road CC road and Drain work in Km-1(200), 2(400) and 4(350) and PC work in Km-1(800), 2(550), 3(650), 5, 6 and 7(150) under special repair in Chitrakoot (Including 5 Year Maintenance work)",,,,,,,,,,,,,,,,,,,,,,,,2025-07-17,
<NA>,,Construction of slip road for widening and road safety works at Mawai intersection,,,,,,,,,,,,,,,,,,,,,,,,2025-07-17,
<NA>,,SR to Khairnagar Rajwah Ki Bain Patri to Sargauli Puliya to Garanpurwa Ki Puliya Tak Road,,,,,,,,,,,,,,,,,,,,,,,,2025-07-30,
<NA>,,SR of Kuan Khera to Vasepur road,,,,,,,,,,,,,,,,,,,,,,,,2025-07-17,
<NA>,,Road Safety and Signage work on Amroha Ring Road/Bypass Total Length 12.82 in District Amroha,,,,,,,,,,,,,,,,,,,,,,,,2025-07-17,
<NA>,,Road Safety and Signage work on Amroha Ring Road/Bypass Total Length 12.82 in District Amroha,,,,,,,,,,,,,,,,,,,,,,,,2025-07-17,
<NA>,,Mialk Gangora Jat to Chanda Nangli Road,,,,,,,,,,,,,,,,,,,,,,,,2025-07-17,
<NA>,,"4 Renewal work at Taprana to Budhpura Road at Km 1,2(400) in Distt Shamli in FY 2024-25",,,,,,,,,,,,,,,,,,,,,,,,2025-07-02,
<NA>,,17 Reconstruction work on Shahpur Bhorakalan Shikarpur Road to Deoband Branch Nahar Patri (Basi By Pass) Road,,,,,,,,,,,,,,,,,,,,,,,,2025-07-02,
<NA>,,8 Special repair work at Pipalheda Rajwahe to Roni Hajipur Roa in Distt Shamli in F Y 2024-25,,,,,,,,,,,,,,,,,,,,,,,,2025-07-02,
<NA>,,4.Renewal work on Kheri Gani Bypass Road,,,,,,,,,,,,,,,,,,,,,,,,2025-07-02,
<NA>,,4.Renewal work on Kheri Gani Bypass Road,,,,,,,,,,,,,,,,,,,,,,,,2025-07-02,
<NA>,,Special Repair of Sikandrabad Dankaur Road to Faridpur Link Road,,,,,,,,,,,,,,,,,,,,,,,,2025-07-02,
<NA>,,Ganjga nadi Dengurpur ghat pantoon pool ko Bandhane avam Kholne ka karya,,,,,,,,,,,,,,,,,,,,,,,,2025-07-05,
<NA>,,SR of NH-135 to Rampur Madawa Tandafall Link Road (Construction cost for 05 years maintenance including 15 Percent for PC work and 2.50 Pecent for CC Work),,,,,,,,,,,,,,,,,,,,,,,,2025-07-05,
<NA>,,Haldi Sahatwar Marg kali sthan se Babban Ram ke Ghar hote hua Bharat Chaudhari ke Ghar tak marg,,,,,,,,,,,,,,,,,,,,,,,,2025-07-22,
