EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"3,89,600",No,fixed,,Nil,Nil,26-May-2025 06:55 PM,06-Jun-2025 11:00 AM,26-May-2025 06:55 PM,04-Jun-2025 05:00 PM,NA ,NA ,26-May-2025 06:55 PM,04-Jun-2025 05:00 PM,01-Aug-2025 03:00 PM,GM P,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,1.0,SBI Bank,"3,130",Nil,Nil,No,"Construction of RCC Retaingwell and drain at dhorau atmadpur Gaushala Agra ,Yea. Wc -04","Construction of RCC Retaingwell and drain at dhorau atmadpur Gaushala Agra ,Yea. Wc -04",Please refer Tender documents. ,NA ,"1,94,76,087",Civil Works,NA ,Tender,90.0,279.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201310.0,NA ,NA ,NA ,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,No ,No,Yamuna Expressway Industrial Development Authority,YEA/GM(PROJECT)/2025/313 DT-21/05/2025,2025_YEIDA_1042868_10,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC",AOC,1,5231994,DYNASTY PROMOTERS PRIVATE LIMITED,03-Jun-2025 01:51 PM,Rejected-Finance,L2,29-Oct-2025 12:25 PM,Yamuna Expressway Industrial Development Authority,2025_YEIDA_1042868_10,YEA/GM(PROJECT)/2025/313 DT-21/05/2025,"Construction of RCC Retaingwell and drain at dhorau atmadpur Gaushala Agra ,Yea. Wc -04",1.0,5232957.0,Vardhman Infrastructure,INR,"19,374,811.99",Committee,Internal,Committee,VIKAS KUMAR,29-Oct-2025 12:25 PM,finsummary_1892636.pdf (151.85 KB),Finance,UNDER EVALUATION,VIKAS KUMAR,29-Oct-2025 12:22 PM,,BOQ Comparative Chart,Committee,Internal,Committee,NITENDRA KUMAR ADARSH,01-Aug-2025 12:01 PM,01-Aug-2025 03:00 PM,techsummary_1892636.pdf (548.14 KB),Technical,UNDER EVALUATION,NITENDRA KUMAR ADARSH,01-Aug-2025 10:45 AM,,29-Oct-2025,"INR 19,374,811.99",279.0,VIKAS KUMAR,29-Oct-2025 12:27 PM,10.pdf (152.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",AOC,2,5225767,FRIENDS EARTH MOVERS,01-Jun-2025 03:03 PM,Rejected-Technical,DISQUALIFIED,01-Aug-2025 12:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,APPENDIX A TO E,AOC,3,5232483,J K ENGICON PVT. LTD.,03-Jun-2025 05:37 PM,Rejected-Finance,L3,29-Oct-2025 12:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,AOC,4,5229873,PRANIT BUILDERS PRAVITE LIMTIED,02-Jun-2025 08:28 AM,Rejected-Technical,DISQUALIFIED,01-Aug-2025 12:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIALBID,AOC,5,5232957,Vardhman Infrastructure,03-Jun-2025 09:59 PM,Accepted-AOC,L1,29-Oct-2025 12:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
