Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
06-May-2025 06:55 PM,19-May-2025 11:00 AM,06-May-2025 06:55 PM,15-May-2025 05:00 PM,NA ,NA ,06-May-2025 06:55 PM,15-May-2025 05:00 PM,25-Jun-2025 11:00 AM,Landscaping of Park P-1 sector -28 with two year maintenance yeida. WC-H,Landscaping of Park P-1 sector -28 with two year maintenance yeida. WC-H,Please refer Tender documents. ,NA ,"97,85,958",Agricultural or Forestry,HORTI ,Tender,90.0,810.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201308.0,NA ,NA ,NA ,YEIDA 2nd FLOOR TENDER CELL,No ,No,"1,96,000",No,fixed,,Nil,Nil,GM(P),YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,"2,160",Nil,Nil,No,1.0,SBI Bank,Yamuna Expressway Industrial Development Authority,YEA/GM(PROJECT)/2025/1058 DT-01/05/2025,2025_YEIDA_1036426_4,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,APPENDIX A TO E,AOC,Committee,Internal,Committee,BHARAM PAL SINGH,19-Aug-2025 01:33 PM,finsummary_1878123.pdf (14693.20 KB),Technical,UNDER EVALUATION,VIKAS KUMAR,23-Jun-2025 11:14 AM,,Committee,Internal,Committee,NITENDRA KUMAR ADARSH,24-Jun-2025 03:55 PM,25-Jun-2025 11:00 AM,techsummary_1878123.pdf (460.98 KB),Finance,EVALUATION,BHARAM PAL SINGH,19-Aug-2025 01:18 PM,,BOQ Comparative Chart,1.0,5191369.0,M/S DEVA NURSERY AND FARMS,INR,"6,644,665.8",Yamuna Expressway Industrial Development Authority,2025_YEIDA_1036426_4,YEA/GM(PROJECT)/2025/1058 DT-01/05/2025,Landscaping of Park P-1 sector -28 with two year maintenance yeida. WC-H,1,5190802,M R INFRA,15-May-2025 01:51 PM,Rejected-Technical,DISQUALIFIED,24-Jun-2025 03:55 PM,10-Oct-2025,"INR 6,644,665.8",810.0,BHARAM PAL SINGH,10-Oct-2025 05:41 PM,Aoc1058_4.pdf (945.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5188406,M/S CITI DEVELOPERS,15-May-2025 02:23 PM,Rejected-Technical,DISQUALIFIED,24-Jun-2025 03:55 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5191369,M/S DEVA NURSERY AND FARMS,15-May-2025 03:16 PM,Accepted-AOC,L1,10-Oct-2025 05:41 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5189182,M/S NITIN ASSOCIATES,15-May-2025 04:22 PM,Rejected-Finance,L2,19-Aug-2025 01:33 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIALBID,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5191407,M/S PRATHVI ENTERPRISES,15-May-2025 01:32 PM,Rejected-Finance,L5,19-Aug-2025 01:33 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5179171,M/S SAHAJ ASSOCIATES,14-May-2025 02:44 PM,Rejected-Finance,L4,19-Aug-2025 01:33 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5185902,M/S SAINI NURSARY,15-May-2025 03:39 PM,Rejected-Technical,DISQUALIFIED,24-Jun-2025 03:55 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5185558,SARITA ENTERPRISES,15-May-2025 01:07 PM,Rejected-Finance,L3,19-Aug-2025 01:33 PM,,,,,,,,AOC
