Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-3 Faizabad,2025_UPPRC_1076297_1,31/GM-3/UPPCL/2025-26 DATED-18.09.2025,Construction of Interlocking Tiles Works at Parking Area and Boundary with Grill in Campus of Diksha Bhawan at Deen Dayal Upadhyay Gorakhpur University Gorakhpur,1.0,5574486.0,M/S RAM IQBAL SINGH,INR,"10,404,963.7",1,5570080,M/S GAYTRI ASSOCIATE,03-Oct-2025 11:08 AM,Rejected-Finance,L2,29-Oct-2025 01:06 PM,29-Oct-2025,"INR 10,404,963.7",270.0,ANIL KUMAR SINGH,29-Oct-2025 01:09 PM,Ekbal.pdf (1428.00 KB),AOC,General Manager Zone-3 UPPCL Lko,Internal,Attached,ANIL KUMAR SINGH,10-Oct-2025 10:44 AM,10-Oct-2025 04:00 PM,techsummary_1966020.pdf (3651.89 KB),Finance,Attached,RAKESH VERMA,29-Oct-2025 12:49 PM,,BOQ Comparative Chart,"General Manager,Zone-3",Internal,Attached,ANIL KUMAR SINGH,29-Oct-2025 01:06 PM,finsummary_1966020.pdf (1236.27 KB),Technical,Attached,Ajai Pratap Singh,10-Oct-2025 10:35 AM,technical_1966020.pdf,AOC,General Manager Zone-3 UPPCL Lucknow,Office of the General Manager Zone-3 UPPCL Lucknow,1.0,Fee/PreQual/Technical,.pdf,NIT,Construction of Interlocking Tiles Works at Parking Area and Boundary with Grill in Campus of Diksha Bhawan at Deen Dayal Upadhyay Gorakhpur University Gorakhpur,Construction of Interlocking Tiles Works at Parking Area and Boundary with Grill in Campus of Diksha Bhawan at Deen Dayal Upadhyay Gorakhpur University Gorakhpur,As per Bid documents ,NA ,"1,12,67,000",Civil Works - Buildings,N/A ,Tender,90.0,270.0,Gorakhpur,273001.0,NA ,NA ,NA ,Office of the General Manager Zone-3 UPPCL Lucknow,No ,No,"17,700",Nil,Nil,No,"2,26,000",No,fixed,,Nil,Nil,25-Sep-2025 10:00 AM,03-Oct-2025 04:00 PM,25-Sep-2025 10:00 AM,03-Oct-2025 03:00 PM,NA ,NA ,25-Sep-2025 10:00 AM,03-Oct-2025 03:00 PM,10-Oct-2025 04:00 PM,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-3 Faizabad,31/GM-3/UPPCL/2025-26 DATED-18.09.2025,2025_UPPRC_1076297_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,AOC
,,,,,,,,,2,5571747,M/S MANOJ KUMAR SINGH,03-Oct-2025 02:57 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,10-Oct-2025 10:35 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5574486,M/S RAM IQBAL SINGH,01-Oct-2025 03:44 PM,Accepted-AOC,L1,29-Oct-2025 01:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
