S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,5462885.0,JAFARGANJ CONSTRUCTION,INR,"8,607,260.24",UP STATE WAREHOUSING CORPORATION,2025_UPSWC_1064407_1,202508248-A,Repair of UPSWC Godowns at Sahibabad (Part-A),1,5470898,09AEEFS5290J1ZJ,23-Aug-2025 09:26 AM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 12:24 PM,17-Sep-2025,"INR 8,607,260.24",330.0,Satakshi Nandan,29-Oct-2025 12:24 PM,sahia.pdf (654.00 KB),Work Award,Sachiv,Internal,"Junior Office Assistant, Junior Engineer, Senior Account Officer, Dy. Manager Finance, Manager Finance, Incharge Excutive Engineer",Madan Pal Singh,08-Sep-2025 02:35 PM,finsummary_1939701.pdf (467.39 KB),Technical,Technical Bid Result,Satakshi Nandan,28-Aug-2025 12:58 PM,technical_1939701.pdf,Sachiv,Internal,"Junior Office Assistant, Junior Engineer, Senior Account Officer, Dy. Manager Finance, Manager Finance, Incharge Excutive Engineer",Satakshi Nandan,28-Aug-2025 03:36 PM,29-Aug-2025 02:00 PM,techsummary_1939701.pdf (468.66 KB),Finance,Financial Bid Result,Madan Pal Singh,08-Sep-2025 11:38 AM,finance_1939701.pdf,BOQ Comparative Chart,AOC,Repair of UPSWC Godowns at Sahibabad (Part-A),Repair of UPSWC Godowns at Sahibabad (Part-A),Only registered contractor with UPSWC can apply ,NA ,"1,01,26,189",Civil Works,Maintenance /Construction Work ,Tender,90.0,330.0,Sahibabad,201005.0,Head Office UPSWC ,U.P. State warehousing corporation New Hyderabad Lucknow 226007 ,14-Aug-2025 02:00 PM ,Head Office UPSWC,No ,No,1.0,Fee/PreQual/Technical,.pdf,Technical Bid,1.0,RTGS - RTGS Payment,"2,02,600",No,fixed,,U.P. State warehousing corporation,Lucknow,"1,180",U.P. State warehousing corporation,Lucknow,No,Managing Director UPSWC,U.P. State warehousing corporation New Hyderabad Lucknow 226007,08-Aug-2025 06:00 PM,25-Aug-2025 10:00 AM,08-Aug-2025 06:00 PM,23-Aug-2025 06:00 PM,NA ,NA ,08-Aug-2025 06:00 PM,23-Aug-2025 06:00 PM,29-Aug-2025 02:00 PM,UP STATE WAREHOUSING CORPORATION,202508248-A,2025_UPSWC_1064407_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,2,5466332,Ankur Constructions,22-Aug-2025 06:03 PM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 12:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5477951,A.T.CONS.,23-Aug-2025 04:07 PM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 12:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5468357,BIJNOR CONSTRUCTION and SUPPLIERS,21-Aug-2025 11:42 AM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 12:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5462885,JAFARGANJ CONSTRUCTION,19-Aug-2025 11:09 PM,Accepted-AOC,Not Selected From lottery system,29-Oct-2025 12:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,5475097,M/S A.N CONSTRUCTIONS,22-Aug-2025 10:58 PM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 12:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,5466623,M/S RAJESH KUMAR GUPTA,20-Aug-2025 09:49 PM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 12:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,5434068,M/s satyavir singh contractor,15-Aug-2025 05:47 PM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 12:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,5476735,M/S YASH ENTERPRISES,23-Aug-2025 01:05 PM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 12:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,5475234,RAVI ASSOCIATES,22-Aug-2025 11:46 PM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 12:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,11,5475436,SARVESH KUMAR SINGH,23-Aug-2025 12:51 AM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 12:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
