Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
WORK OF REPAIRING IN MESS 03 AND 04 IN PTS SULTANPUR,WORK OF REPAIRING IN MESS 03 AND 04 IN PTS SULTANPUR,Please refer Tender documents ,NA ,"85,770",Civil Works - Others,Repairing work ,Tender,30.0,20.0,Police Training School Sultanpur,227808.0,NA ,NA ,NA ,PTS Sultanpur,No ,No,1.0,Fee/PreQual/Technical,.pdf,tender notice,Director General of U.P. Police||Police Training Directorate||ADG Police Training School Sultanpur||DIG Police Training School Sultanpur,P-78/2025,2025_UPPOL_1077841_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,29-Sep-2025 02:00 PM,13-Oct-2025 05:00 PM,29-Sep-2025 02:00 PM,13-Oct-2025 05:00 PM,NA ,NA ,29-Sep-2025 02:00 PM,13-Oct-2025 05:00 PM,14-Oct-2025 02:00 PM,"8,577",Yes,fixed,,PRINCIPAL PTS SULTANPUR,SULTANPUR,Superintendent of Police,Police training school sultanpur,500.0,PRINCIPAL PTS SULTANPUR,SULTANPUR,No,AOC,Brajesh kumar mishra S.P,Internal,"Devendra singh dysp,Lallan yadav dysp,Samiullah riq, Brijesh kumar tiwari hc, Sunil kumar singh actt",BRAJESH KUMAR MISHRA,14-Oct-2025 12:50 PM,14-Oct-2025 02:00 PM,techsummary_1970076.pdf (1648.14 KB),Finance,02 Financial bid opened,DEVENDRA SINGH,14-Oct-2025 02:16 PM,,BOQ Comparative Chart,Brajesh kumar mishra S.P,Internal,"Devendra singh dysp, Lallan yadav dysp, Samiullah riq, Brijesh kumar tiwari Hc, Sunil kumar sing Actt",BRAJESH KUMAR MISHRA,16-Oct-2025 01:54 PM,finsummary_1970076.pdf (1368.46 KB),Technical,3 Techinical bids are Received.,BRAJESH KUMAR MISHRA,13-Oct-2025 05:37 PM,,1.0,5598350.0,R P CONTRACTOR,INR,"81,457.06",Director General of U.P. Police||Police Training Directorate||ADG Police Training School Sultanpur||DIG Police Training School Sultanpur,2025_UPPOL_1077841_1,P-78/2025,WORK OF REPAIRING IN MESS 03 AND 04 IN PTS SULTANPUR,1,5601151,M/S ARYAN TRADERS,12-Oct-2025 01:08 PM,Rejected-Technical,technical document insufficent hence rejected,14-Oct-2025 12:50 PM,16-Oct-2025,"INR 81,457.06",20.0,BRAJESH KUMAR MISHRA,16-Oct-2025 02:15 PM,Workorder34.pdf (1452.00 KB),The actual cost of work which is proviede by contractor is 85744.27 Rs. and the deduction of competettative Efficecny Value of 5 persent then the Actual value is 81457.06 Rs.,AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5603568,M/S HAUSHILA PRASAD CONSTRUCTION & SUPPLIERS,13-Oct-2025 12:56 PM,Rejected-Finance,Dut to rank L2,16-Oct-2025 01:54 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5598350,R P CONTRACTOR,10-Oct-2025 03:16 PM,Accepted-AOC,Due to bid rank L1,16-Oct-2025 02:16 PM,,,,,,,,AOC
