Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
17-Sep-2025,"INR 1,702,174.15",90.0,Satakshi Nandan,29-Oct-2025 02:32 PM,usra.pdf (525.00 KB),Work Award,UP STATE WAREHOUSING CORPORATION,2025_UPSWC_1064310_1,20250824128.0,Repair of UPSWC Godowns at I.A.Deoria (Usra Bazar),1.0,5462773.0,JAFARGANJ CONSTRUCTION,INR,"1,702,174.15",1,5471088,09AEEFS5290J1ZJ,23-Aug-2025 09:47 AM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 02:32 PM,Finance,Financial Bid Result,Madan Pal Singh,08-Sep-2025 12:23 PM,finance_1939559.pdf,BOQ Comparative Chart,Sachiv,Internal,"Junior Office Assistant, Junior Engineer, Senior Account Officer, Dy. Manager Finance, Manager Finance, Incharge Excutive Engineer",Satakshi Nandan,28-Aug-2025 03:15 PM,29-Aug-2025 02:00 PM,techsummary_1939559.pdf (468.66 KB),Technical,Technical Bid Result,Satakshi Nandan,28-Aug-2025 12:33 PM,technical_1939559.pdf,Sachiv,Internal,"Junior Office Assistant, Junior Engineer, Senior Account Officer, Dy. Manager Finance, Manager Finance, Incharge Excutive Engineer",Madan Pal Singh,08-Sep-2025 12:46 PM,finsummary_1939559.pdf (467.39 KB),AOC,"1,180",U.P. State warehousing corporation,Lucknow,No,UP STATE WAREHOUSING CORPORATION,20250824128.0,2025_UPSWC_1064310_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,Repair of UPSWC Godowns at I.A.Deoria (Usra Bazar),Repair of UPSWC Godowns at I.A.Deoria (Usra Bazar),Only registered contractor with UPSWC can apply ,NA ,"20,02,558",Civil Works,Maintenance /Construction Work ,Tender,90.0,90.0,I.A.Deoria (Usra Bazar),274001.0,Head Office UPSWC ,U.P. State warehousing corporation New Hyderabad Lucknow 226007 ,14-Aug-2025 02:00 PM ,Head Office UPSWC,No ,No,1.0,Fee/PreQual/Technical,.pdf,Technical Bid,"40,100",No,fixed,,U.P. State warehousing corporation,Lucknow,Managing Director UPSWC,U.P. State warehousing corporation New Hyderabad Lucknow 226007,1.0,RTGS - RTGS Payment,08-Aug-2025 06:00 PM,25-Aug-2025 10:00 AM,08-Aug-2025 06:00 PM,23-Aug-2025 06:00 PM,NA ,NA ,08-Aug-2025 06:00 PM,23-Aug-2025 06:00 PM,29-Aug-2025 02:00 PM,AOC
,,,,,,,,,,,,,,,,2,5466293,Ankur Constructions,22-Aug-2025 05:55 PM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 02:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,5468429,BIJNOR CONSTRUCTION and SUPPLIERS,21-Aug-2025 11:58 AM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 02:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,5462773,JAFARGANJ CONSTRUCTION,19-Aug-2025 10:48 PM,Accepted-AOC,Selected From lottery system,29-Oct-2025 02:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,5462634,MAA DURGA CONSTRUCTION,19-Aug-2025 10:16 PM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 02:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,5475764,MANOHAR LAL AND COMPANY,23-Aug-2025 07:46 AM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 02:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,5475043,M/S A.N CONSTRUCTIONS,22-Aug-2025 10:42 PM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 02:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,5474510,M/S KRISHNA TRADERS,22-Aug-2025 07:47 PM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 02:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,5435199,M/S MAS CONSTRUCTION,15-Aug-2025 10:25 PM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 02:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,5434122,M/s satyavir singh contractor,15-Aug-2025 06:04 PM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 02:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
