Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
REPAIR AND RENOVATION WORK AND CONSTRUCTION WORK IN THE CAMPUS OF I.T.I. BUILDING AT BILASPUR DISTRICT RAMPUR (U.P.),REPAIR AND RENOVATION WORK AND CONSTRUCTION WORK IN THE CAMPUS OF I.T.I. BUILDING AT BILASPUR DISTRICT RAMPUR (U.P.),Please refer Tender documents. ,NA ,"2,29,12,782",Civil Works - Buildings,NA ,Tender,90.0,244.0,BILASPUR,244921.0,NA ,NA ,NA ,MEERUT,No ,No,"Rakesh Kumar Chaurasia, SE","Office of SE, 41 Basant Vihar, Kila Road, Meerut","4,58,256",No,fixed,,EE UPRNSS,MORADABAD,1,FDR - Fixed Deposit,15-Apr-2025 06:55 PM,21-Apr-2025 03:00 PM,15-Apr-2025 06:55 PM,21-Apr-2025 03:00 PM,NA ,NA ,15-Apr-2025 06:55 PM,21-Apr-2025 03:00 PM,24-Apr-2025 09:00 AM,1,Fee/PreQual/Technical,.pdf,Technical,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,50/E-TENDER/MEERUT-ZONE/24-25 DATED 24-03-2025,2025_UPRNS_1023094_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"3,894",EE UPRNSS,MORADABAD,Yes,AOC,"Rakesh Kumar Chaurasia, SE",Internal,"Sanjeev Kumar Singh EE, Yogendra Bahadur Singh EE, Rohit Kumar Gautam AE, Anil Kumar JE, Shaurya Pratap Singh Assistant Accountant",Rakesh Kumar Chaurasia,24-Apr-2025 04:07 PM,finsummary_1859603.pdf (556.74 KB),Technical,Technical Opened by Tender Committee,Rakesh Kumar Chaurasia,23-Apr-2025 06:59 PM,technical_1859603.pdf,"Rakesh Kumar Chaurasia, SE",Internal,"Sanjeev Kumar Singh EE, Yogendra Bahadur Singh EE, Rohit Kumar Gautam AE, Anil Kumar JE, Shaurya Pratap Singh Assistant Accountant",Rakesh Kumar Chaurasia,23-Apr-2025 07:02 PM,24-Apr-2025 09:00 AM,techsummary_1859603.pdf (617.23 KB),Finance,Financial Opened by Tender Committee,Rakesh Kumar Chaurasia,24-Apr-2025 04:04 PM,finance_1859603.pdf,BOQ Comparative Chart,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,2025_UPRNS_1023094_2,50/E-TENDER/MEERUT-ZONE/24-25 DATED 24-03-2025,REPAIR AND RENOVATION WORK AND CONSTRUCTION WORK IN THE CAMPUS OF I.T.I. BUILDING AT BILASPUR DISTRICT RAMPUR (U.P.),1.0,5135000.0,PRAGATI BUILDERS AND CONTRACTOR,INR,"22,889,869.46",1,5134426,M/S Vilaso Enterprises,21-Apr-2025 07:29 AM,Rejected-Finance,Quoted Rates Are Higher,24-Apr-2025 04:07 PM,02-May-2025,"INR 22,889,869.46",244.0,Rakesh Kumar Chaurasia,06-Oct-2025 03:50 PM,WorkorderITIBilaspurMBDOfficeCopySigned.pdf (1146.00 KB),Tender Awarded,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2,RTGS - RTGS Payment,,,,,,,,,,2,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5135000,PRAGATI BUILDERS AND CONTRACTOR,21-Apr-2025 12:19 PM,Accepted-AOC,L-1,06-Oct-2025 03:50 PM,,,,,,,,AOC
