Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
UP STATE WAREHOUSING CORPORATION,20250825113-1,2025_UPSWC_1067313_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"31,700",No,fixed,,U.P. State warehousing corporation,Lucknow,Managing Director UPSWC,U.P. State warehousing corporation New Hyderabad Lucknow 226007,21-Aug-2025 06:00 PM,29-Aug-2025 03:00 PM,21-Aug-2025 06:00 PM,29-Aug-2025 02:00 PM,NA ,NA ,21-Aug-2025 06:00 PM,29-Aug-2025 02:00 PM,22-Sep-2025 04:00 PM,1.0,Fee/PreQual/Technical,.pdf,Technical Bid,Repair of UPSWC Godowns at I.A.Panki (Kanpur)-1,Repair of UPSWC Godowns at I.A.Panki (Kanpur)-1,Only registered contractor with UPSWC can apply ,NA ,"15,83,709",Civil Works,Maintenance /Construction Work ,Tender,90.0,60.0,I.A.Panki (Kanpur)-1,208020.0,Head Office UPSWC ,U.P. State warehousing corporation New Hyderabad Lucknow 226007 ,25-Aug-2025 02:00 PM ,Head Office UPSWC,No ,No,1.0,RTGS - RTGS Payment,"1,180",U.P. State warehousing corporation,Lucknow,No,AOC,Sachiv,Internal,"Junior Office Assistant, Junior Engineer, Senior Account Officer, Dy. Manager Finance, Manager Finance, Incharge Excutive Engineer",Rakesh Kumar Rawat,27-Sep-2025 10:42 AM,finsummary_1946499.pdf (493.33 KB),Technical,Technical Bid Result,Madan Pal Singh,22-Sep-2025 12:16 PM,technical_1946499.pdf,Sachiv,Internal,"Junior Office Assistant, Junior Engineer, Senior Account Officer, Dy. Manager Finance, Manager Finance, Incharge Excutive Enginee",Madan Pal Singh,22-Sep-2025 12:35 PM,22-Sep-2025 04:00 PM,techsummary_1946499.pdf (492.05 KB),Finance,Financial Bid Result,Rakesh Kumar Rawat,27-Sep-2025 10:29 AM,finance_1946499.pdf,BOQ Comparative Chart,1,5505181,Ankur Constructions,28-Aug-2025 02:16 PM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 11:59 AM,1.0,5506243.0,JAFARGANJ CONSTRUCTION,INR,"1,346,152.66",UP STATE WAREHOUSING CORPORATION,2025_UPSWC_1067313_1,20250825113-1,Repair of UPSWC Godowns at I.A.Panki (Kanpur)-1,27-Oct-2025,"INR 1,346,152.66",60.0,Satakshi Nandan,29-Oct-2025 11:59 AM,panki1.pdf (586.00 KB),Work Award,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5506243,JAFARGANJ CONSTRUCTION,28-Aug-2025 07:43 PM,Accepted-AOC,Selected From lottery system,29-Oct-2025 11:59 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5506272,MAA DURGA CONSTRUCTION,28-Aug-2025 08:02 PM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 11:59 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,5507518,MS UMRAO TRADERS,29-Aug-2026 05:50 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,22-Sep-2025 12:16 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,5507150,SUMAN ENTERPRISES,25-May-2026 05:50 PM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 11:59 AM,,,,,,,,,,,,,,,,,AOC
