Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC","6,770",Nil,Nil,No,1.0,Corrigendum 1,Date,,"Construction of balance internal roads and balance sewerage system in sector-32,YEIDA. WC-03","Construction of balance internal roads and balance sewerage system in sector-32,YEIDA. WC-03",Please refer Tender documents. ,NA ,"7,76,67,357",Civil Works,NA ,Tender,90.0,365.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201308.0,NA ,NA ,NA ,YEIDA OFFICE 2ND FLOOR E- TENDER CELL,No ,No,GM(P),YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,Yamuna Expressway Industrial Development Authority,YEA/GM(PROJECT)/2025/397 DT-01/08/2025,2025_YEIDA_1062773_8,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"15,53,500",No,fixed,,Nil,Nil,1.0,SBI Bank,05-Aug-2025 06:55 PM,27-Aug-2025 11:00 AM,05-Aug-2025 06:55 PM,25-Aug-2025 05:00 PM,NA ,NA ,05-Aug-2025 06:55 PM,25-Aug-2025 05:49 PM,25-May-2026 05:49 PM,AOC,Committee,Internal,Committee,BHARAM PAL SINGH,18-Sep-2025 05:49 PM,finsummary_1937077.pdf (5574.78 KB),Technical,EVALUATION,BHARAM PAL SINGH,17-Sep-2025 01:23 PM,,Committee,Internal,Committee,BHARAM PAL SINGH,17-Sep-2025 01:29 PM,17-Sep-2025 02:30 PM,techsummary_1937077.pdf (1519.49 KB),Finance,EVALUATION,BHARAM PAL SINGH,18-Sep-2025 12:13 PM,,BOQ Comparative Chart,1.0,5437562.0,A K GUPTA CONSTRUCTION CO,18-Aug-2025 02:48 PM,Rejected-Technical,DISQUALIFIED,17-Sep-2025 01:29 PM,1.0,5448896.0,M/s RELIABLE ASSOCIATES ENGINEERS AND CONTRACTORS,INR,"73,473,320.55",Yamuna Expressway Industrial Development Authority,2025_YEIDA_1062773_8,YEA/GM(PROJECT)/2025/397 DT-01/08/2025,"Construction of balance internal roads and balance sewerage system in sector-32,YEIDA. WC-03",28-Oct-2025,"INR 73,473,320.55",365.0,BHARAM PAL SINGH,28-Oct-2025 01:58 PM,AOC.pdf (242.00 KB),AOC,AOC
,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5490520.0,M/S GUPTA ASSOCIATES,25-Aug-2025 04:04 PM,Rejected-Finance,L2,18-Sep-2025 12:17 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,APPENDIX A TO E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5448896.0,M/s RELIABLE ASSOCIATES ENGINEERS AND CONTRACTORS,25-Aug-2025 12:20 PM,Accepted-AOC,L1,28-Oct-2025 01:58 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5491233.0,PARAS CONSTRUCTION,25-Aug-2025 02:12 PM,Rejected-Finance,L3,18-Sep-2025 12:17 PM,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,FINANCIALBID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
