Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC","1,54,500",No,fixed,,Nil,Nil,GM(P),YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,04-Feb-2025 06:55 PM,17-Feb-2025 11:00 AM,04-Feb-2025 06:55 PM,13-Feb-2025 05:00 PM,NA ,NA ,04-Feb-2025 06:55 PM,13-Feb-2025 05:00 PM,09-May-2025 12:00 PM,Yamuna Expressway Industrial Development Authority,YEA/GM(PROJECT)/2025/997 DT-23/01/2025,2025_YEIDA_1000612_14,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,Maintenance of trees and lawn on 120mtr. Wide road ch.2.10km to 6.50km left side Yamuna expressway and adjoin 100mtr. Wide road and 30 mtr. Wide road in sector 17 for two years yea WC-HORTI,Maintenance of trees and lawn on 120mtr. Wide road ch.2.10km to 6.50km left side Yamuna expressway and adjoin 100mtr. Wide road and 30 mtr. Wide road in sector 17 for two years yea WC-HORTI,Please refer Tender documents. ,NA ,"77,22,308",Civil Works,NA ,Tender,90.0,730.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201308.0,NA ,NA ,NA ,YEIDA 2nd FLOOR TENDER CELL,No ,No,"1,955",Nil,Nil,No,AOC,1.0,4937179.0,M/S niranjan contractor,INR,"3,822,542.54",Committee,Internal,Committee,NITENDRA KUMAR ADARSH,25-Jun-2025 04:03 PM,finsummary_1785094.pdf (837.82 KB),Finance,EVALUATION,NITENDRA KUMAR ADARSH,25-Jun-2025 03:44 PM,,BOQ Comparative Chart,Yamuna Expressway Industrial Development Authority,2025_YEIDA_1000612_14,YEA/GM(PROJECT)/2025/997 DT-23/01/2025,Maintenance of trees and lawn on 120mtr. Wide road ch.2.10km to 6.50km left side Yamuna expressway and adjoin 100mtr. Wide road and 30 mtr. Wide road in sector 17 for two years yea WC-HORTI,1,4940956,M/S ANKIT DEVELOPERS,11-Feb-2025 01:54 PM,Rejected-Finance,L11,25-Jun-2025 04:03 PM,Committee,Internal,Committee,BHARAM PAL SINGH,09-May-2025 11:22 AM,09-May-2025 12:00 PM,techsummary_1785094.pdf (15863.33 KB),25-Jun-2025,"INR 3,822,542.54",730.0,BHARAM PAL SINGH,31-Oct-2025 02:07 PM,AOC997_14.pdf (860.00 KB),AOC,Technical,EVALUATION,BHARAM PAL SINGH,09-May-2025 11:11 AM,,AOC
,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,4937346,M/S Friends Construction Company,13-Feb-2025 12:19 PM,Rejected-Finance,L3,25-Jun-2025 04:03 PM,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,APPENDIX A TO E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,4948233,M/S MANOJ CONSTRUCTION CO,13-Feb-2025 03:20 PM,Rejected-Finance,L1O,25-Jun-2025 04:03 PM,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,4937179,M/S niranjan contractor,12-Feb-2025 11:07 AM,Accepted-AOC,L1,31-Oct-2025 02:07 PM,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,FINANCIALBID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,4937649,M/S OM DEVELOPERS,10-Feb-2025 06:00 PM,Rejected-Finance,L7,25-Jun-2025 04:03 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,4952254,M/S PRATHVI ENTERPRISES,13-Feb-2025 04:08 PM,Rejected-Finance,L5,25-Jun-2025 04:03 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,4936798,M/S SAHAJ ASSOCIATES,13-Feb-2025 11:08 AM,Rejected-Finance,L9,25-Jun-2025 04:03 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,4925480,M/S SHIV NURSERY,07-Feb-2025 08:09 PM,Rejected-Finance,L2,25-Jun-2025 04:03 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,4938035,M/S VANSHIKA LAND SCAPAR AND SUPPLIER,10-Feb-2025 07:06 PM,Rejected-Finance,L8,25-Jun-2025 04:03 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,4942990,SARITA ENTERPRISES,11-Feb-2025 04:39 PM,Rejected-Finance,L4,25-Jun-2025 04:03 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,11,4947815,Square Buildtech Private Limited,13-Feb-2025 03:37 PM,Rejected-Finance,L6,25-Jun-2025 04:03 PM,,,,,,,,,,,,,,,,,,,,AOC
