Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Mohammdi Lakhimpur,2026_DOLBU_1145327_1,NPPM_57_(5)_2026_27,NPPM_57_(5)_2026_27,1.0,6151475.0,MK ASSOCIATES,INR,"3,965,000",1,6151086,A K ASSOCIATES,29-May-2026 12:06 PM,Rejected-Finance,HIGH,11-Jun-2026 03:17 PM,20-Jun-2026,"INR 3,965,000",60.0,jagdeo prasad,23-Jun-2026 03:50 PM,5A.pdf (406.00 KB),WORK ORDER,SANDEEP MEHROTRA,Internal,JP MAURYA (EO) SATISH CHANDRA MAURYA (JE) SHIVNANDAN RASHTOGI (ACCOUNTANT),jagdeo prasad,11-Jun-2026 03:17 PM,finsummary_2140805.pdf (1093.68 KB),Technical,TECHNICAL BID OPPENING SUMMARY....,jagdeo prasad,10-Jun-2026 02:23 PM,,SANDEEP MEHROTRA,Internal,J.P MAURYA (EO) SATISH CHANDRA MAURYA (JE) SHIVNANDAN RASHTOGI (ACCOUNTANT),jagdeo prasad,10-Jun-2026 04:14 PM,10-Jun-2026 04:15 PM,techsummary_2140805.pdf (402.20 KB),Finance,TENDER FINANCIAL OPPENING SUMMARY,jagdeo prasad,11-Jun-2026 03:14 PM,finance_2140805.pdf,BOQ Comparative Chart,AOC,1,DD - Demand Draft,"9,440",EO,NPP MOHAMMADI,No,"79,300",Yes,fixed,,EO,NPP MOHAMMADI,05-May-2026 11:00 AM,30-May-2026 03:00 PM,05-May-2026 11:00 AM,30-May-2026 11:30 AM,NA ,NA ,05-May-2026 11:00 AM,30-May-2026 11:30 AM,10-Jun-2026 04:15 PM,NPPM_57_(5)_2026_27,WARD NO. 12 MAI ROHIT KAI MAKAN SE SANTOSH DIXIT KAI MAKAN TAK AND LINK GALI SAHIT RCC NAALI AND CC ROAD NIRMAAN KARYA,Please refer Tender documents. ,NA ,"39,65,000",Civil Works,NA ,Tender,30.0,NA ,NPP MOHAMMADI,262804.0,NA ,NA ,NA ,NPP MOHAMMADI,No ,No,Directorate of Local Bodies UP||Nagar Palika Parishad Mohammdi Lakhimpur,NPPM_57_(5)_2026_27,2026_DOLBU_1145327_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,nit,EO,NPP MOHAMMADI,AOC
,,,,,,,,,2,6151475,MK ASSOCIATES,29-May-2026 02:04 PM,Accepted-AOC,ALL OK,23-Jun-2026 03:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,AOC
,,,,,,,,,3,6151245,M/S PUNEET TIWARI TRADERS AND SUPPLIERS,29-May-2026 12:55 PM,Rejected-Finance,HIGH,11-Jun-2026 03:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
