Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
Er Neeraj Kumar EE RED Jaunpur,Internal,"Er Neeraj Kumar EE RED Jaunpur, Er Maya Shankar AE RED Jaunpur, Er Alok Kumar AE RED Jaunpur, Mr Jai Prakash DAO RED Jaunpur",Neeraj Kumar,26-May-2026 09:02 AM,01-Jun-2026 12:00 PM,techsummary_2129624.pdf (410.39 KB),14-Jun-2026,"INR 2,624,591",90.0,JAI PRAKASH,14-Jun-2026 11:09 AM,2376_61.pdf (486.00 KB),Technical,Summary,Neeraj Kumar,20-May-2026 07:53 PM,,Finance,Summary,Neeraj Kumar,01-Jun-2026 07:09 PM,,BOQ Comparative Chart,Er Neeraj Kumar EE RED Jaunpur,Internal,,Neeraj Kumar,14-Jun-2026 10:17 AM,finsummary_2129624.pdf (486.36 KB),1.0,6109848.0,SHUBH CONSTRUCTION,INR,"2,624,591",1,6109848,SHUBH CONSTRUCTION,12-May-2026 12:25 PM,Accepted-AOC,AOC,14-Jun-2026 11:08 AM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE JAUNPUR,2026_REDUP_1140200_61,2376/EE RED Jaunpur/25-26 Dt 30/03/2026,"Under District Jaunpur, Construction of Interlocking road from pitch road to Subhash Yadav farm via Bind Basti in Gram Panchayat Sultanpur Ghughri under block Khutahan, Lot No 61",AOC,"Under District Jaunpur, Construction of Interlocking road from pitch road to Subhash Yadav farm via Bind Basti in Gram Panchayat Sultanpur Ghughri under block Khutahan, Lot No 61","Under District Jaunpur, Construction of Interlocking road from pitch road to Subhash Yadav farm via Bind Basti in Gram Panchayat Sultanpur Ghughri under block Khutahan, Lot No 61",Please refer Tender documents. ,NA ,"22,25,000",Civil Works,NA ,Tender,90.0,90.0,Jaunpur,222001.0,"EE RED Jaunpur, Vikas Bhawan, Jaunpur ","EE RED Jaunpur, Vikas Bhawan, Jaunpur ",24-Apr-2026 11:00 AM ,"EE RED Jaunpur, Vikas Bhawan, Jaunpur",No ,No,1.0,DATE EXTENDED,Date,,"44,500",No,percentage,2.0%,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Fees And Technical Documents,1.0,SBI Bank,22-Apr-2026 06:00 PM,20-May-2026 12:30 PM,22-Apr-2026 06:00 PM,20-May-2026 12:00 PM,NA ,NA ,22-Apr-2026 06:00 PM,20-May-2026 12:00 PM,01-Jun-2026 12:00 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE JAUNPUR,2376/EE RED Jaunpur/25-26 Dt 30/03/2026,2026_REDUP_1140200_61,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,944.0,Nil,Nil,No,"EE RED Jaunpur, Vikas Bhawan, Jaunpur","EE RED Jaunpur, Vikas Bhawan, Jaunpur",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6113754,UNNAT CONSTRUCTION,13-May-2026 05:38 PM,Rejected-Finance,Rejected,14-Jun-2026 10:17 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Documents(BoQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
