Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
16-Jun-2026,"INR 94,403,000",1095.0,Yajuvendra Kumar,16-Jun-2026 05:41 PM,LOAMANPOWERTENDERNOIDA16062026signed.pdf (416.00 KB),1.0,6172738.0,VANSHIKA HR SERVICES PRIVATE LIMITED,INR,"94,403,000",U.P. State Road Transport Corporation||Chief General Manager(Technical),2026_UPSRT_1157400_1,MANPOWE/NOIDA-EV/2026/01,Engagement of Manpower Service Agency,1,6190613,BUSINESS INFORMATION PROCESSING SERVICES,12-Jun-2026 01:14 PM,Rejected-Finance,Higher Bid,16-Jun-2026 05:19 PM,Technical,Admitted,Yajuvendra Kumar,13-Jun-2026 06:18 PM,,General Manager,Internal,,Yajuvendra Kumar,16-Jun-2026 05:19 PM,finsummary_2168784.pdf (121.54 KB),Finance,Admitted,Yajuvendra Kumar,15-Jun-2026 05:18 PM,,BOQ Comparative Chart,General Manager,Internal,,Yajuvendra Kumar,15-Jun-2026 04:04 PM,15-Jun-2026 05:00 PM,techsummary_2168784.pdf (375.54 KB),AOC,1.0,DD - Demand Draft,05-Jun-2026 03:30 PM,13-Jun-2026 06:00 PM,05-Jun-2026 03:30 PM,13-Jun-2026 05:00 PM,NA ,NA ,05-Jun-2026 03:30 PM,13-Jun-2026 05:00 PM,15-Jun-2026 05:00 PM,"10,00,000",Yes,fixed,,RM UPSRTC NOIDA,NOIDA,REGIONAL MANAGER UPSRTC NOIDA,"OFFICE OF REGIONAL MANAGER, UPSRTC NOIDA, SECTOR23, NOIDA,201301","5,900",RM UPSRTC NOIDA,NOIDA,No,U.P. State Road Transport Corporation||Chief General Manager(Technical),MANPOWE/NOIDA-EV/2026/01,2026_UPSRT_1157400_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Offline,No,No,No,Engagement of Manpower Service Agency,Engagement of Manpower Service Agency,Please refer Tender documents. ,NA ,"7,50,00,000",Manpower Supply,NA ,Tender,30.0,NA ,NOIDA,201301.0,NA ,NA ,NA ,"UPSRTC HQ, LUCKNOW",No ,No,1.0,Fee/PreQual/Technical,.rar,TENDER DOCUMENT,1.0,Bank Details,Other,,AOC
,,,,,,,,,,,,,,,2,6181863,JMD Consultants,11-Jun-2026 01:02 PM,Rejected-Finance,Higher Bid,16-Jun-2026 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,AOC
,,,,,,,,,,,,,,,3,6181171,Signodrive Technologies Private Limited,13-Jun-2026 12:08 PM,Rejected-Finance,Higher Bid,16-Jun-2026 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,6187229,SS Enterprises,13-Jun-2026 03:00 PM,Rejected-Finance,Higher Bid,16-Jun-2026 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,6172738,VANSHIKA HR SERVICES PRIVATE LIMITED,13-Jun-2026 02:47 PM,Accepted-AOC,L1,16-Jun-2026 05:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
