Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage
Directorate of Local Bodies UP||Aligarh Municipal Corporation,2026_DOLBU_1130685_1,1918 Dt. 19.03.2026,SITC of Sewage Submersible Pumps,1.0,6038504.0,BHARTIYA ENGINEERS,INR,"4,718,727",1,6038504,BHARTIYA ENGINEERS,09-Apr-2026 01:53 PM,Accepted-AOC,Awardee,02-Jun-2026 05:53 PM,02-Jun-2026,"INR 4,718,727",30.0,Pramod Kumar Singh,02-Jun-2026 05:53 PM,sewagepump.pdf (482.00 KB),AMC,Internal,"GM (Jal), AO",Pramod Kumar Singh,02-Jun-2026 05:50 PM,finsummary_2109418.pdf (481.53 KB),Technical,All Qualified,Pramod Kumar Singh,19-Apr-2026 11:03 PM,technical_2109418.pdf,AMC,Internal,"GM (Jal), AO",Pramod Kumar Singh,19-Apr-2026 11:06 PM,20-Apr-2026 09:00 AM,techsummary_2109418.pdf (842.56 KB),Finance,All qualified,Pramod Kumar Singh,02-Jun-2026 05:47 PM,finance_2109418.pdf,BOQ Comparative Chart,AOC,"21,476",Nil,Nil,No,"1,34,821",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,BIDS,Municipal Commissioner,Aligarh,Directorate of Local Bodies UP||Aligarh Municipal Corporation,1918 Dt. 19.03.2026,2026_DOLBU_1130685_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,SITC of Sewage Submersible Pumps,SITC of Sewage Submersible Pumps,Please refer Tender documents. ,NA ,"67,41,039",Pumps/Motors,NA ,Tender,120.0,45.0,Aligarh,202001.0,NA ,NA ,NA ,A,No ,No,26-Mar-2026 06:00 PM,09-Apr-2026 04:00 PM,26-Mar-2026 06:00 PM,09-Apr-2026 02:00 PM,NA ,NA ,26-Mar-2026 06:00 PM,09-Apr-2026 02:00 PM,20-Apr-2026 09:00 AM,1.0,SBI Bank,AOC
,,,,,,,,,2,6038089,DUBEY ENTERPRISES,09-Apr-2026 12:30 PM,Rejected-AOC,Second,02-Jun-2026 05:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,6036977,G.K. ENTERPRISES,08-Apr-2026 05:01 PM,Rejected-AOC,Third,02-Jun-2026 05:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
